,Rxn_1_Class,Rxn_2_Class,Count,Fraction,Types
0,pFBAOpt_Rxns,ELE_Rxns,16,0.21333333333333335,"pFBAOpt_Rxns, ELE_Rxns"
1,pFBAOpt_Rxns,MLE_Rxns,27,0.36,"pFBAOpt_Rxns, MLE_Rxns"
2,pFBAOpt_Rxns,pFBAOpt_Rxns,32,0.4266666666666667,"pFBAOpt_Rxns, pFBAOpt_Rxns"
