,Var1,Var2,Subsystem 1,Subsystem 2
0,THRS,THRD_L,"Glycine, Serine, and Threonine Metabolism",Methionine Metabolism
1,PUNP5,HXPRT,Purine Metabolism,Purine Metabolism
2,PIt,PIabc,Transport,Transport
3,PREPTTA,PREPHACPH,Membrane Metabolism,Membrane Metabolism
4,SADT,SADT2,Purine Metabolism,Other Amino Acid Metabolism
5,P5CRx,P5CR,Arginine and Proline Metabolism,Arginine and Proline Metabolism
6,RPE,PGL,Pentose Phosphate Pathway,Pentose Phosphate Pathway
7,RPE,G6PDH2r,Pentose Phosphate Pathway,Pentose Phosphate Pathway
8,RPE,GND,Pentose Phosphate Pathway,Pentose Phosphate Pathway
9,TRPS1,TRPS3,Phenylalanine Tyrosine Tryptophan Metabolism,Phenylalanine Tyrosine Tryptophan Metabolism
10,TRPS1,TRPS2,Phenylalanine Tyrosine Tryptophan Metabolism,Phenylalanine Tyrosine Tryptophan Metabolism
11,IPDPS,IPDDI,Polyprenyl Metabolism,Polyprenyl Metabolism
12,MAN1PT2,MAN1PT,Sugar Metabolism,Sugar Metabolism
13,TKT2,PGL,Pentose Phosphate Pathway,Pentose Phosphate Pathway
14,TKT2,G6PDH2r,Pentose Phosphate Pathway,Pentose Phosphate Pathway
15,TKT2,GND,Pentose Phosphate Pathway,Pentose Phosphate Pathway
16,UMPK_copy1,UMPK_copy2,Nucleotide Sugar Metabolism,Pyrimidine Metabolism
17,HSST,THRD_L,Other Amino Acid Metabolism,Methionine Metabolism
18,HSK,THRD_L,"Glycine, Serine, and Threonine Metabolism",Methionine Metabolism
19,GLU5K,ORNTA,Urea Cycle,Arginine and Proline Metabolism
20,HSDxi,HSDy,"Glycine, Serine, and Threonine Metabolism","Glycine, Serine, and Threonine Metabolism"
21,GLCabc,FBP,Transport,Glycolysis
22,G16MTM2,MANAT2,Membrane Metabolism,Membrane Metabolism
23,ORNTAC,ACODA,Urea Cycle,Other Amino Acid Metabolism
24,DMPPS,IPDDI,Cofactor Metabolism,Polyprenyl Metabolism
25,CYTK2,NTPP3,Pyrimidine Metabolism,Nucleotide Sugar Metabolism
26,CYTK2,NDPK7,Pyrimidine Metabolism,Pyrimidine Metabolism
27,CTPS1,CTPS2,Pyrimidine Metabolism,Pyrimidine Metabolism
28,DCPT,DCPT2,Polyprenyl Metabolism,Membrane Metabolism
29,DCPT,DCPDPP2,Polyprenyl Metabolism,Membrane Metabolism
30,DCPT,ARI,Polyprenyl Metabolism,Membrane Metabolism
31,DCPE,DCPT2,Polyprenyl Metabolism,Membrane Metabolism
32,DCPE,DCPDPP2,Polyprenyl Metabolism,Membrane Metabolism
33,DCPE,ARI,Polyprenyl Metabolism,Membrane Metabolism
34,DCPDPP,DCPT2,Polyprenyl Metabolism,Membrane Metabolism
35,DCPDPP,DCPDPP2,Polyprenyl Metabolism,Membrane Metabolism
36,DCPDPP,ARI,Polyprenyl Metabolism,Membrane Metabolism
37,DADK,NTPP5,Nucleotide Sugar Metabolism,Nucleotide Sugar Metabolism
38,DADK,NDPK8,Nucleotide Sugar Metabolism,Pyrimidine Metabolism
39,ARGDr,ARGSS,Arginine and Proline Metabolism,Alanine and Aspartate Metabolism
40,ARGDr,ARGSL,Arginine and Proline Metabolism,Alanine and Aspartate Metabolism
41,FACOALPREPH,PREPHACPH,Membrane Metabolism,Membrane Metabolism
42,FAS161,DESAT16,Fatty Acid Metabolism,Fatty Acid Metabolism
43,FAS161,FACOAL161,Fatty Acid Metabolism,Fatty Acid Metabolism
44,ALATA_L,MMSAD3,Alanine and Aspartate Metabolism,Sugar Metabolism
45,ALATA_L,ASP1DC,Alanine and Aspartate Metabolism,Alanine and Aspartate Metabolism
