Var1
Single Lethal Reactions
3OAR80
3OAS100
3OAS121
3OAS140
3OAS141
3OAS161
3OAS181
3OAS60
3OAS80
3HAD100
3HAD121
3HAD141
3HAD161
3HAD181
3HAD40
3HAD60
3HAD80
A5PISO
ACGK
ACGS
3OAR100
3OAR121
3OAR140
ACLS
3OAR141
3OAR161
3OAR181
3OAR40
3OAR60
ADSK
ACODA
ADSL1r
ADSL2r
ADSS
ACOTA
AGMHE
ACCOAC
AGPAT160
AGPAT161
AGPAT181
AGPR
ASAD
AICART
AIRC2
AIRC3
ALAALAr
ASPCT
ASPK
ALAR
ALATA_L
ASPTA
ATPPRT
BPNT
CBPS
CLPNS181pp
CHORM
CHORS
CLPNS160pp
CLPNS161pp
CTPS2
ANPRT
CYSTL
ANS
DDPA
DHAD1
DHAD2
DHDPRy
DHDPS
DHFR
DAPDC
DHORTS
DAPE
DASYN160
DASYN161
DHQS
DHQTi
DASYN181
ARGSL
ARGSS
DTMPK
G1PACT
G1PTT
G3PAT160
G3PAT161
G3PAT181
GALUi
G3PD2
GF6PTA
G5SADs
GK1
GLA
GLNS
GLUPRT
GLUR
GMHEPAT
GMHEPK
GMHEPPA
GMPS2
HCO3E
IG3PS
IGPDH
IGPS
ILETA
IMPC
IMPD
HISTD
HISTP
IPMD
IPPMIa
IPPMIb
IPPS
HSDy
HSK
HSST
HSTPT
KARA1
KARA2
KDOPP
KDOPS
MAN6PI
MCOATA
MCTP1App
LEUTAi
NDPK2
MPTG
NDPK4
NH4tex
NH4tpp
LPADSS
OCBT
OMCDC
OMPDC
ORPT
P5CR
PAPPT3
PE160abcpp
PE161abcpp
PE181abcpp
PGSA160
PGSA161
PGSA181
PHETA1
PGAMT
PItex
PMANM
PGMT
PSD160
PSD161
PSD181
PSSA160
PSSA161
PSSA181
S7PI
SADT2
SDPDS
SDPTA
SHK3Dr
SHKK
PPND
SHSL1
PPNDH
SO4tex
TDPDRE
TDPDRR
TDPGDH
TDSK
THDPS
THRS
SULR
SULabcpp
T2DECAI
PRAGSr
TMDS
PRAIS
PRAIi
PRAMPC
PRASCSi
UDPGD
UGMDDS
PRATPP
UHGADA
TYRTA
PRFGS
UMPK
U23GAAT
UAAGDS
PRMICI
UAGAAT
UAGCVT
UAGDP
UAGPT3
UAMAGS
UAMAS
UAPGR
UDCPDP
UDPG4E
USHD
PSCVT
BIOMASS_
