Rxn_1,Rxn_1_Min,Rxn_1_Max,Rxn_2,Rxn_2_Min,Rxn_2_Max,v1,v2
THRS,0,0.0136944894149886,THRD_L,-0.00724439998157322,0.00648928980808705,0.00720531341547957,0
PUNP5,-0.0012101192260161,-0.00107292516622692,HXPRT,0,6.85967020391584e-05,-0.00114153930917382,0
PIt,-0.0582458892604336,-0.0581703565549105,PIabc,0,6.85963535485297e-05,-0.0582398409023881,0
PREPTTA,-1.68178230524063e-05,1.99486967176199e-05,PREPHACPH,0,3.42946125231562e-05,-1.43460929393768e-05,0
SADT,0.00332082162786505,0.00341684953483387,SADT2,0,6.85973558574929e-05,0.0033894621650483,0
P5CRx,0,2.68833988916595,P5CR,0,2.68833980527963,0.00725365923240739,0
RPE,-0.0352506320923567,-0.0351888937875628,PGL,0,8.23279481173266e-05,-0.0352443107403815,0
RPE,-0.0352506320923567,-0.0351888937875628,G6PDH2r,0,8.23279481173266e-05,-0.0352443107403815,0
RPE,-0.0352506320923567,-0.0351888937875628,GND,0,8.23279481173266e-05,-0.0352443107403815,0
TRPS1,0,0.00106373220272863,TRPS3,0,0.00106373218945053,0.00105751219549507,0
TRPS1,0,0.00106373220272863,TRPS2,0,0.00106373218945053,0.00105751219549507,0
MANAT2,0,0.000278934342576151,G16MTM2,0,0.000278934343755828,0.000278934343753122,0
IPDPS,0,0.00272260519025042,IPDDI,-0.0024750956799835,0.00024750956799835,0.00247509562750039,0
MAN1PT2,0.00329573999624699,0.00336439592560074,MAN1PT,0,6.85984607409497e-05,0.00336439590996724,0
TKT2,-0.0205463485326618,-0.0205051893135533,PGL,0,8.23279481173266e-05,-0.0205329414457083,0
TKT2,-0.0205463485326618,-0.0205051893135533,G6PDH2r,0,8.23279481173266e-05,-0.0205329414457083,0
TKT2,-0.0205463485326618,-0.0205051893135533,GND,0,8.23279481173266e-05,-0.0205329414457083,0
UMPK_copy1,0,999999,UMPK_copy2,-999998.983895308,0.016138989245519,0.0161049375150752,0
HSST,0,0.0136944856512829,THRD_L,-0.00724439998157322,0.00648928980808705,0.00644365659966237,0
HSK,0,0.0136944894149886,THRD_L,-0.00724439998157322,0.00648928980808705,0.00720531341547957,0
GLU5K,0,0.00752795703493368,ORNTA,0,0.00752793491388715,0.00725365923240739,0
HSDxi,-999998.986351238,999999,HSDy,-999999,999998.986351238,0.0136489700525999,0
GLCabc,0.999965699800544,1,FBP,0,6.85971421375831e-05,1,0
ORNTAC,0.00625914672855288,0.0138557511381805,ACODA,0,6.85936538502574e-05,0.00632783689070493,0
ORNTAC,0.00625914672855288,0.0138557511381805,ACGS,0,6.85936538502574e-05,0.00632783689070493,0
DMPPS,0,0.00272260519020816,IPDDI,-0.0024750956799835,0.00024750956799835,0.000247509562750039,0
CYTK2,-0.000384433311410248,-0.000315836281515658,NTPP3,0,3.42976806379473e-05,-0.000350139336660504,0
CYTK2,-0.000384433311410248,-0.000315836281515658,NDPK7,0,6.85973791405559e-05,-0.000350139336660504,0
CTPS1,0.0134687563511744,0.0136059521667059,CTPS2,0,6.85966875434429e-05,0.0135375644370039,0
DCPT,0,0.00295787064694278,DCPT2,0,0.00295787064694278,0.00295787064936548,0
DCPT,0,0.00295787064694278,DCPDPP2,0,0.00295787064694278,0.00295787064936548,0
DCPT,0,0.00295787064694278,ARI,-0.0029578706016764,0,0.00295787064936548,0
DCPE,0,0.0029578706016764,DCPT2,0,0.00295787064694278,0.0029578706016764,0
DCPE,0,0.0029578706016764,DCPDPP2,0,0.00295787064694278,0.0029578706016764,0
DCPE,0,0.0029578706016764,ARI,-0.0029578706016764,0,0.0029578706016764,0
DCPDPP,0,0.00295787064694278,DCPT2,0,0.00295787064694278,0.00295787064936548,0
DCPDPP,0,0.00295787064694278,DCPDPP2,0,0.00295787064694278,0.00295787064936548,0
DCPDPP,0,0.00295787064694278,ARI,-0.0029578706016764,0,0.00295787064936548,0
