"","Var1","Var2","RI_species"
"1","PFK","NADTRHD",1
"2","PGI","NADTRHD",1
"3","PPC","ICL",3
"4","PPC","MALS",4
"5","TPI","NADTRHD",1
"6","FBA","NADTRHD",1
"7","GLUDy","GLUSy",5
"8","H2Ot","PFL",1
"9","H2Ot","ACALD",1
"10","H2Ot","ALCD2x",1
"11","H2Ot","ETOHt2r",1
"12","H2Ot","FORt",1
"13","NADH16","PFL",1
"14","NADH16","FORt",1
"15","PDH","PFL",1
"16","PDH","FORt",1
"17","PGI","PFK",1
"18","PGL","PFK",1
"19","PGL","PGI",1
"20","CO2t","PFK",1
"21","CO2t","PPC",1
"22","RPE","PFK",1
"23","RPE","PGI",1
"24","RPE","PGL",4
"25","CYTBD","PFK",1
"26","CYTBD","PGI",1
"27","CYTBD","PPC",1
"28","SUCDi","PPC",3
"29","TALA","PFK",1
"30","TALA","PGI",1
"31","TALA","PGL",1
"32","TALA","RPE",3
"33","TKT1","PFK",1
"34","TKT1","PGI",1
"35","TKT1","PGL",1
"36","TKT1","RPE",7
"37","TKT2","PFK",1
"38","TKT2","PGI",1
"39","TKT2","PGL",4
"40","TKT2","RPE",7
"41","TKT2","TALA",5
"42","TKT2","TKT1",8
"43","TPI","PGI",1
"44","TPI","PGL",1
"45","TPI","CO2t",1
"46","TPI","RPE",1
"47","TPI","CYTBD",1
"48","TPI","TALA",1
"49","TPI","TKT1",1
"50","TPI","TKT2",1
"51","FBA","PGI",1
"52","FBA","PGL",1
"53","FBA","CO2t",1
"54","FBA","RPE",1
"55","FBA","CYTBD",1
"56","FBA","TALA",1
"57","FBA","TKT1",1
"58","FBA","TKT2",1
"59","FUM","PPC",1
"60","G6PDH2r","PFK",1
"61","G6PDH2r","PGI",1
"62","G6PDH2r","RPE",1
"63","G6PDH2r","TALA",1
"64","G6PDH2r","TKT1",1
"65","G6PDH2r","TKT2",1
"66","G6PDH2r","TPI",1
"67","G6PDH2r","FBA",1
"68","GND","PFK",1
"69","GND","PGI",1
"70","GND","RPE",2
"71","GND","TALA",1
"72","GND","TKT1",1
"73","GND","TKT2",1
"74","GND","TPI",1
"75","GND","FBA",1
"76","H2Ot","PFK",1
"77","H2Ot","TPI",1
"78","H2Ot","FBA",1
"79","MDH","PPC",2
"80","NADH16","PFK",1
"81","NADH16","PGI",1
"82","NADH16","TPI",1
"83","NADH16","FBA",1
"84","O2t","PFK",1
"85","O2t","PGI",1
"86","O2t","PPC",1
"87","O2t","TPI",1
"88","O2t","FBA",1
"89","ADPT","ADD",1
"90","ADPT","HXPRT",1
"91","ALAD_L","FADOX",1
"92","ANS2","ANS",1
"93","DHPS","FOLD3",1
"94","DHPS","HPPK",1
"95","CAT","CCP",1
"96","GARFT","FTHFD",1
"97","GART","FTHFLi",1
"98","HCO3E","H2CO3D",1
"99","HCO3E","H2CO3D2",1
"100","HEMEti","CPPPGO",1
"101","HEMEti","FCLT",1
"102","HEMEti","FE2abc",1
"103","HEMEti","GLUTRR",1
"104","HEMEti","GLUTRS",1
"105","HEMEti","G1SAT",1
"106","HEMEti","HMBS",1
