"","Var1","Var2","RI_species"
"107","HEMEti","PPBNGS",1
"108","HEMEti","PPPGO",1
"109","HEMEti","UPP3S",1
"110","HEMEti","UPPDC1",1
"111","ME1","AKO",1
"112","ME1","FADOX",1
"113","KAS15","ACOATA",1
"114","KAS15","KAS14",4
"115","NH4t","ARGSL",1
"116","NH4t","ARGSS",1
"117","NH4t","OCBT",1
"118","NH4t","UREAt",1
"119","TKT2","GND",7
"120","TRPS1","TRPS2",6
"121","TRPS1","TRPS3",6
"122","UREA","UREAt",1
"123","URIDK2r","DUTPDP",2
"124","RNDR4","DCTPD",1
"125","RPE","GND",6
"126","ALAR","DALAt2r",1
"127","ATPS4r","ACKr",1
"128","ATPS4r","ACt2r",1
"129","GART","GARFT",2
"130","G3PD2","G3PD1ir",1
"131","ME1","FRD5",1
"132","ME1","FUM",1
"133","NH4t","ATPS4r",1
"134","TKT1","TALA",3
"135","PTAr","ATPS4r",1
"136","RPE","TALA",1
"137","RPE","TKT1",1
"138","RPE","TKT2",1
"139","ALATA_L","VPAMTr",1
"140","CPPPGO","CPPPGO2",2
"141","VALTA","VPAMTr",3
"142","IMPD","XPPT",2
"143","IMPD","HXAND",2
"144","ECOAH4","3OAS100",2
"145","ECOAH4","3OAR100",2
"146","ECOAH4","3HAD100",2
"147","ECOAH1","3HAD80",2
"148","ECOAH1","3HAD40",2
"149","ECOAH1","3OAS60",2
"150","ECOAH1","3OAR60",2
"151","ECOAH1","3OAR80",2
"152","ECOAH1","3OAS80",2
"153","ECOAH1","3OAS100",2
"154","ECOAH1","3OAR40",2
"155","ECOAH1","3OAR100",2
"156","ECOAH1","3HAD60",2
"157","ECOAH1","3HAD100",2
"158","ECOAH2","3HAD80",2
"159","ECOAH2","3HAD40",2
"160","ECOAH2","3OAS60",2
"161","ECOAH2","3OAR60",2
"162","ECOAH2","3OAR80",2
"163","ECOAH2","3OAS80",2
"164","ECOAH2","3OAS100",2
"165","ECOAH2","3OAR40",2
"166","ECOAH2","3OAR100",2
"167","ECOAH2","3HAD60",2
"168","ECOAH2","3HAD100",2
"169","ECOAH3","3HAD80",2
"170","ECOAH3","3HAD40",2
"171","ECOAH3","3OAS60",2
"172","ECOAH3","3OAR60",2
"173","ECOAH3","3OAR80",2
"174","ECOAH3","3OAS80",2
"175","ECOAH3","3OAS100",2
"176","ECOAH3","3OAR40",2
"177","ECOAH3","3OAR100",2
"178","ECOAH3","3HAD60",2
"179","ECOAH3","3HAD100",2
"180","HACD4","3OAS100",2
"181","HACD4","3OAR100",2
"182","HACD4","3HAD100",2
"183","TRPS3","TRPS1",1
"184","NDPK4","PYK6",1
"185","ASNS2","ASNS1",5
"186","DMPPS","IPDDI",3
"187","IPDPS","IPDDI",2
"188","TRDR","GTHOr",4
"189","TRDR","PAPSR2",4
"190","TRDR","GRXR",4
"191","G3PD2","GLYK",1
"192","G3PD2","ALCD19",1
"193","G3PD2","GAPP",1
"194","AACPS3","3OAR160",2
"195","AACPS3","3OAS160",2
"196","AACPS3","3HAD160",2
"197","AACPS4","3OAS161",2
"198","AACPS4","3HAD161",2
"199","AACPS4","3OAR161",2
"200","PRPPS","R1PK",3
"201","PRPPS","R15BPK",3
"202","PAPSR","GTHOr",4
"203","PAPSR","PAPSR2",4
"204","PAPSR","GRXR",4
"205","GMPS","GMPS2",1
"206","ACACT2r","3HAD80",2
"207","ACACT2r","3HAD40",2
"208","ACACT2r","3OAS60",2
"209","ACACT2r","3OAR60",2
"210","ACACT2r","3OAR80",2
"211","ACACT2r","3OAS80",2
"212","ACACT2r","3OAS100",2
"213","ACACT2r","3OAR40",2
"214","ACACT2r","3OAR100",2
"215","ACACT2r","3HAD60",2
"216","ACACT2r","3HAD100",2
"217","ACACT3r","3HAD80",2
"218","ACACT3r","3HAD40",2
"219","ACACT3r","3OAS60",2
"220","ACACT3r","3OAR60",2
"221","ACACT3r","3OAR80",2
"222","ACACT3r","3OAS80",2
"223","ACACT3r","3OAS100",2
"224","ACACT3r","3OAR40",2
"225","ACACT3r","3OAR100",2
"226","ACACT3r","3HAD60",2
"227","ACACT3r","3HAD100",2
"228","ACACT4r","3OAS100",2
"229","ACACT4r","3OAR100",2
"230","ACACT4r","3HAD100",2
"231","Kt2pp","Kabcpp",3
"232","O2tpp","SUCCtex",2
"233","O2tpp","CPPPGO2",2
"234","HACD1","3HAD80",2
"235","HACD1","3HAD40",2
"236","HACD1","3OAS60",2
"237","HACD1","3OAR60",2
"238","HACD1","3OAR80",2
"239","HACD1","3OAS80",2
"240","HACD1","3OAS100",2
"241","HACD1","3OAR40",2
"242","HACD1","3OAR100",2
"243","HACD1","3HAD60",2
"244","HACD1","3HAD100",2
"245","O2tex","SUCCtex",2
"246","O2tex","CPPPGO2",2
"247","HACD2","3HAD80",2
"248","HACD2","3HAD40",2
"249","HACD2","3OAS60",2
"250","HACD2","3OAR60",2
"251","HACD2","3OAR80",2
"252","HACD2","3OAS80",2
"253","HACD2","3OAS100",2
"254","HACD2","3OAR40",2
"255","HACD2","3OAR100",2
"256","HACD2","3HAD60",2
"257","HACD2","3HAD100",2
"258","FACOAE160","3OAR160",2
"259","FACOAE160","3OAS160",2
"260","FACOAE160","3HAD160",2
"261","HACD3","3HAD80",2
"262","HACD3","3HAD40",2
"263","HACD3","3OAS60",2
"264","HACD3","3OAR60",2
"265","HACD3","3OAR80",2
"266","HACD3","3OAS80",2
"267","HACD3","3OAS100",2
"268","HACD3","3OAR40",2
"269","HACD3","3OAR100",2
"270","HACD3","3HAD60",2
"271","HACD3","3HAD100",2
"272","DUTPDP","DURIK1",1
"273","ACACT1r","3HAD80",2
"274","ACACT1r","3HAD40",2
"275","ACACT1r","3OAS60",2
"276","ACACT1r","3OAR60",2
"277","ACACT1r","3OAR80",2
"278","ACACT1r","3OAS80",2
"279","ACACT1r","3OAS100",2
"280","ACACT1r","3OAR40",2
"281","ACACT1r","3OAR100",2
"282","ACACT1r","3HAD60",2
"283","ACACT1r","3HAD100",2
"284","AACPS7","3OAR120",2
"285","AACPS7","3HAD120",2
"286","AACPS7","3OAS120",2
"287","FACOAE161","3OAS161",2
"288","FACOAE161","3HAD161",2
"289","FACOAE161","3OAR161",2
"290","PPPGO3","PPPGO",2
"291","PDX5PO2","PDX5POi",2
"292","RPI","TALA",2
"293","RPI","EDTXS1",1
"294","RPI","EDTXS2",1
"295","RPI","LIPAabcpp",1
"296","RPI","ENLIPAabctex",1
"297","GLCtex_copy2","GLCtex_copy1",2
"298","FACOAE120","3OAR120",2
"299","FACOAE120","3HAD120",2
"300","FACOAE120","3OAS120",2
"301","SO4t2pp","SULabcpp",2
"302","G3PAT160","APG3PAT160",2
"303","G3PAT160","ACPPAT160",2
"304","G3PAT161","ACPPAT161",2
"305","G3PAT161","APG3PAT161",2
"306","ZN2tpp","ZNabcpp",3
"307","NI2tpp","NI2uabcpp",2
"308","ACOAD3f","3HAD80",2
"309","ACOAD3f","3HAD40",2
"310","ACOAD3f","3OAS60",2
"311","ACOAD3f","3OAR60",2
"312","ACOAD3f","3OAR80",2
"313","ACOAD3f","3OAS80",2
"314","ACOAD3f","3OAS100",2
"315","ACOAD3f","3OAR40",2
"316","ACOAD3f","3OAR100",2
"317","ACOAD3f","3HAD60",2
"318","ACOAD3f","3HAD100",2
"319","ACOAD2f","3HAD80",2
"320","ACOAD2f","3HAD40",2
"321","ACOAD2f","3OAS60",2
"322","ACOAD2f","3OAR60",2
"323","ACOAD2f","3OAR80",2
"324","ACOAD2f","3OAS80",2
"325","ACOAD2f","3OAS100",2
"326","ACOAD2f","3OAR40",2
"327","ACOAD2f","3OAR100",2
"328","ACOAD2f","3HAD60",2
"329","ACOAD2f","3HAD100",2
"330","ACOAD4f","3OAS100",2
"331","ACOAD4f","3OAR100",2
"332","ACOAD4f","3HAD100",2
"333","OPHHX3","OPHHXy",1
"334","DALAt2pp","DALAtex",3
"335","MN2tpp","MNt2pp",1
"336","CLt3_2pp","CLtipp",1
"337","POR5","FLDR2",1
"338","CTECOAI7","3OAS161",1
"339","CTECOAI7","3HAD161",1
"340","CTECOAI7","3OAR161",1
"341","RNTR1c2","NDPK8",2
"342","RNTR2c2","NDPK5",2
"343","I4FE4SR","SCYSDS",2
"344","I4FE4SR","S2FE2SS",2
"345","I4FE4SR","S4FE4SR",2
"346","I4FE4SR","S4FE4ST",2
"347","I4FE4SR","S2FE2SS2",2
"348","RNTR3c2","NDPK7",2
"349","I2FE2SS","SCYSDS",2
"350","I2FE2SS","S2FE2SS",2
"351","I2FE2SS","S4FE4SR",2
"352","I2FE2SS","S2FE2ST",2
"353","I2FE2SS","S4FE4ST",2
"354","I2FE2SS","S2FE2SS2",2
"355","I2FE2ST","SCYSDS",2
"356","I2FE2ST","S2FE2SS",2
"357","I2FE2ST","S2FE2ST",2
"358","I2FE2SS2","SCYSDS",2
"359","I2FE2SS2","S2FE2SS",2
"360","I2FE2SS2","S4FE4SR",2
"361","I2FE2SS2","S4FE4ST",2
"362","I2FE2SS2","S2FE2SS2",2
"363","I4FE4ST","SCYSDS",2
"364","I4FE4ST","S2FE2SS",2
"365","I4FE4ST","S4FE4SR",2
"366","I4FE4ST","S4FE4ST",2
"367","I4FE4ST","S2FE2SS2",2
"368","ACOAD1fr","3HAD80",1
"369","ACOAD1fr","3HAD40",1
"370","ACOAD1fr","3OAS60",1
"371","ACOAD1fr","3OAR60",1
"372","ACOAD1fr","3OAR80",1
"373","ACOAD1fr","3OAS80",1
"374","ACOAD1fr","3OAS100",1
"375","ACOAD1fr","3OAR40",1
"376","ACOAD1fr","3OAR100",1
"377","ACOAD1fr","3HAD60",1
"378","ACOAD1fr","3HAD100",1
"379","AI2K","MTHTHFSs",1
"380","AI2K","DHPTDCs2",1
"381","PYK2","NDPK2",1
"382","PIt2rpp","PIuabcpp",5
"383","PAI2I","MTHTHFSs",1
"384","PAI2I","DHPTDCs2",1
"385","I2FE2SR","S2FE2SR",2
"386","I2FE2SR","SCYSDS",1
"387","PAI2T","MTHTHFSs",1
"388","PAI2T","DHPTDCs2",1
"389","VALTA","ALATA_L",1
"390","IPDPS","DMPPS",2
"391","PRPPS","PPM",3
"392","GARFT","GART",4
"393","PSERT","GHMT2r",4
"394","PSP_L","GHMT2r",4
"395","O2tpp","ENO",3
"396","O2tpp","PGK",1
"397","O2tpp","GAPD",4
"398","O2tex","ENO",3
"399","O2tex","PGK",1
"400","O2tex","GAPD",4
"401","PGCD","GHMT2r",4
"402","PPPGO3","O2tpp",2
"403","PPPGO3","O2tex",2
"404","PDX5PO2","O2tpp",1
"405","PDX5PO2","O2tex",1
"406","PGM","O2tpp",3
"407","PGM","O2tex",3
"408","RPI","RPE",4
"409","RPI","TKT1",1
"410","RPI","TKT2",1
"411","OPHHX3","O2tpp",1
"412","OPHHX3","O2tex",1
"413","4HTHRA","OHPBAT",1
"414","4HTHRA","E4PD",1
"415","4HTHRA","PERD",1
"416","4HTHRK","OHPBAT",1
"417","4HTHRK","E4PD",1
"418","4HTHRK","PERD",1
"419","GARFT","PFL",1
"420","GHMT2r","PGCD",1
"421","GHMT2r","PSERT",1
"422","GHMT2r","PSP_L",1
"423","3HAD120","AACPS7",3
"424","3HAD120","FACOAE120",3
"425","3HAD120","ECOAH6",3
"426","3HAD120","HACD6i",3
"427","3HAD120","ACACT9",3
"428","3HAD140","AACPS1",2
"429","3HAD140","FACOAE140",3
"430","3HAD160","AACPS3",3
"431","3HAD160","FACOAE160",3
"432","3OAR120","AACPS7",3
"433","3OAR120","FACOAE120",3
"434","3OAR120","ECOAH6",3
"435","3OAR120","HACD6i",3
"436","3OAR120","ACACT9",3
"437","3OAR160","AACPS3",3
"438","3OAR160","FACOAE160",3
"439","3OAS120","AACPS7",3
"440","3OAS120","FACOAE120",3
"441","3OAS120","ECOAH6",3
"442","3OAS120","HACD6i",3
"443","3OAS120","ACACT9",3
"444","3OAS160","AACPS3",3
"445","3OAS160","FACOAE160",3
"446","CYSabcpp","CYSS",1
"447","CYSabcpp","SERAT",1
"448","CYSabcpp","SULR",1
"449","CYSabcpp","SO4tex",1
"450","CYSabcpp","SULabcpp",1
"451","CYSabcpp","PAPSSH",1
"452","CYStex","CYSS",1
"453","CYStex","SERAT",1
"454","CYStex","SULR",1
"455","CYStex","SO4tex",1
"456","CYStex","SULabcpp",1
"457","CYStex","PAPSSH",1
"458","CO2tex","Htex",1
"459","DHORD2","DHORD5",3
"460","FLDR","NDPK5",1
"461","FLDR","NDPK8",2
"462","GLU5K","ACGK",1
"463","GLU5K","ACGS",1
"464","GLU5K","AGPR",1
"465","FORtppi","GART",2
"466","GLYCtpp","GLYCtex",3
"467","LYSabcpp","ASAD",1
"468","LYSabcpp","ASPK",1
"469","LYSabcpp","DAPDC",1
"470","LYSabcpp","DAPE",1
"471","LYSabcpp","DHDPRy",1
"472","LYSabcpp","DHDPS",1
"473","LYSabcpp","SDPDS",1
"474","LYSabcpp","THDPS",1
"475","LYSabcpp","SDPTA",1
"476","LYStex","ASAD",1
"477","LYStex","ASPK",1
"478","LYStex","DAPDC",1
"479","LYStex","DAPE",1
"480","LYStex","DHDPRy",1
"481","LYStex","DHDPS",1
"482","LYStex","SDPDS",1
"483","LYStex","THDPS",1
"484","LYStex","SDPTA",1
"485","MTHFC","GART",3
"486","MTHFC","PFL",2
"487","MTHFD","GART",3
"488","MTHFD","PFL",2
"489","NDPK1","ADK3",4
"490","NDPK7","RNTR3c",1
"491","G5SD","ACGK",1
"492","G5SD","ACGS",1
"493","G5SD","AGPR",1
"494","P5CR","ACGK",1
"495","P5CR","ACGS",1
"496","P5CR","ACODA",1
"497","P5CR","ACOTA",1
"498","P5CR","AGPR",1
"499","PG140abcpp","PGP140abcpp",2
"500","PG140abcpp","PGPP140pp",2
"501","PG160abcpp","PGP160abcpp",3
"502","PG160abcpp","PGPP160pp",3
"503","PG161abcpp","PGP161abcpp",3
"504","PG161abcpp","PGPP161pp",3
"505","PG181abcpp","PGP181abcpp",3
"506","PG181abcpp","PGPP181pp",3
"507","PNTOt4pp","ASP1DC",1
"508","PNTOt4pp","DPR",1
"509","PNTOt4pp","MOHMT",1
"510","PNTOt4pp","PANTS",1
"511","PNTOtex","ASP1DC",1
"512","PNTOtex","DPR",1
"513","PNTOtex","MOHMT",1
"514","PNTOtex","PANTS",1
"515","PPK","PPA",3
"516","PGPP140","PGP140abcpp",2
"517","PGPP140","PGPP140pp",2
"518","RNTR1c","NDPK8",3
"519","PGPP160","PGP160abcpp",3
"520","PGPP160","PGPP160pp",3
"521","RNTR2c","NDPK5",2
"522","PGPP161","PGP161abcpp",3
"523","PGPP161","PGPP161pp",3
"524","PGPP181","PGP181abcpp",3
"525","PGPP181","PGPP181pp",3
"526","THRA","ASAD",1
"527","THRA","ASPK",1
"528","THRA","HSDy",1
"529","THRA","HSK",1
"530","THRA","THRS",1
"531","SUCDi","SUCCtex",1
"532","TYRt2rpp","CHORM",1
"533","TYRt2rpp","PPND",1
"534","TYRt2rpp","TYRTA",1
"535","TYRtex","CHORM",1
"536","TYRtex","PPND",1
"537","TYRtex","TYRTA",1
"538","NADS1","NADS2",1
"539","ENOPH","23DK5MPPISO",1
"540","ENOPH","2OH3K5MPPISO",1
"541","EAR40x","EAR40y",2
"542","EAR60x","EAR60y",2
"543","EAR80x","EAR80y",2
"544","EAR121x","EAR121y",2
"545","EAR141x","EAR141y",2
"546","EAR161x","EAR161y",2
"547","EAR181x","EAR181y",2
"548","ADK1","ADK3",2
"549","G5SADs","ACGK",1
"550","G5SADs","ACGS",1
"551","G5SADs","ACODA",1
"552","G5SADs","ACOTA",1
"553","G5SADs","AGPR",1
"554","ORNCD","ACGK",1
"555","ORNCD","ACGS",1
"556","ORNCD","ACODA",1
"557","ORNCD","ACOTA",1
"558","ORNCD","AGPR",1
"559","CYSabcpp","GHMT2r",1
"560","CYSDS","GHMT2r",1
"561","CYStex","GHMT2r",1
"562","CITt7pp","CS",1
"563","CITtex","CS",1
"564","CO2tex","GAPD",1
"565","CO2tex","ATPS4rpp",1
"566","H2St1pp","GHMT2r",1
"567","H2Stex","GHMT2r",1
"568","GLYt2pp","CYSabcpp",1
"569","GLYt2pp","CYSDS",1
"570","GLYt2pp","CYStex",1
"571","GLYt2pp","H2St1pp",1
"572","GLYt2pp","H2Stex",1
"573","GLYtex","CYSabcpp",1
"574","GLYtex","CYSDS",1
"575","GLYtex","CYStex",1
"576","GLYtex","H2St1pp",1
"577","GLYtex","H2Stex",1
"578","MTHFC","GARFT",3
"579","MTHFD","GARFT",3
"580","NDPK7","FLDR",1
"581","PGK","CO2tex",1
"582","RPE","G6PDH2r",2
"583","SUCOAS","AKGDH",3
"584","TKT2","G6PDH2r",2
"585","TPI","FBA",2
"586","TPI","PFK",2
"587","ADK1","NDPK1",1
"588","ORNCD","P5CR",1
"589","ORNCD","G5SADs",1
"590","ACOAD1f","3HAD100",1
"591","ACOAD1f","3HAD40",1
"592","ACOAD1f","3HAD60",1
"593","ACOAD1f","3HAD80",1
"594","ACOAD1f","3OAR100",1
"595","ACOAD1f","3OAR40",1
"596","ACOAD1f","3OAR60",1
"597","ACOAD1f","3OAR80",1
"598","ACOAD1f","3OAS100",1
"599","ACOAD1f","3OAS60",1
"600","ACOAD1f","3OAS80",1
"601","CBMKr","CBPS",2
"602","CTECOAI7_copy1","3HAD161",1
"603","CTECOAI7_copy1","3OAR161",1
"604","CTECOAI7_copy1","3OAS161",1
"605","CYTK1","NTD4",3
"606","G5SD","NACODA",3
"607","GLCtex_copy1","GLCtex_copy2",2
"608","GLU5K","NACODA",3
"609","OPHHX","OPHHX3",1
"610","O2tex","OPHHX3",1
"611","O2tpp","OPHHX3",1
"612","PRASCSi_copy1","PRASCSi_copy2",1
"613","MECDPDH2","MECDPDH5",1
"614","PGK","O2tex",3
"615","PGK","O2tpp",3
"616","PPC","FUM",3
"617","PPC","O2tex",2
"618","PPC","O2tpp",2
"619","TKT1","RPI",3
"620","TKT2","RPI",3
"621","ACHBS","ACLS_a",1
"622","ACHBS","ilvg",1
"623","ACONTa","FGLU",1
"624","ACONTa","FORAMD",1
"625","ACONTa","HISDr",1
"626","ACONTa","IZPN",1
"627","ACONTa","URCN",1
"628","ACONTb","FGLU",1
"629","ACONTb","FORAMD",1
"630","ACONTb","HISDr",1
"631","ACONTb","IZPN",1
"632","ACONTb","URCN",1
"633","CS","FGLU",1
"634","CS","FORAMD",1
"635","CS","HISDr",1
"636","CS","IZPN",1
"637","CS","URCN",1
"638","CYSTGL","THRD_L",1
"639","CYS","CYSS",1
"640","CYS","SERAT",1
"641","DNAMTn2r","METS",1
"642","DNAMTn2r","MTHFR2",1
"643","EAR121y","EAR121x",1
"644","EAR141y","EAR141x",1
"645","EAR161y","EAR161x",1
"646","EAR181y","EAR181x",1
"647","EAR40y","EAR40x",1
"648","EAR60y","EAR60x",1
"649","EAR80y","EAR80x",1
"650","FUM","SUCCt3pp",2
"651","FLDR","NDPK7",1
"652","HCYSMT","METS",1
"653","HCYSMT","MTHFR2",1
"654","ICDHyr","FGLU",1
"655","ICDHyr","FORAMD",1
"656","ICDHyr","HISDr",1
"657","ICDHyr","IZPN",1
"658","ICDHyr","URCN",1
"659","NDPK5","RNTR2c",1
"660","PGPP181","2AGPG181tipp",1
"661","PGPP181","2AGPGAT181",1
"662","PGPP181","FACOAL181t2pp",1
"663","PGPP181","PLIPA1G181pp",1
"664","PGPP160","2AGPG160tipp",1
"665","PGPP160","2AGPGAT160",1
"666","PGPP160","FACOAL160t2pp",1
"667","PGPP160","PLIPA1G160pp",1
"668","PGPP161","2AGPG161tipp",1
"669","PGPP161","2AGPGAT161",1
"670","PGPP161","FACOAL161t2pp",1
"671","PGPP161","PLIPA1G161pp",1
"672","RNTR3c","NDPK7",2
"673","RPI","KDOCT2",1
"674","RPI","MOAT",1
"675","RPI","MOAT2",1
"676","NDPK5","FLDR",1
"677","TALA","RPI",2
"678","3HAD180","ACOAD8f",1
"679","3HAD180","AACPS6",1
"680","3HAD180","FACOAE180",1
"681","3HAD180","FACOAL181t2pp",1
"682","3HAD180","CTECOAI8",1
"683","3OAR180","ACOAD8f",1
"684","3OAR180","AACPS6",1
"685","3OAR180","FACOAE180",1
"686","3OAR180","FACOAL181t2pp",1
"687","3OAR180","CTECOAI8",1
"688","3OAS180","ACOAD8f",1
"689","3OAS180","AACPS6",1
"690","3OAS180","FACOAE180",1
"691","3OAS180","FACOAL181t2pp",1
"692","3OAS180","CTECOAI8",1
"693","ATPM","pa2_ST",1
"694","ATPM","ps2_ST",1
"695","DKMPPD3","DKMPPD",1
"696","ORNDC","AGMT",1
"697","ORNDC","UREAtex",1
"698","ORNDC","UREAtpp",1
"699","PA140abcpp","CLPNH140pp",1
"700","PA160abcpp","CLPNH160pp",1
"701","PA161abcpp","CLPNH161pp",1
"702","PA180abcpp","CLPNH180pp",1
"703","PA181abcpp","CLPNH181pp",1
"704","O2tex","DHORD5",1
"705","O2tex","FRD2",1
"706","O2tex","SUCCt3pp",1
"707","O2tpp","DHORD5",1
"708","O2tpp","FRD2",1
"709","O2tpp","SUCCt3pp",1
"710","PAPA161pp","ENLIPAtex",1
"711","PAPA161pp","LIPAabcpp",1
"712","PAPA161pp","PETNT161pp",1
"713","PAPA181pp","ENLIPAtex",1
"714","PAPA181pp","LIPAabcpp",1
"715","PAPA181pp","PETNT181pp",1
"716","PG180abcpp","PGP180abcpp",1
"717","PG180abcpp","PGPP180pp",1
"718","PGPP180","PGP180abcpp",1
"719","PGPP180","PGPP180pp",1
"720","SO3R","SULR",1
"721","OA5L_ST","OA5VL_ST",1
"722","GAPD","ATPS4rpp",1
"723","NDPK1","ADK1",1
"724","O2tex","DKMPPD3",1
"725","O2tex","FBA",1
"726","O2tpp","DKMPPD3",1
"727","O2tpp","FBA",1
"728","PFK","O2tex",1
"729","PFK","O2tpp",1
"730","PGK","ATPS4rpp",1
"731","PPC","MDH",1
"732","TPI","O2tex",1
"733","TPI","O2tpp",1
"734","TALA","TKT1",1
"735","TALA","TKT2",1
"736","CMCBTFL","VIUB",1
"737","CMCBTFU","VIUB",1
"738","CTPS1","CTPS2",1
"739","AMMQT8","AMMQT8_2",1
"740","CYTBD","DHORDi",1
"741","DADK","NTPP5",1
"742","ASNt2r","ASNS1",1
"743","ADK1","ADK2",1
"744","DHFR_copy1","DHFR_copy2",1
"745","DHNPA_1","DHNPA2r",1
"746","DHNPA_1","DHPS2",1
"747","DHNPA_1","HPPK2",1
"748","DHPPDA2","DHPPDA",1
"749","DHPPDA2","GTPCII",1
"750","FAS160","ETHAt",1
"751","FAS160","GPDDA2",1
"752","FAS160","LPLIPAL2E160",1
"753","FAS160","PLIPA1E160",1
"754","FAS181","DESAT18",1
"755","FAS181","FACOAL180",1
"756","FAS181","FACOAL181",1
"757","FOLD3","DHNPA2r",1
"758","FOLD3","DHPS2",1
"759","FOLD3","HPPK2",1
"760","FRD","GLUCYS",1
"761","FRD","EGTB",1
"762","FRD","EGTC",1
"763","FRD","EGTE",1
"764","FRD","EGTD",1
"765","GLYCt","G3PD1ir",1
"766","GLYCt","G3PT",1
"767","GLYK","G3PD1ir",1
"768","G16MTM2","MANAT2",1
"769","GTPCII2","DHPPDA",1
"770","GTPCII2","GTPCII",1
"771","GHMT2r","ICL",1
"772","GLGC","MTI",1
"773","GLGC","MAK",1
"774","GLGC","GLGE",1
"775","HPPK","DHNPA2r",1
"776","HPPK","DHPS2",1
"777","HPPK","HPPK2",1
"778","GLU5K","ORNTA",1
"779","MI1PS","MI3PP",1
"780","MMSAD1","MACCOAT",1
"781","MMSAD1","HACD9",1
"782","MMSAD1","ECOAH9ir",1
"783","MMSAD1","ACOADH1",1
"784","MMSAD1","BKDC1",1
"785","MMSAD1","3M2OPLOXRD",1
"786","FCLT","FETRANS",1
"787","FCLT","FCLT2",1
"788","MAN1PT2","MAN1PT",1
"789","MECDPDH","IPDDI",1
"790","MECDPDH","HMEDS",1
"791","MECDPDH","HMEDR",1
"792","MI1PP","MI3PP",1
"793","NDPK3","NTD4",1
"794","PGMT","MTI",1
"795","PGMT","MAK",1
"796","PGMT","GLGE",1
"797","PGMT","GLGP",1
"798","PUNP5","HXPRT",1
"799","SHSL4r","THRD_L",1
"800","TDMS3","OTSB1",1
"801","TDMS3","TMMYCO",1
"802","TDMS3","FBPA",1
"803","P5CR","P5CRx",1
"804","TRE6PP","TREY",1
"805","HDECH","G3PAT160",1
"806","PAPSR","BPNT",1
"807","PAPSR","ADSK",1
"808","HIBD","MACCOAT",1
"809","HIBD","HACD9",1
"810","HIBD","ECOAH9ir",1
"811","HIBD","ACOADH1",1
"812","HIBD","BKDC1",1
