Var1,Var2
Double Lethal Reactions,
Rxn A,Rxn B
GARFT,GART
GARFT,PFL
GHMT2r,PGCD
GHMT2r,PSERT
GHMT2r,PSP_L
3HAD120,AACPS7
3HAD120,FACOAE120
3HAD120,ECOAH6
3HAD120,HACD6i
3HAD120,ACACT9
3HAD140,AACPS1
3HAD140,FACOAE140
3HAD160,AACPS3
3HAD160,FACOAE160
3OAR120,AACPS7
3OAR120,FACOAE120
3OAR120,ECOAH6
3OAR120,HACD6i
3OAR120,ACACT9
3OAR160,AACPS3
3OAR160,FACOAE160
3OAS120,AACPS7
3OAS120,FACOAE120
3OAS120,ECOAH6
3OAS120,HACD6i
3OAS120,ACACT9
3OAS160,AACPS3
3OAS160,FACOAE160
ASNS2,ASNS1
CYSabcpp,CYSS
CYSabcpp,SERAT
CYSabcpp,SULR
CYSabcpp,SO4tex
CYSabcpp,SULabcpp
CYSabcpp,PAPSSH
CYStex,CYSS
CYStex,SERAT
CYStex,SULR
CYStex,SO4tex
CYStex,SULabcpp
CYStex,PAPSSH
CO2tex,Htex
DHORD2,DHORD5
FLDR,NDPK5
FLDR,NDPK8
GLU5K,ACGK
GLU5K,ACGS
GLU5K,AGPR
GLUDy,GLUSy
FORtppi,GART
GLYCtpp,GLYCtex
KAS15,KAS14
LYSabcpp,ASAD
LYSabcpp,ASPK
LYSabcpp,DAPDC
LYSabcpp,DAPE
LYSabcpp,DHDPRy
LYSabcpp,DHDPS
LYSabcpp,SDPDS
LYSabcpp,THDPS
LYSabcpp,SDPTA
LYStex,ASAD
LYStex,ASPK
LYStex,DAPDC
LYStex,DAPE
LYStex,DHDPRy
LYStex,DHDPS
LYStex,SDPDS
LYStex,THDPS
LYStex,SDPTA
MDH,PPC
MTHFC,GART
MTHFC,PFL
MTHFD,GART
MTHFD,PFL
NDPK1,ADK3
NDPK7,RNTR3c
G5SD,ACGK
G5SD,ACGS
G5SD,AGPR
P5CR,ACGK
P5CR,ACGS
P5CR,ACODA
P5CR,ACOTA
P5CR,AGPR
PG140abcpp,PGP140abcpp
PG140abcpp,PGPP140pp
PG160abcpp,PGP160abcpp
PG160abcpp,PGPP160pp
PG161abcpp,PGP161abcpp
PG161abcpp,PGPP161pp
PG181abcpp,PGP181abcpp
PG181abcpp,PGPP181pp
PNTOt4pp,ASP1DC
PNTOt4pp,DPR
PNTOt4pp,MOHMT
PNTOt4pp,PANTS
PNTOtex,ASP1DC
PNTOtex,DPR
PNTOtex,MOHMT
PNTOtex,PANTS
PPK,PPA
PGPP140,PGP140abcpp
PGPP140,PGPP140pp
RNTR1c,NDPK8
PGPP160,PGP160abcpp
PGPP160,PGPP160pp
RNTR2c,NDPK5
PGPP161,PGP161abcpp
PGPP161,PGPP161pp
PGPP181,PGP181abcpp
PGPP181,PGPP181pp
THRA,ASAD
THRA,ASPK
THRA,HSDy
THRA,HSK
THRA,THRS
SUCDi,SUCCtex
TYRt2rpp,CHORM
TYRt2rpp,PPND
TYRt2rpp,TYRTA
TYRtex,CHORM
TYRtex,PPND
TYRtex,TYRTA
TRPS1,TRPS2
TRPS1,TRPS3
NADS1,NADS2
PIt2rpp,PIuabcpp
ENOPH,23DK5MPPISO
ENOPH,2OH3K5MPPISO
EAR40x,EAR40y
EAR60x,EAR60y
EAR80x,EAR80y
EAR121x,EAR121y
EAR141x,EAR141y
EAR161x,EAR161y
EAR181x,EAR181y
ADK1,ADK3
G5SADs,ACGK
G5SADs,ACGS
G5SADs,ACODA
G5SADs,ACOTA
G5SADs,AGPR
ORNCD,ACGK
ORNCD,ACGS
ORNCD,ACODA
ORNCD,ACOTA
ORNCD,AGPR
CYSabcpp,GHMT2r
CYSDS,GHMT2r
CYStex,GHMT2r
CITt7pp,CS
CITtex,CS
CO2tex,GAPD
CO2tex,ATPS4rpp
H2St1pp,GHMT2r
H2Stex,GHMT2r
GLYt2pp,CYSabcpp
GLYt2pp,CYSDS
GLYt2pp,CYStex
GLYt2pp,H2St1pp
GLYt2pp,H2Stex
GLYtex,CYSabcpp
GLYtex,CYSDS
GLYtex,CYStex
GLYtex,H2St1pp
GLYtex,H2Stex
MTHFC,GARFT
MTHFD,GARFT
NDPK7,FLDR
PGK,CO2tex
RPE,GND
RPE,G6PDH2r
RPE,PGL
TALA,RPE
SUCOAS,AKGDH
TKT1,RPE
TKT1,TALA
TKT2,GND
TKT2,G6PDH2r
TKT2,PGL
TKT2,RPE
TKT2,TALA
TKT2,TKT1
TPI,FBA
TPI,PFK
ADK1,NDPK1
ORNCD,P5CR
ORNCD,G5SADs
