Var1
Single Lethal Reactions
DDPA
DHAD1
DHAD2
GF6PTA
GK1
GLCS1
GLGC
ACCOAC
3HAD100
3HAD121
3HAD141
3HAD161
3HAD181
3HAD40
ACHBS
3HAD60
ACLS
3HAD80
3OAR100
3OAR121
3OAR140
3OAR141
3OAR161
3OAR181
3OAR40
3OAR60
3OAR80
3OAS100
3OAS121
3OAS140
3OAS141
3OAS161
3OAS181
3OAS60
3OAS80
ACONTa
ACONTb
ACtex
ADCL
ADCS
ADMDC
ADSL1r
ADSL2r
ADSS
ANPRT
ANS
AGMHE
APRAUR
AGPAT140
AGPAT160
AGPAT161
AGPAT181
AICART
AIRC2
AIRC3
ARGSL
ARGSS
ASPCT
ASPTA
ATPPRT
CTPS2
CBPS
CHORS
CLPNS140pp
CLPNS160pp
CLPNS161pp
CLPNS181pp
DB4PS
DHFR
DHFS
DHNPA2r
DHORTS
DHPPDA2
DHPS2
DHQS
DNTPPA
DPCOAK
DTMPK
FMNAT
GLNS
GLUPRT
GMHEPAT
HCO3E
GMHEPK
GMHEPPA
GMPS2
HISTD
HISTP
GTPCI
GTPCII2
HPPK2
IMPC
IMPD
HSTPT
ICDHyr
IPMD
IPPMIa
IPPMIb
IPPS
IG3PS
IGPDH
KARA1
IGPS
KARA2
ILETA
G1PACT
KDOCT2
KDOPP
KDOPS
LEUTAi
G3PAT140
LPADSS
G3PAT160
G3PAT161
MALS
G3PAT181
MCOATA
G3PD2
METabcpp
METAT
MOAT
MOAT2
MTAN
METtex
MTHFR2
NADK
NNATr
NNDPR
NDPK2
NDPK4
OMPDC
ORNDC
ORPT
O2tex
O2tpp
OCBT
PE140abcpp
OMCDC
PE160abcpp
PE161abcpp
PE181abcpp
PNTK
PGAMT
PSD140
PGMT
PSD160
PSD161
PSD181
PPCDC
PPNCL2
PSSA140
PSSA160
PSSA161
PSSA181
PTPATi
PRAGSr
PRAIi
PRAIS
PRAMPC
PRASCSi
PRATPP
PRFGS
PRMICI
QULNS
RBFK
RBFSa
RBFSb
PRPPS
PSCVT
RPI
T2DECAI
TDSK
SHK3Dr
SHKK
SPMS
THRD_L
PGSA140
PGSA160
PGSA161
TMDS
PGSA181
U23GAAT
UAGAAT
UAGDP
PHEt2rpp
PHEtex
PMDPHT
UHGADA
UMPK
GALUi
DASYN140
DASYN161
DASYN160
DASYN181
DNMPPA
GCALDD
PItex
USHD
VALTA
DHQTi
MTRK
MTRI
MDRPD
VPAMTr
ARD
UNK3
LPS_YPtetra
BIOMASS_37C
S7PI
A5PISO
KOKDO_LIPAtetra
ACt2rpp
