Type,Rxn_1_Type,Rxn_2_Type,Count,Fraction
PSL,pFBAOpt_Rxns,ELE_Rxns,20,0.06993006993006994
PSL,pFBAOpt_Rxns,MLE_Rxns,227,0.7937062937062938
PSL,pFBAOpt_Rxns,ZeroFlux_Rxns,1,0.0034965034965034965
PSL,pFBAOpt_Rxns,pFBAOpt_Rxns,3,0.01048951048951049
RSL,pFBAOpt_Rxns,pFBAOpt_Rxns,35,0.12237762237762238
