GAM6Pt6_2pp
GAMAN6Ptex
GAMptspp
GAMtex
DDGLCNt2rpp
DDGLCNtex
DDGLK
DGSNt2pp
DGSNtex
GDPtex
EX_dad_2_e
EX_dca_e
EX_dcyt_e
EX_ddca_e
GLCNt2rpp
EX_2ddglcn_e
GLCNtex
EX_dgsn_e
EX_din_e
GLCURt2rpp
GLCURtex
GLNabcpp
EX_cys__D_e
EX_dmso_e
EX_dms_e
14GLUCANtexi
23CAMPtex
5DGLCNtex
23CCMPtex
23CGMPtex
23CUMPtex
AAMYLpp
ABTA
ABUTt2pp
ABUTtex
23PDE2pp
3AMPtex
3CMPtex
3GMPtex
23PDE4pp
ACGAptspp
23PDE7pp
ACGAtex
23PDE9pp
ACMANAptspp
ACMANAtex
ACNAMt2pp
3NTD4pp
3NTD7pp
3NTD9pp
ACNAMtex
ACNML
3PEPTabcpp
3PEPTtex
3UMPtex
ADNt2pp
ADNtex
5DGLCNR
5DGLCNt2rpp
AMALT2
AMALT3
AMALT4
AMANAPEr
AMANK
AMPTASECG
AMPTASEPG
AGDC
ARAI
ARBabcpp
ARBtex
ALAALAabcpp
ALAALAtex
ALAt2pp
ALAtex
AMALT1
BALAt2pp
BALAtex
CSND
CSNt2pp
CSNtex
CYSDabcpp
CYSDDS
CYSDtex
CGLYabcpp
CGLYtex
DADNt2pp
DADNtex
DCAtex
DCYTt2pp
DCYTtex
DDCAtexi
DINSt2pp
DINStex
ETHSO3abcpp
ETHSO3tex
DMSOR1pp
DMSOtex
DMStex
FACOAL100t2pp
FACOAL60t2pp
FACOAL80t2pp
DURIt2pp
DURItex
FALDtex
FALDtpp
FDMO
FDMO2
FDMO3
FDMO6
FE3DCITabcpp
FMNRx
GLNtex
FE3DCITtonex
FMNRx2
FE3Ri
GLUNpp
GTPtex
GUI1
H2O2tex
GLYCAt2rpp
GLYCAtex
GLYCK2
FRUK
GLYCLTt4pp
GLYCLTtex
HDCAtexi
HDCEAtexi
GNK
FRUpts2pp
GPDDA3
FRUptspp
FRUtex
HISabcpp
GSNt2pp
HIStex
FRUURt2rpp
GSNtex
FRUURtex
HXAtex
INSTtex
ISETACabcpp
ISETACtex
MALTTRabcpp
MALTTRtexi
MALTTTRabcpp
MALTTTRtexi
MAN6PI
MAN6Pt6_2pp
M1PD
MAN6Ptex
MALDDH
MALDt2_2pp
MALDtex
MANptspp
MALt2_2pp
MANtex
MALt2_3pp
MALTabcpp
MALtex
MALTHXabcpp
MALTHXtexi
MALTPTabcpp
MALTPTtexi
MALTtexi
MNLptspp
MNLtex
METSOX1abcpp
METSOX1tex
METSOX2abcpp
METSOX2tex
MSO3abcpp
MSO3tex
METSOXR1
METSOXR2
MINOHPtexi
MLTG1
MLTG2
MLTG3
MLTG4
MLTG5
NMNPtpp
NMNtex
NO2t2rpp
NO2tex
NO3R1bpp
NO3R2bpp
NO3tex
G3PSabcpp
G3PStex
OROTt2_2pp
OROTtex
G6Pt6_2pp
G6Ptex
NTP3pp
NTRIR2x
O2Stex
OCDCAtexi
OCDCEAtexi
OCTAtex
PTRCabcpp
PTRCtex
PUNP6
PROGLYabcpp
PROGLYtex
RBK
RBK_L1
RBP4E
RIBabcpp
RIBtex
SULFACabcpp
SULFACtex
SKMt2pp
SKMtex
THMDt2pp
THMDtex
SPODMpp
SSALy
TTDCEAtexi
TRE6PH
TREptspp
TREtex
TSULabcpp
TSULtex
TTDCAtexi
XYLabcpp
XYLI1
XYLK
XYLtex
UM3PL
PHYTSpp
EX_14glucan_e
EX_23camp_e
EX_23ccmp_e
EX_23cgmp_e
EX_23cump_e
EX_3amp_e
EX_3cmp_e
EX_3gmp_e
EX_LalaDgluMdap_e
EX_3ump_e
EX_5dglcn_e
EX_4abut_e
EX_acgam_e
EX_acmana_e
EX_acnam_e
EX_duri_e
EX_adn_e
EX_alaala_e
EX_ala__L_e
EX_ethso3_e
EX_arab__L_e
EX_fald_e
EX_fe3dcit_e
EX_ala_B_e
EX_fru_e
EX_fruur_e
EX_cgly_e
EX_csn_e
EX_tre_e
EX_g3ps_e
EX_g6p_e
EX_tsul_e
EX_mal__D_e
EX_mal__L_e
EX_malthx_e
EX_maltpt_e
EX_malt_e
EX_gam6p_e
EX_gam_e
EX_malttr_e
EX_maltttr_e
EX_ttdca_e
EX_man6p_e
EX_gdp_e
EX_glcn_e
EX_man_e
EX_ttdcea_e
EX_metsox_S__L_e
EX_glcur_e
EX_gln__L_e
EX_metsox_R__L_e
EX_minohp_e
EX_glyc__R_e
EX_glyclt_e
EX_mnl_e
EX_mso3_e
EX_gsn_e
EX_nmn_e
EX_gtp_e
EX_no2_e
EX_no3_e
EX_h2o2_e
EX_o2s_e
EX_ocdca_e
EX_ocdcea_e
EX_hdca_e
EX_hdcea_e
EX_octa_e
EX_orot_e
EX_his__L_e
EX_hxa_e
EX_inost_e
EX_progly_e
EX_isetac_e
EX_ptrc_e
EX_rib__D_e
EX_skm_e
EX_sulfac_e
EX_thymd_e
EX_xyl__D_e
TSULR3e
