"","Centrality","Class","RCI","RI"
"23DK5MPPISO",0.00204081632653061,"ELE",2,1
"2OH3K5MPPISO",0.239285714285714,"ELE",2,1
"3HAD120",0.214285714285714,"Opt",49,5
"3HAD140",0.21530612244898,"Opt",39,2
"3HAD160",0.214285714285714,"Opt",44,2
"3OAR120",0.368877551020408,"Opt",49,5
"3OAR160",0.368877551020408,"Opt",44,2
"3OAS120",0.388775510204082,"Opt",49,5
"3OAS160",0.388775510204082,"Opt",44,2
"AACPS1",0.206122448979592,"ELE",22,1
"AACPS3",0.206122448979592,"ELE",47,3
"AACPS7",0.206122448979592,"ELE",39,3
"ACACT9",0.0316326530612245,"ELE",87,3
"ACGK",0.159183673469388,"ELE",17,5
"ACGS",0.391836734693878,"ELE",17,5
"ACODA",0.217857142857143,"ELE",19,3
"ACOTA",0.0285714285714286,"ELE",19,3
"ADK1",0.161224489795918,"Opt",3,2
"ADK3",0.162755102040816,"ELE",3,2
"AGPR",0.405612244897959,"ELE",17,5
"ASAD",0.404591836734694,"ELE",27,3
"ASNS1",0.507142857142857,"ELE",14,1
"ASNS2",0.427040816326531,"Opt",37,1
"ASP1DC",0.376530612244898,"MLE",16,2
"ASPK",0.164795918367347,"ELE",27,3
"ATPS4rpp",0.533673469387755,"Opt",4,1
"CHORM",0.00357142857142857,"MLE",46,2
"CITt7pp",0.013265306122449,"Opt",6,1
"CITtex",0.00153061224489796,"Opt",6,1
"CO2tex",0.00306122448979592,"Opt",4,4
"CS",0.461224489795918,"Opt",37,2
"CYSabcpp",0.500510204081633,"Opt",25,9
"CYSDS",0.242857142857143,"Opt",27,3
"CYSS",0.375,"ELE",48,2
"CYStex",0.00255102040816327,"Opt",27,9
"DAPDC",0.375510204081633,"MLE",47,2
"DAPE",0.00204081632653061,"MLE",26,2
"DHDPRy",0.368877551020408,"MLE",26,2
"DHDPS",0.463775510204082,"MLE",26,2
"DHORD2",0.0107142857142857,"Opt",34,1
"DHORD5",0.0102040816326531,"ELE",11,1
"DPR",0.368877551020408,"MLE",16,2
"EAR121x",0.370918367346939,"Opt",14,1
"EAR121y",0.368877551020408,"ELE",13,1
"EAR141x",0.372448979591837,"Opt",12,1
"EAR141y",0.370408163265306,"ELE",10,1
"EAR161x",0.372959183673469,"Opt",23,1
"EAR161y",0.370918367346939,"ELE",17,1
"EAR181x",0.372448979591837,"Opt",22,1
"EAR181y",0.370408163265306,"ELE",11,1
"EAR40x",0.370918367346939,"Opt",36,1
"EAR40y",0.368877551020408,"ELE",25,1
"EAR60x",0.370918367346939,"Opt",35,1
"EAR60y",0.368877551020408,"ELE",16,1
"EAR80x",0.371428571428571,"Opt",35,1
"EAR80y",0.369387755102041,"ELE",25,1
"ECOAH6",0.214285714285714,"ELE",87,3
"ENOPH",0.239285714285714,"Opt",44,2
"FACOAE120",0.461734693877551,"ELE",65,3
"FACOAE140",0.461734693877551,"ELE",22,1
"FACOAE160",0.461734693877551,"ELE",36,3
"FBA",0.011734693877551,"Opt",8,1
"FLDR",0.370408163265306,"Opt",25,3
"FORtppi",0.00714285714285714,"Opt",6,1
"G5SADs",0.447959183673469,"Opt",15,6
"G5SD",0.405102040816327,"Opt",13,3
"G6PDH2r",0.370918367346939,"Opt",27,2
"GAPD",0.412244897959184,"Opt",4,1
"GARFT",0.367857142857143,"Opt",28,4
"GART",0.443877551020408,"ELE",40,4
"GHMT2r",0.228061224489796,"Opt",44,8
"GLU5K",0.174489795918367,"Opt",13,3
"GLUDy",0.466836734693878,"Opt",21,1
"GLUSy",0.384183673469388,"ELE",39,1
"GLYCtex",0.00510204081632653,"ELE",39,1
"GLYCtpp",0.00612244897959184,"Opt",23,1
"GLYt2pp",0.405612244897959,"Opt",24,5
"GLYtex",0.00153061224489796,"Opt",24,5
"GND",0.073469387755102,"Opt",52,2
"H2St1pp",0.00357142857142857,"Opt",27,3
"H2Stex",0.00153061224489796,"Opt",27,3
"HACD6i",0.371428571428571,"ELE",87,3
"HSDy",0.368877551020408,"ELE",37,1
"HSK",0.410714285714286,"ELE",32,1
"Htex",0.110204081632653,"ELE",6,1
"KAS14",0.388775510204082,"ELE",1,1
"KAS15",0.385714285714286,"Opt",61,1
"LYSabcpp",0.499489795918367,"Opt",15,9
"LYStex",0.00204081632653061,"Opt",52,9
"MDH",0.372448979591837,"Opt",5,1
"MOHMT",0.219387755102041,"MLE",16,2
"MTHFC",0.448979591836735,"Opt",33,3
"MTHFD",0.0413265306122449,"Opt",33,3
"NADS1",0.430612244897959,"Opt",35,1
"NADS2",0.510714285714286,"ELE",1,1
"NDPK1",0.165816326530612,"Opt",3,2
"NDPK5",0.160714285714286,"Opt",19,2
"NDPK7",0.161224489795918,"Opt",10,2
"NDPK8",0.158673469387755,"ELE",11,2
"ORNCD",0.0204081632653061,"Opt",33,7
"P5CR",0.369897959183673,"Opt",72,6
"PANTS",0.419897959183673,"MLE",16,2
"PAPSSH",0.447959183673469,"ELE",54,2
"PFK",0.414795918367347,"Opt",8,1
"PFL",0.0586734693877551,"ELE",48,3
"PG140abcpp",0.502040816326531,"Opt",30,2
"PG160abcpp",0.502551020408163,"Opt",22,2
"PG161abcpp",0.502040816326531,"Opt",26,2
"PG181abcpp",0.502040816326531,"Opt",27,2
"PGCD",0.371938775510204,"ELE",8,1
"PGK",0.15969387755102,"Opt",4,1
"PGL",0.448469387755102,"Opt",27,2
"PGP140abcpp",0.499489795918367,"ELE",29,2
"PGP160abcpp",0.499489795918367,"ELE",27,2
"PGP161abcpp",0.499489795918367,"ELE",22,2
"PGP181abcpp",0.499489795918367,"ELE",22,2
"PGPP140",0.24030612244898,"Opt",20,2
"PGPP140pp",0.0596938775510204,"ELE",29,2
"PGPP160",0.24030612244898,"Opt",20,2
"PGPP160pp",0.0602040816326531,"ELE",27,2
"PGPP161",0.240816326530612,"Opt",20,2
"PGPP161pp",0.0596938775510204,"ELE",22,2
"PGPP181",0.240816326530612,"Opt",22,2
"PGPP181pp",0.0596938775510204,"ELE",22,2
"PIt2rpp",0.445918367346939,"Opt",10,1
"PIuabcpp",0.50969387755102,"ELE",48,1
"PNTOt4pp",0.0076530612244898,"Opt",42,4
"PNTOtex",0.00153061224489796,"Opt",42,4
"PPA",0.49234693877551,"ELE",41,1
"PPC",0.475510204081633,"ELE",54,1
"PPK",0.225,"Opt",1,1
"PPND",0.0719387755102041,"MLE",46,2
