GALCTNLt2pp
GALCTt2rpp
GALCTNLtex
GALCTNt2pp
GALCTNtex
GALCTtex
GALTtex
GALURt2rpp
GALURtex
DGMPtex
GBBTNtex
EX_damp_e
EX_15dap_e
EX_dcmp_e
EX_dgmp_e
EX_dimp_e
GLCRt2rpp
GLCRtex
GLCUR1Ptex
12PPDRtex
EX_dopa_e
12PPDRtpp
12PPDStex
12PPDStpp
14GLUCANabcpp
5DOAN
23DAPPAt2pp
AADDGT
2DGLCNRx
2DGLCNRy
23DAPPAtex
ACACt2pp
2DGULRx
2DGULRy
34dhpactex
ACACtex
ACGAL1Ptex
ACGALtex
ACGAM1Ptex
ACGAMK
ACGAMT
3KGK_copy1
ACMAMUT
26DAHtex
3KGK_copy2
ACMUMtex
4HOXPACDtex
4HTHRS
ACOLIPAtex
ACONMT
ACPS1
ADNCYC
ADOCBLabcpp
4PEPTabcpp
EX_ser__D_e
ADOCBLtonex
ADPRDP
ADSK
AMAOTr
AMMQLT8
AMPMS2
AGM3PA
AGM3PApp
AGM3PH
AGM3Pt2pp
AGM4PA
AGM4PH
AGM4Pt2pp
AMPtex
ANHMK
AOXSr
AP4AH
AGMH
AGMt2pp
AP5AH
AHCYSNS
ARGTRS
ASCBptspp
ASCBtex
ASNTRS
ASO3t8pp
ASO3tex
ALATRS
ALLabcpp
ALLPI
ALLTAMH
ALLtex
ALLTNt2rpp
ALLTNtex
ALPATE160pp
ALPATG160pp
ALR2
ALTRH
AM3PA
AM4PA
ASPTRS
ASR
COLIPAabcpp
COLIPAtex
CPGNabcpp
BETALDHx
BETALDHy
BSORx
CPGNtonex
BSORy
BTS4
CPPPGO2
BUTSO3abcpp
BUTSO3tex
BUTt2rpp
BUTtex
CRNtex
CA2tex
CU1abcpp
CBIAT
CBItonex
CBIuabcpp
CBL1abcpp
CBL1tonex
CU2abcpp
CU2tex
CUtex
CYANST
CBLAT
CD2abcpp
CYANtex
CYNTt2pp
CYNTtex
CD2t3pp
CD2tex
CYSSADS
CDPMEK
CFAS160E
CFAS160G
CFAS180E
CFAS180G
CYSTRS
CHLt2pp
CHLtex
CHRPL
CLPNS120pp
CLPNS141pp
CLPNS180pp
CLt3_2pp
CLtex
CMPtex
DAMPtex
DAPtex
COBALT2tex
DCMPtex
DHNAOT4
FEENTERtonex
DIMPtex
DKGLCNR1
ETHAt2pp
ETHAtex
F6Ptex
DKGLCNR2x
DKGLCNR2y
DMATT
DMPPS
FEOXAMtonex
DMQMT
DMSOR1
DMSOR2
DOPAtex
DSBAO1
DSBAO2
DSBCGT
FACOAE60
DSBDR
DSERt2pp
DSERtex
FLVR
DTMPtex
DUMPtex
DXPRIi
DXPS
FALDH2
DXYLK
E4PD
FLVRx
ECAP1pp
ECAP2pp
ECAP3pp
ECAtpp
FMETTRS
FDMO4
GLNTRS
FE3DHBZSabcpp
FE3DHBZStonex
FE3HOXabcpp
FE3HOXtonex
FE3tex
FECRMabcpp
FECRMtonex
FEENTERabcpp
GLYBabcpp
GUI2
GLYBt2pp
GLYBtex
GLYC2Ptex
H2tex
H2tpp
FRULYStex
GLYTRS
HBZOPT
HCINNMt2rpp
HCINNMtex
GMPtex
GP4GH
GPDDA1
GPDDA2
HEMEOS
GPDDA5
HG2abcpp
GRTT
HG2tex
HISTRS
HMPK1
GTHOXtex
EX_dtmp_e
HPPPNt2rpp
HPPPNtex
HPYRI
HPYRRx
HPYRRy
FUCtex
ILETRS
HSST
IMPtex
FUCtpp
ICHORS
IPDPS
IDONt2rpp
IDONtex
G1Ptex
G1PTT
Ktex
LA4NTpp
LALGP
LPLIPAL2ATE120
LPLIPAL2ATE140
LPLIPAL2ATE141
LPLIPAL2ATE160
LPLIPAL2ATE161
LPLIPAL2ATE180
LPLIPAL2ATE181
LPLIPAL2ATG120
LPLIPAL2ATG140
LPLIPAL2ATG141
LPLIPAL2ATG160
LEUTRS
LPLIPAL2ATG161
LPLIPAL2ATG180
LPLIPAL2ATG181
LPLIPAL2E120
LPLIPAL2E140
LPLIPAL2E141
LPLIPAL2E160
LPLIPAL2E161
LPLIPAL2E180
LPLIPAL2E181
LYSTRS
LYXI
LYXt2pp
LYXtex
MAN1PT2
MANGLYCptspp
MANGLYCtex
MCPST
MCTP1Bpp
MALTptspp
G3PCabcpp
MDDCP5pp
G3PCtex
MDDEP2pp
MMETt2pp
MMETtex
MECDPDH2
MECDPS
MELIBt2pp
MELIBtex
MEPCT
MNNH
METDabcpp
MNtex
METDtex
METS
MOBDabcpp
MOBDtex
G3PEabcpp
METTRS
MG2tex
MG2tpp
MG2uabcpp
MGSA
MTRPOX
MI1PP
N2Otex
MICITDr
N2Otpp
NACtex
MLTGY2pp
MLTGY3pp
NI2tex
NAMNPP
G3PIabcpp
NAtex
NNAM
G3PItex
NODOx
NODOy
NOtex
NOtpp
EX_cu_e
NPHS
OMMBLHX
NTD12
OMPHHX
OP4ENH
OPHBDC
OPHHX
OXGDC2
NTPP10
GAL1Ptex
NTPP11
NTPP9
PACALDt2rpp
PACALDtex
PAPA120pp
PAPA140pp
GALBDtex
OBTFL
PAPA141pp
PAPA160pp
PAPA161pp
PAPA180pp
OCTDPS
PAPA181pp
OHPBAT
PDX5POi
PDX5PS
OHPHM
OMBZLM
PEAMNtex
PERD
PFK_2
PGLYCP
PMANM
PMPK
PPALtex
PPALtpp
PPAt4pp
PPAtex
PPCSCT
PSERtex
PTA2
PPPNt2rpp
PPPNtex
PPTtex
PYDAMK
PYDXK
PYDXNK
R15BPK
R5Ptex
PROTRS
PSCLYSt2pp
PSCLYStex
RHCCE
RMI
RMK
RMNtex
RMNtpp
RMPA
SADT2
SARCOX
SBTptspp
SBTtex
SELCYSS
SELNPS
SERTRS
TARTRt7pp
TARTRtex
TAUDO
TAURabcpp
TAURtex
SERTRS2
SFGTHi
SHCHCS2
TCYNTtex
SHCHD2
TDPAGTA
TDPGDH
SHCHF
TDSR1
TDSR2
TGBPA
SO2tex
SO2tpp
SO3tex
SPMDAT1
SPMDAT2
SPMDtex
SPODM
THMabcpp
THMtex
THRA2
SUCBZL
SUCBZS
THRPtex
THRTRS
THYMt3pp
THYMtex
SUCptspp_1
THZPSN
TMAOtex
TMAtex
TUNGSabcpp
TUNGStex
TMK
TYMtex
TYRPtex
TMPK
TMPPP
TYRTRS
UACGAMtex
UACMAMO
UAG2E
TRPTRS
PHETA1
UDCPDPpp
UDCPDPS
UDPACGALtex
XYLK2
UDPGALtex
UDPGD
UDPGDC
UDPGLCURtex
UDPGtex
UDPKAAT
XYLUt2pp
XYLUtex
Zn2tex
ULA4NFT
PHETRS
UM4PL
UMPtex
UPLA4FNT
UPP3MT
VALTRS
XMPtex
EX_cyan_e
FEex
FEpp
EX_12ppd__R_e
EX_12ppd__S_e
EX_23dappa_e
EX_26dap__M_e
EX_34dhpac_e
EX_4hoxpacd_e
SALSYN
TPK1
DYTK2
G1PCTYT
EX_acac_e
EX_acgal1p_e
EX_acgal_e
EX_acgam1p_e
CDPGD
EX_acmum_e
UREAtex
UREAtpp
EX_acolipa_e
EX_cynt_e
EX_dump_e
EX_adocbl_e
EX_all__D_e
EX_etha_e
EX_alltn_e
EX_amp_e
EX_f6p_e
EX_ascb__L_e
EX_fe3dhbzs_e
EX_fe3hox_e
EX_aso3_e
EX_fe3_e
EX_fecrm_e
EX_butso3_e
EX_feenter_e
EX_but_e
EX_ca2_e
EX_feoxam_e
EX_frulys_e
EX_cbi_e
EX_cbl1_e
EX_cd2_e
EX_chol_e
EX_cl_e
EX_cmp_e
EX_cobalt2_e
EX_fuc__L_e
EX_colipa_e
EX_cpgn_e
EX_crn_e
EX_g1p_e
EX_g3pc_e
EX_cu2_e
EX_g3pi_e
EX_gal1p_e
EX_gal_bD_e
EX_galctn__L_e
EX_galctn__D_e
EX_lyx__L_e
EX_galct__D_e
EX_galt_e
EX_galur_e
EX_manglyc_e
EX_gbbtn_e
EX_glcr_e
EX_melib_e
EX_glcur1p_e
EX_met__D_e
EX_tungs_e
EX_mg2_e
EX_tym_e
EX_glyb_e
EX_mmet_e
EX_glyc2p_e
EX_tyrp_e
EX_mn2_e
EX_mobd_e
EX_n2o_e
EX_nac_e
EX_na1_e
EX_gmp_e
EX_gthox_e
EX_ni2_e
EX_no_e
EX_h2_e
EX_uacgam_e
EX_3hcinnm_e
EX_udpacgal_e
EX_pacald_e
EX_peamn_e
EX_hg2_e
