,rxns,diff_flux,abs_diff_flux,PathShort,PathLong,pathCommon,del_rxn1,del_rxn2,totalFluxDiff,solStatus,sl_size,common_sl_size,num_diff,net_diff,Organism,Type,Rxn_1_Active,Rxn_2_Active,Rxn_1_Min,Rxn_2_Min,v1,v2
0,"['ALATA_L', 'VALTA', 'VPAMTr']","[0.4847616703445999, -0.4847616703446, -0.48476167034459994]","[0.4847616703445999, 0.4847616703446, 0.48476167034459994]",['ALATA_L'],['VPAMTr'],['VALTA'],ALATA_L,VPAMTr,1.4542850110337997,1,3,1,1.0,0.48476167034460005,iML1515,PSL,True,True,-1000.0,-999.981444409774,-0.51027556723102,0.0
1,"['CPPPGO', 'HCYSMT', 'RHCCE', 'AHCYSNS', 'CPPPGO2', '5DOAN', 'DM_5drib_c', 'MTHTHFSs', 'DHPTDCs2', 'DM_mththf_c']","[-0.00018579181444999997, -0.00037158363092066834, -0.0003715836309206414, -0.0003715836309206414, 0.00018579181445001338, 0.00037158363029881903, 0.00037158363029881903, -0.0003715836309206414, -0.0003715836309206414, -0.0003715836309206414]","[0.00018579181444999997, 0.00037158363092066834, 0.0003715836309206414, 0.0003715836309206414, 0.00018579181445001338, 0.00037158363029881903, 0.00037158363029881903, 0.0003715836309206414, 0.0003715836309206414, 0.0003715836309206414]",['CPPPGO2'],"['CPPPGO', 'HCYSMT', 'MTHTHFSs', 'DHPTDCs2', 'DM_mththf_c']","['RHCCE', 'AHCYSNS', '5DOAN', 'DM_5drib_c']",CPPPGO,CPPPGO2,0.0039016280982659642,1,10,4,-4.0,-0.001486334524926224,iML1515,PSL,False,False,0.0,0.0,0.034125715607729,0.0
2,"['ALATA_L', 'VALTA', 'VPAMTr']","[-0.35255621428825634, 0.35255621428825634, 0.35255621428825634]","[0.35255621428825634, 0.35255621428825634, 0.35255621428825634]",['VALTA'],['VPAMTr'],['ALATA_L'],VALTA,VPAMTr,1.0576686428648998,1,3,1,-1.0,-0.35255621428825634,iML1515,PSL,True,True,-1000.0,-999.981444409774,-0.254793123710215,0.0
3,"['XPPT', 'HXPRT', 'IMPD', 'HXAND']","[0.20264471500036096, -0.20264471500053283, -0.20264471500036096, 0.20264471500036096]","[0.20264471500036096, 0.20264471500053283, 0.20264471500036096, 0.20264471500036096]","['HXPRT', 'IMPD']","['XPPT', 'HXAND']",[],IMPD,XPPT,0.8105788600016157,1,4,0,0.0,-1.7186252421197423e-13,iML1515,PSL,False,False,0.0,0.0,0.0,0.0
4,"['XPPT', 'HXPRT', 'IMPD', 'HXAND']","[0.20264471500013315, -0.20264471500013315, -0.20264471500013315, 0.20264471500013315]","[0.20264471500013315, 0.20264471500013315, 0.20264471500013315, 0.20264471500013315]","['HXPRT', 'IMPD']","['XPPT', 'HXAND']",[],IMPD,HXAND,0.8105788600005326,1,4,0,0.0,0.0,iML1515,PSL,False,False,0.0,0.0,0.0,0.0
5,"['ECOAH4', 'MACPD', 'HACD4', 'ACOATA', 'ACACT4r', 'AACPS8', 'AACPS9', 'FACOAE100', 'FACOAE80', 'FADRx2', 'EAR100x', '3OAS100', '3OAR100', '3HAD100', 'ACOAD4f']","[-0.2965004077419999, -0.2965004077422317, -0.2965004077419999, 0.2965004077422317, -0.2965004077419999, -0.29650040773878944, 0.2965004077420893, -0.2965004077420701, 0.2965004077420893, -0.29650040774184006, 0.2965004077420897, 0.2965004077420897, 0.2965004077420897, 0.2965004077420897, 0.2965004077419999]","[0.2965004077419999, 0.2965004077422317, 0.2965004077419999, 0.2965004077422317, 0.2965004077419999, 0.29650040773878944, 0.2965004077420893, 0.2965004077420701, 0.2965004077420893, 0.29650040774184006, 0.2965004077420897, 0.2965004077420897, 0.2965004077420897, 0.2965004077420897, 0.2965004077419999]","['AACPS9', 'FACOAE80', 'EAR100x', '3OAS100', '3OAR100', '3HAD100']","['ECOAH4', 'MACPD', 'HACD4', 'ACOATA', 'ACACT4r', 'FACOAE100', 'FADRx2', 'ACOAD4f']",['AACPS8'],ECOAH4,3OAS100,4.44750611612691,1,15,1,-1.0,-0.29650040774583786,iML1515,PSL,True,False,-17.5497314360529,0.0,0.0002438052256106,0.0
6,"['ECOAH4', 'MACPD', 'HACD4', 'ACOATA', 'ACACT4r', 'AACPS8', 'AACPS9', 'FACOAE100', 'FACOAE80', 'FADRx2', 'EAR100x', '3OAS100', '3OAR100', '3HAD100', 'ACOAD4f']","[-0.2965004077419999, -0.2965004077422317, -0.2965004077419999, 0.2965004077422317, -0.2965004077419999, -0.29650040773878944, 0.2965004077420893, -0.2965004077420701, 0.2965004077420893, -0.29650040774184006, 0.2965004077420897, 0.2965004077420897, 0.2965004077420897, 0.2965004077420897, 0.2965004077419999]","[0.2965004077419999, 0.2965004077422317, 0.2965004077419999, 0.2965004077422317, 0.2965004077419999, 0.29650040773878944, 0.2965004077420893, 0.2965004077420701, 0.2965004077420893, 0.29650040774184006, 0.2965004077420897, 0.2965004077420897, 0.2965004077420897, 0.2965004077420897, 0.2965004077419999]","['AACPS9', 'FACOAE80', 'EAR100x', '3OAS100', '3OAR100', '3HAD100']","['ECOAH4', 'MACPD', 'HACD4', 'ACOATA', 'ACACT4r', 'FACOAE100', 'FADRx2', 'ACOAD4f']",['AACPS8'],ECOAH4,3OAR100,4.44750611612691,1,15,1,-1.0,-0.29650040774583786,iML1515,PSL,True,False,-17.5497314360529,0.0,0.0002438052256106,6.25686752569637
7,"['ECOAH4', 'MACPD', 'HACD4', 'ACOATA', 'ACACT4r', 'AACPS8', 'AACPS9', 'FACOAE100', 'FACOAE80', 'FADRx2', 'EAR100x', '3OAS100', '3OAR100', '3HAD100', 'ACOAD4f']","[-0.2965004077419999, -0.2965004077422317, -0.2965004077419999, 0.2965004077422317, -0.2965004077419999, -0.29650040773878944, 0.2965004077420893, -0.2965004077420701, 0.2965004077420893, -0.29650040774184006, 0.2965004077420897, 0.2965004077420897, 0.2965004077420897, 0.2965004077420897, 0.2965004077419999]","[0.2965004077419999, 0.2965004077422317, 0.2965004077419999, 0.2965004077422317, 0.2965004077419999, 0.29650040773878944, 0.2965004077420893, 0.2965004077420701, 0.2965004077420893, 0.29650040774184006, 0.2965004077420897, 0.2965004077420897, 0.2965004077420897, 0.2965004077420897, 0.2965004077419999]","['AACPS9', 'FACOAE80', 'EAR100x', '3OAS100', '3OAR100', '3HAD100']","['ECOAH4', 'MACPD', 'HACD4', 'ACOATA', 'ACACT4r', 'FACOAE100', 'FADRx2', 'ACOAD4f']",['AACPS8'],ECOAH4,3HAD100,4.44750611612691,1,15,1,-1.0,-0.29650040774583786,iML1515,PSL,True,False,-17.5497314360529,0.0,0.0002438052256106,0.0
8,"['ECOAH1', 'ECOAH2', 'ECOAH3', 'MACPD', 'ACOATA', 'ACACT2r', 'ACACT3r', 'HACD1', 'HACD2', 'HACD3', 'ACACT1r', 'KAS15', 'FACOAE80', '3HAD80', 'FADRx2', '3HAD40', '3OAS60', '3OAR60', '3OAR80', '3OAS80', '3OAR40', '3HAD60', 'EAR40x', 'EAR60x', 'EAR80x', 'ACOAD3f', 'ACOAD2f', 'FA80ACPHi', 'ACOAD1fr']","[-0.2965004077419735, -0.2965004077419735, -0.2965004077419735, -0.8895012232322164, 0.8895012232321733, -0.2965004077419735, -0.2965004077419735, -0.2965004077419735, -0.2965004077419735, -0.2965004077419735, -0.2965004077419735, 0.2965004077419999, -0.29650040774199987, 0.2965004077419999, -0.8895012231648096, 0.2965004077419999, 0.2965004077419999, 0.2965004077419735, 0.2965004077419735, 0.2965004077419999, 0.2965004077419735, 0.2965004077419999, 0.2965004077419999, 0.2965004077419999, 0.2965004077419999, 0.2965004077419735, 0.2965004077419735, 0.2965004077576623, -0.29650040774199987]","[0.2965004077419735, 0.2965004077419735, 0.2965004077419735, 0.8895012232322164, 0.8895012232321733, 0.2965004077419735, 0.2965004077419735, 0.2965004077419735, 0.2965004077419735, 0.2965004077419735, 0.2965004077419735, 0.2965004077419999, 0.29650040774199987, 0.2965004077419999, 0.8895012231648096, 0.2965004077419999, 0.2965004077419999, 0.2965004077419735, 0.2965004077419735, 0.2965004077419999, 0.2965004077419735, 0.2965004077419999, 0.2965004077419999, 0.2965004077419999, 0.2965004077419999, 0.2965004077419735, 0.2965004077419735, 0.2965004077576623, 0.29650040774199987]","['KAS15', '3HAD80', '3HAD40', '3OAS60', '3OAR60', '3OAR80', '3OAS80', '3OAR40', '3HAD60', 'EAR40x', 'EAR60x', 'EAR80x', 'FA80ACPHi']","['ECOAH1', 'ECOAH2', 'ECOAH3', 'MACPD', 'ACOATA', 'ACACT2r', 'ACACT3r', 'HACD1', 'HACD2', 'HACD3', 'ACACT1r', 'FACOAE80', 'FADRx2', 'ACOAD3f', 'ACOAD2f', 'ACOAD1fr']",[],ECOAH1,3HAD80,10.37751427097,1,29,0,-3.0,-0.2965004078189151,iML1515,PSL,True,False,-9.78604669763502,0.0,0.0,0.0
9,"['ECOAH1', 'ECOAH2', 'ECOAH3', 'MACPD', 'ACOATA', 'ACACT2r', 'ACACT3r', 'HACD1', 'HACD2', 'HACD3', 'ACACT1r', 'KAS15', 'FACOAE80', '3HAD80', 'FADRx2', '3HAD40', '3OAS60', '3OAR60', '3OAR80', '3OAS80', '3OAR40', '3HAD60', 'EAR40x', 'EAR60x', 'EAR80x', 'ACOAD3f', 'ACOAD2f', 'FA80ACPHi', 'ACOAD1fr']","[-0.2965004077419735, -0.2965004077419735, -0.2965004077419735, -0.8895012232322164, 0.8895012232321733, -0.2965004077419735, -0.2965004077419735, -0.2965004077419735, -0.2965004077419735, -0.2965004077419735, -0.2965004077419735, 0.2965004077419999, -0.29650040774199987, 0.2965004077419999, -0.8895012231648096, 0.2965004077419999, 0.2965004077419999, 0.2965004077419735, 0.2965004077419735, 0.2965004077419999, 0.2965004077419735, 0.2965004077419999, 0.2965004077419999, 0.2965004077419999, 0.2965004077419999, 0.2965004077419735, 0.2965004077419735, 0.2965004077576623, -0.29650040774199987]","[0.2965004077419735, 0.2965004077419735, 0.2965004077419735, 0.8895012232322164, 0.8895012232321733, 0.2965004077419735, 0.2965004077419735, 0.2965004077419735, 0.2965004077419735, 0.2965004077419735, 0.2965004077419735, 0.2965004077419999, 0.29650040774199987, 0.2965004077419999, 0.8895012231648096, 0.2965004077419999, 0.2965004077419999, 0.2965004077419735, 0.2965004077419735, 0.2965004077419999, 0.2965004077419735, 0.2965004077419999, 0.2965004077419999, 0.2965004077419999, 0.2965004077419999, 0.2965004077419735, 0.2965004077419735, 0.2965004077576623, 0.29650040774199987]","['KAS15', '3HAD80', '3HAD40', '3OAS60', '3OAR60', '3OAR80', '3OAS80', '3OAR40', '3HAD60', 'EAR40x', 'EAR60x', 'EAR80x', 'FA80ACPHi']","['ECOAH1', 'ECOAH2', 'ECOAH3', 'MACPD', 'ACOATA', 'ACACT2r', 'ACACT3r', 'HACD1', 'HACD2', 'HACD3', 'ACACT1r', 'FACOAE80', 'FADRx2', 'ACOAD3f', 'ACOAD2f', 'ACOAD1fr']",[],ECOAH1,3HAD40,10.37751427097,1,29,0,-3.0,-0.2965004078189151,iML1515,PSL,True,False,-9.78604669763502,0.0,0.0,0.0
