,Rxn_1,Rxn_2,Rxn_1_Class,Rxn_2_Class,Subsystem 1,Subsystem 2
0,ALATA_L,VPAMTr,pFBAOpt_Rxns,ELE_Rxns,Alanine and Aspartate Metabolism,"Valine, Leucine, and Isoleucine Metabolism"
1,CPPPGO,CPPPGO2,pFBAOpt_Rxns,MLE_Rxns,Cofactor and Prosthetic Group Biosynthesis,Cofactor and Prosthetic Group Biosynthesis
2,VALTA,VPAMTr,pFBAOpt_Rxns,ELE_Rxns,"Valine, Leucine, and Isoleucine Metabolism","Valine, Leucine, and Isoleucine Metabolism"
3,IMPD,XPPT,pFBAOpt_Rxns,MLE_Rxns,Purine and Pyrimidine Biosynthesis,Nucleotide Salvage Pathway
4,IMPD,HXAND,pFBAOpt_Rxns,MLE_Rxns,Purine and Pyrimidine Biosynthesis,Nucleotide Salvage Pathway
5,ECOAH4,3OAS100,pFBAOpt_Rxns,MLE_Rxns,Membrane Lipid Metabolism,Cell Envelope Biosynthesis
6,ECOAH4,3OAR100,pFBAOpt_Rxns,MLE_Rxns,Membrane Lipid Metabolism,Cell Envelope Biosynthesis
7,ECOAH4,3HAD100,pFBAOpt_Rxns,MLE_Rxns,Membrane Lipid Metabolism,Cell Envelope Biosynthesis
8,ECOAH1,3HAD80,pFBAOpt_Rxns,MLE_Rxns,Membrane Lipid Metabolism,Cell Envelope Biosynthesis
9,ECOAH1,3HAD40,pFBAOpt_Rxns,MLE_Rxns,Membrane Lipid Metabolism,Cell Envelope Biosynthesis
10,ECOAH1,3OAS60,pFBAOpt_Rxns,MLE_Rxns,Membrane Lipid Metabolism,Cell Envelope Biosynthesis
11,ECOAH1,3OAR60,pFBAOpt_Rxns,MLE_Rxns,Membrane Lipid Metabolism,Cell Envelope Biosynthesis
12,ECOAH1,3OAR80,pFBAOpt_Rxns,MLE_Rxns,Membrane Lipid Metabolism,Cell Envelope Biosynthesis
13,ECOAH1,3OAS80,pFBAOpt_Rxns,MLE_Rxns,Membrane Lipid Metabolism,Cell Envelope Biosynthesis
14,ECOAH1,3OAS100,pFBAOpt_Rxns,MLE_Rxns,Membrane Lipid Metabolism,Cell Envelope Biosynthesis
15,ECOAH1,3OAR40,pFBAOpt_Rxns,MLE_Rxns,Membrane Lipid Metabolism,Cell Envelope Biosynthesis
16,ECOAH1,3OAR100,pFBAOpt_Rxns,MLE_Rxns,Membrane Lipid Metabolism,Cell Envelope Biosynthesis
17,ECOAH1,3HAD60,pFBAOpt_Rxns,MLE_Rxns,Membrane Lipid Metabolism,Cell Envelope Biosynthesis
18,ECOAH1,3HAD100,pFBAOpt_Rxns,MLE_Rxns,Membrane Lipid Metabolism,Cell Envelope Biosynthesis
19,ECOAH2,3HAD80,pFBAOpt_Rxns,MLE_Rxns,Membrane Lipid Metabolism,Cell Envelope Biosynthesis
20,ECOAH2,3HAD40,pFBAOpt_Rxns,MLE_Rxns,Membrane Lipid Metabolism,Cell Envelope Biosynthesis
21,ECOAH2,3OAS60,pFBAOpt_Rxns,MLE_Rxns,Membrane Lipid Metabolism,Cell Envelope Biosynthesis
22,ECOAH2,3OAR60,pFBAOpt_Rxns,MLE_Rxns,Membrane Lipid Metabolism,Cell Envelope Biosynthesis
23,ECOAH2,3OAR80,pFBAOpt_Rxns,MLE_Rxns,Membrane Lipid Metabolism,Cell Envelope Biosynthesis
24,ECOAH2,3OAS80,pFBAOpt_Rxns,MLE_Rxns,Membrane Lipid Metabolism,Cell Envelope Biosynthesis
25,ECOAH2,3OAS100,pFBAOpt_Rxns,MLE_Rxns,Membrane Lipid Metabolism,Cell Envelope Biosynthesis
26,ECOAH2,3OAR40,pFBAOpt_Rxns,MLE_Rxns,Membrane Lipid Metabolism,Cell Envelope Biosynthesis
27,ECOAH2,3OAR100,pFBAOpt_Rxns,MLE_Rxns,Membrane Lipid Metabolism,Cell Envelope Biosynthesis
28,ECOAH2,3HAD60,pFBAOpt_Rxns,MLE_Rxns,Membrane Lipid Metabolism,Cell Envelope Biosynthesis
29,ECOAH2,3HAD100,pFBAOpt_Rxns,MLE_Rxns,Membrane Lipid Metabolism,Cell Envelope Biosynthesis
30,ECOAH3,3HAD80,pFBAOpt_Rxns,MLE_Rxns,Membrane Lipid Metabolism,Cell Envelope Biosynthesis
31,ECOAH3,3HAD40,pFBAOpt_Rxns,MLE_Rxns,Membrane Lipid Metabolism,Cell Envelope Biosynthesis
32,ECOAH3,3OAS60,pFBAOpt_Rxns,MLE_Rxns,Membrane Lipid Metabolism,Cell Envelope Biosynthesis
33,ECOAH3,3OAR60,pFBAOpt_Rxns,MLE_Rxns,Membrane Lipid Metabolism,Cell Envelope Biosynthesis
34,ECOAH3,3OAR80,pFBAOpt_Rxns,MLE_Rxns,Membrane Lipid Metabolism,Cell Envelope Biosynthesis
35,ECOAH3,3OAS80,pFBAOpt_Rxns,MLE_Rxns,Membrane Lipid Metabolism,Cell Envelope Biosynthesis
36,ECOAH3,3OAS100,pFBAOpt_Rxns,MLE_Rxns,Membrane Lipid Metabolism,Cell Envelope Biosynthesis
37,ECOAH3,3OAR40,pFBAOpt_Rxns,MLE_Rxns,Membrane Lipid Metabolism,Cell Envelope Biosynthesis
38,ECOAH3,3OAR100,pFBAOpt_Rxns,MLE_Rxns,Membrane Lipid Metabolism,Cell Envelope Biosynthesis
39,ECOAH3,3HAD60,pFBAOpt_Rxns,MLE_Rxns,Membrane Lipid Metabolism,Cell Envelope Biosynthesis
40,ECOAH3,3HAD100,pFBAOpt_Rxns,MLE_Rxns,Membrane Lipid Metabolism,Cell Envelope Biosynthesis
41,PPC,MALS,pFBAOpt_Rxns,MLE_Rxns,Anaplerotic Reactions,Anaplerotic Reactions
42,HACD4,3OAS100,pFBAOpt_Rxns,MLE_Rxns,Membrane Lipid Metabolism,Cell Envelope Biosynthesis
43,HACD4,3OAR100,pFBAOpt_Rxns,MLE_Rxns,Membrane Lipid Metabolism,Cell Envelope Biosynthesis
44,HACD4,3HAD100,pFBAOpt_Rxns,MLE_Rxns,Membrane Lipid Metabolism,Cell Envelope Biosynthesis
45,TRPS3,TRPS1,pFBAOpt_Rxns,MLE_Rxns,"Tyrosine, Tryptophan, and Phenylalanine Metabolism","Tyrosine, Tryptophan, and Phenylalanine Metabolism"
46,NDPK2,PYK2,pFBAOpt_Rxns,pFBAOpt_Rxns,Nucleotide Salvage Pathway,Nucleotide Salvage Pathway
47,NDPK4,PYK6,pFBAOpt_Rxns,pFBAOpt_Rxns,Nucleotide Salvage Pathway,Nucleotide Salvage Pathway
48,ASNS2,ASNS1,pFBAOpt_Rxns,MLE_Rxns,Alanine and Aspartate Metabolism,Alanine and Aspartate Metabolism
49,DMPPS,IPDDI,pFBAOpt_Rxns,ELE_Rxns,Cofactor and Prosthetic Group Biosynthesis,Cofactor and Prosthetic Group Biosynthesis
50,IPDPS,IPDDI,pFBAOpt_Rxns,ELE_Rxns,Cofactor and Prosthetic Group Biosynthesis,Cofactor and Prosthetic Group Biosynthesis
51,TRDR,GTHOr,pFBAOpt_Rxns,ELE_Rxns,Oxidative Phosphorylation,Cofactor and Prosthetic Group Biosynthesis
52,TRDR,PAPSR2,pFBAOpt_Rxns,ELE_Rxns,Oxidative Phosphorylation,Cysteine Metabolism
53,TRDR,GRXR,pFBAOpt_Rxns,ELE_Rxns,Oxidative Phosphorylation,Unassigned
54,G3PD2,GLYK,pFBAOpt_Rxns,MLE_Rxns,Alternate Carbon Metabolism,Alternate Carbon Metabolism
55,G3PD2,ALCD19,pFBAOpt_Rxns,MLE_Rxns,Alternate Carbon Metabolism,Alternate Carbon Metabolism
