EX_cd2_e
3OAR80
EX_cbi_e
EX_cbl1_e
2AGPEAT120
2AGPEAT140
3OAS100
12DGR120tipp
2AGPEAT141
3OAS120
2AGPEAT160
2AGPEAT161
2AGPEAT180
12DGR140tipp
2AGPEAT181
3OAS121
2AGPG120tipp
2AGPG140tipp
12DGR141tipp
12DGR160tipp
12DGR161tipp
2AGPG141tipp
12DGR180tipp
3OAS140
12DGR181tipp
2AGPG160tipp
3OAS141
2AGPG161tipp
2AGPG180tipp
2AGPG181tipp
2AGPGAT120
2AGPGAT140
2AGPGAT141
2AGPGAT160
2AGPGAT161
2AGPGAT180
3OAS160
2AGPGAT181
3OAS161
3OAS180
3OAS181
3OAS60
3OAS80
3OXCOAT
3PEPTabcpp
12PPDt
3PEPTtex
2DGLCNRx
2DGLCNRy
13PPDH
2DGULRx
3UMPtex
2DGULRy
13PPDtex
13PPDtpp
42A12BOOXpp
14GLUCANabcpp
4HOXPACDtex
14GLUCANtexi
23CAMPtex
23CCMPtex
23CGMPtex
23CUMPtex
23DAPPAt2pp
2INSD
2MAHMP
4HTHRS
34dhpactex
3AMPtex
23DAPPAtex
23PDE2pp
23PDE4pp
3CMPtex
23PDE7pp
4PCP
23PDE9pp
3GMPtex
3HAD100
3HAD120
4PCPpp
3HAD121
26DAHtex
2AGPA120tipp
2AGPA140tipp
3HAD140
3HAD141
3HAD160
2AGPA141tipp
2AGPA160tipp
2AGPA161tipp
2AGPA180tipp
2AGPA181tipp
3HAD161
2AGPE120tipp
3HAD180
4PEPTabcpp
3HAD181
2AGPE140tipp
2AGPE141tipp
3HAD40
2AGPE160tipp
3HAD60
4PEPTtex
3HAD80
2AGPE161tipp
2AGPE180tipp
3HCINNMH
5DGLCNtex
3HPPPNH
2AGPE181tipp
3NTD2pp
5DOAN
3NTD4pp
3NTD7pp
3NTD9pp
ACGALtex
ACGAM1Ptex
A5PISO
ACGAMK
ACGAMT
AACPS1
ACGAptspp
AACPS2
ACGAtex
AACPS3
ACGK
ACGS
AACPS4
ACHBS
ACKr
3OADPCOAT
AACPS5
3OAR100
AACPS6
3OAR120
AACPS7
3OAR121
3OAR140
ACLDC
ACLS
3OAR141
ACLS_a
AACPS8
ACMAMUT
ACMANAptspp
ACMANAtex
3OAR160
3OAR161
3OAR180
3OAR181
3OAR40
3OAR60
ACMUMptspp
ACMUMtex
AACPS9
ACOAD1f
ADNK1
ACOAD2f
AADDGT
ACOAD3f
ACOAD4f
ADNUC
ADNt2pp
AAMYL
ADNtex
ADOCBIK
ACOAD5f
ACOAD6f
ACOAD7f
ACOAD8f
ADOCBLS
ADOCBLabcpp
AAMYLpp
ADOCBLtonex
ADPRDP
ADPT
ADSK
ACOATA
ACODA
ADSL1r
AB6PGH
ADSL2r
ADSS
AGDC
ACOLIPAtex
ACONIs
ACONMT
ABTA
ACONTa
AGM3PA
ACONTb
AGM3PApp
ABTDG
AGM3PH
ACOTA
AGM3Pt2pp
ACPS1
ABUTD
ACS
AGM4PA
AGM4PApp
ACSERtex
AGM4PCP
ACSERtpp
ABUTt2pp
ACTD
ACTDa
AGM4PCPpp
AGM4PH
AGM4Pt2pp
AGMH
AGMHE
ACt2rpp
ACt4pp
ACtex
ADA
ABUTtex
ADCL
ACACT1r
AGMPTRCtpp
ACALD
ACALDtex
AGMT
AGMt2pp
ADCPS1
ACALDtpp
ADCS
AGMtex
AGPAT120
AGPAT140
ACANTHAT
ACBIPGT
ACCOAC
ACGAL1Ptex
ADNCYC
ADCYRS
ADD
AGPAT141
ALAtex
AGPAT160
AGPAT161
AGPAT180
AGPAT181
AGPR
AGt3
ADEt2rpp
ADEtex
ADK1
ADK3
ADK4
ADMDC
ARGt3pp
ARGtex
AHCi
AHCYSNS
23DK5MPPISO
ALCD19
ASAD
ASCBPL
AICART
AIRC2
AIRC3
AKGDH
ASCBptspp
ASCBtex
ASNN
AKGt2rpp
ALCD2x
AKGtex
ALAALAabcpp
ALAALAr
ALAALAtex
ALAGLUE
ASNNpp
ASNS1
ASNS2
ASNTRS
ASNt2rpp
ASNtex
ASO3t8pp
ALCD3ir
