Rxn_1,Rxn_1_Min,Rxn_1_Max,Rxn_2,Rxn_2_Min,Rxn_2_Max,v1,v2,Rxn1_Prod,Rxn2_Prod
AACPS3,0,220.349437128916,3HAD160,0,30.5626919721627,0,0,0,0
AACPS3,0,220.349437128916,3OAR160,0,30.5626919721626,0,0,0,0
AACPS3,0,220.349437128916,3OAS160,0,30.5626919721627,0,0,0,0
AACPS4,0,220.35055734424,3HAD161,0,30.5630906928685,0,0,0,0
AACPS4,0,220.35055734424,3OAR161,0,30.5630906928685,0,0,0,0
AACPS4,0,220.35055734424,3OAS161,0,30.5630906928685,0,0,0,0
AACPS7,0,220.346990146372,3HAD120,0,30.5618210122596,0,0,0,0
AACPS7,0,220.346990146372,3OAR120,0,30.5618210122595,0,0,0,0
AACPS7,0,220.346990146372,3OAS120,0,30.5618210122596,0,0,0,0
ACACT1r,-8.86501451794254,7.25139332381491,3HAD100,0,18.5891488631278,0,0,-1,0
ACACT1r,-8.86501451794254,7.25139332381491,3HAD40,0,8.88249970307183,0,-0.0157822625544668,-1,0
ACACT1r,-8.86501451794254,7.25139332381491,3HAD60,0,8.88249970307001,0,0,-1,0
ACACT1r,-8.86501451794254,7.25139332381491,3HAD80,0,8.88249970307235,0,0,-1,0
ACACT1r,-8.86501451794254,7.25139332381491,3OAR100,0,18.5891488631278,0,0,-1,0
ACACT1r,-8.86501451794254,7.25139332381491,3OAR40,0,8.88249970307186,0,0,-1,0
ACACT1r,-8.86501451794254,7.25139332381491,3OAR60,0,8.88249970307004,0,0,-1,0
ACACT1r,-8.86501451794254,7.25139332381491,3OAR80,0,8.88249970307231,0,0,-1,0
ACACT1r,-8.86501451794254,7.25139332381491,3OAS100,0,18.5891488631278,0,0,-1,0
ACACT1r,-8.86501451794254,7.25139332381491,3OAS60,0,8.88249970307001,0,0,-1,0
ACACT1r,-8.86501451794254,7.25139332381491,3OAS80,0,8.88249970307235,0,0,-1,0
ACACT2r,-8.86501451794254,7.25139332381491,3HAD100,0,18.5891488631278,0,0,-1,0
ACACT2r,-8.86501451794254,7.25139332381491,3HAD40,0,8.88249970307183,0,-0.0157822625544668,-1,0
ACACT2r,-8.86501451794254,7.25139332381491,3HAD60,0,8.88249970307001,0,0,-1,0
ACACT2r,-8.86501451794254,7.25139332381491,3HAD80,0,8.88249970307235,0,0,-1,0
