Rxn_1,Rxn_2,Rxn_1_Class,Rxn_2_Class
ECOAH1,3HAD60,ELE_Rxns,ELE_Rxns
ECOAH1,3HAD80,ELE_Rxns,ELE_Rxns
ECOAH1,3OAR100,ELE_Rxns,ELE_Rxns
ECOAH1,3OAR40,ELE_Rxns,ELE_Rxns
ECOAH1,3OAR60,ELE_Rxns,ELE_Rxns
ECOAH1,3OAR80,ELE_Rxns,ELE_Rxns
ECOAH1,3OAS100,ELE_Rxns,ELE_Rxns
ECOAH1,3OAS60,ELE_Rxns,ELE_Rxns
ECOAH1,3OAS80,ELE_Rxns,ELE_Rxns
ECOAH2,3HAD100,ELE_Rxns,ELE_Rxns
ECOAH2,3HAD40,ELE_Rxns,ELE_Rxns
ECOAH2,3HAD60,ELE_Rxns,ELE_Rxns
ECOAH2,3HAD80,ELE_Rxns,ELE_Rxns
ECOAH2,3OAR100,ELE_Rxns,ELE_Rxns
ECOAH2,3OAR40,ELE_Rxns,ELE_Rxns
ECOAH2,3OAR60,ELE_Rxns,ELE_Rxns
ECOAH2,3OAR80,ELE_Rxns,ELE_Rxns
ECOAH2,3OAS100,ELE_Rxns,ELE_Rxns
ECOAH2,3OAS60,ELE_Rxns,ELE_Rxns
ECOAH2,3OAS80,ELE_Rxns,ELE_Rxns
ECOAH3,3HAD100,ELE_Rxns,ELE_Rxns
ECOAH3,3HAD40,ELE_Rxns,ELE_Rxns
ECOAH3,3HAD60,ELE_Rxns,ELE_Rxns
ECOAH3,3HAD80,ELE_Rxns,ELE_Rxns
ECOAH3,3OAR100,ELE_Rxns,ELE_Rxns
ECOAH3,3OAR40,ELE_Rxns,ELE_Rxns
ECOAH3,3OAR60,ELE_Rxns,ELE_Rxns
ECOAH3,3OAR80,ELE_Rxns,ELE_Rxns
ECOAH3,3OAS100,ELE_Rxns,ELE_Rxns
ECOAH3,3OAS60,ELE_Rxns,ELE_Rxns
ECOAH3,3OAS80,ELE_Rxns,ELE_Rxns
ECOAH4,3HAD100,ELE_Rxns,ELE_Rxns
ECOAH4,3OAR100,ELE_Rxns,ELE_Rxns
ECOAH4,3OAS100,ELE_Rxns,ELE_Rxns
CYTK1,NTD4,ELE_Rxns,ELE_Rxns
G3PAT160,ACPPAT160,ELE_Rxns,ELE_Rxns
G3PAT160,APG3PAT160,ELE_Rxns,ELE_Rxns
G3PAT161,ACPPAT161,ELE_Rxns,ELE_Rxns
G3PAT161,APG3PAT161,ELE_Rxns,ELE_Rxns
G5SD,NACODA,ELE_Rxns,ELE_Rxns
GLCtex_copy1,GLCtex_copy2,pFBAOpt_Rxns,pFBAOpt_Rxns
GLU5K,NACODA,ELE_Rxns,ELE_Rxns
GLUDy,GLUSy,ELE_Rxns,ELE_Rxns
HACD1,3HAD100,ELE_Rxns,ELE_Rxns
HACD1,3HAD40,ELE_Rxns,ELE_Rxns
HACD1,3HAD60,ELE_Rxns,ELE_Rxns
HACD1,3HAD80,ELE_Rxns,ELE_Rxns
HACD1,3OAR100,ELE_Rxns,ELE_Rxns
HACD1,3OAR40,ELE_Rxns,ELE_Rxns
HACD1,3OAR60,ELE_Rxns,ELE_Rxns
HACD1,3OAR80,ELE_Rxns,ELE_Rxns
HACD1,3OAS100,ELE_Rxns,ELE_Rxns
HACD1,3OAS60,ELE_Rxns,ELE_Rxns
HACD1,3OAS80,ELE_Rxns,ELE_Rxns
HACD2,3HAD100,ELE_Rxns,ELE_Rxns
HACD2,3HAD40,ELE_Rxns,ELE_Rxns
HACD2,3HAD60,ELE_Rxns,ELE_Rxns
HACD2,3HAD80,ELE_Rxns,ELE_Rxns
HACD2,3OAR100,ELE_Rxns,ELE_Rxns
HACD2,3OAR40,ELE_Rxns,ELE_Rxns
HACD2,3OAR60,ELE_Rxns,ELE_Rxns
HACD2,3OAR80,ELE_Rxns,ELE_Rxns
HACD2,3OAS100,ELE_Rxns,ELE_Rxns
HACD2,3OAS60,ELE_Rxns,ELE_Rxns
HACD2,3OAS80,ELE_Rxns,ELE_Rxns
HACD3,3HAD100,ELE_Rxns,ELE_Rxns
HACD3,3HAD40,ELE_Rxns,ELE_Rxns
HACD3,3HAD60,ELE_Rxns,ELE_Rxns
HACD3,3HAD80,ELE_Rxns,ELE_Rxns
HACD3,3OAR100,ELE_Rxns,ELE_Rxns
HACD3,3OAR40,ELE_Rxns,ELE_Rxns
HACD3,3OAR60,ELE_Rxns,ELE_Rxns
HACD3,3OAR80,ELE_Rxns,ELE_Rxns
HACD3,3OAS100,ELE_Rxns,ELE_Rxns
HACD3,3OAS60,ELE_Rxns,ELE_Rxns
HACD3,3OAS80,ELE_Rxns,ELE_Rxns
HACD4,3HAD100,ELE_Rxns,ELE_Rxns
HACD4,3OAR100,ELE_Rxns,ELE_Rxns
HACD4,3OAS100,ELE_Rxns,ELE_Rxns
I2FE2SR,S2FE2SR,ZeroFlux_Rxns,ZeroFlux_Rxns
I2FE2SS,S2FE2SS,MLE_Rxns,MLE_Rxns
I2FE2SS,S2FE2SS2,MLE_Rxns,MLE_Rxns
I2FE2SS,S2FE2ST,MLE_Rxns,MLE_Rxns
I2FE2SS,S4FE4SR,MLE_Rxns,MLE_Rxns
I2FE2SS,S4FE4ST,MLE_Rxns,MLE_Rxns
I2FE2SS,SCYSDS,MLE_Rxns,MLE_Rxns
I2FE2SS2,S2FE2SS,MLE_Rxns,MLE_Rxns
I2FE2SS2,S2FE2SS2,MLE_Rxns,MLE_Rxns
I2FE2SS2,S4FE4SR,MLE_Rxns,MLE_Rxns
I2FE2SS2,S4FE4ST,MLE_Rxns,MLE_Rxns
I2FE2SS2,SCYSDS,MLE_Rxns,MLE_Rxns
I2FE2ST,S2FE2SS,MLE_Rxns,MLE_Rxns
I2FE2ST,S2FE2ST,MLE_Rxns,MLE_Rxns
I2FE2ST,SCYSDS,MLE_Rxns,MLE_Rxns
I4FE4SR,S2FE2SS,MLE_Rxns,MLE_Rxns
I4FE4SR,S2FE2SS2,MLE_Rxns,MLE_Rxns
I4FE4SR,S4FE4SR,MLE_Rxns,MLE_Rxns
I4FE4SR,S4FE4ST,MLE_Rxns,MLE_Rxns
I4FE4SR,SCYSDS,MLE_Rxns,MLE_Rxns
I4FE4ST,S2FE2SS,MLE_Rxns,MLE_Rxns
I4FE4ST,S2FE2SS2,MLE_Rxns,MLE_Rxns
I4FE4ST,S4FE4SR,MLE_Rxns,MLE_Rxns
I4FE4ST,S4FE4ST,MLE_Rxns,MLE_Rxns
I4FE4ST,SCYSDS,MLE_Rxns,MLE_Rxns
IMPD,HXAND,ELE_Rxns,ELE_Rxns
IMPD,XPPT,ELE_Rxns,ELE_Rxns
IPDPS,IPDDI,MLE_Rxns,MLE_Rxns
Kt2pp,Kabcpp,ELE_Rxns,ELE_Rxns
NDPK1,ADK3,ELE_Rxns,ELE_Rxns
OPHHX,OPHHX3,MLE_Rxns,MLE_Rxns
O2tex,CPPPGO2,pFBAOpt_Rxns,ELE_Rxns
O2tex,OPHHX3,pFBAOpt_Rxns,MLE_Rxns
O2tpp,CPPPGO2,pFBAOpt_Rxns,ELE_Rxns
O2tpp,OPHHX3,pFBAOpt_Rxns,MLE_Rxns
PAPSR,GRXR,ELE_Rxns,ELE_Rxns
PAPSR,GTHOr,ELE_Rxns,ELE_Rxns
PAPSR,PAPSR2,ELE_Rxns,ELE_Rxns
PDX5PO2,PDX5POi,MLE_Rxns,MLE_Rxns
NI2tpp,NI2uabcpp,ELE_Rxns,ELE_Rxns
PIt2rpp,PIuabcpp,ELE_Rxns,ELE_Rxns
PPC,ICL,ELE_Rxns,ELE_Rxns
PPC,MALS,ELE_Rxns,ELE_Rxns
PPK,PPA,ELE_Rxns,ELE_Rxns
PPPGO3,PPPGO,ELE_Rxns,ELE_Rxns
PRASCSi_copy1,PRASCSi_copy2,ELE_Rxns,ELE_Rxns
PRPPS,R15BPK,ELE_Rxns,ELE_Rxns
PRPPS,R1PK,ELE_Rxns,ELE_Rxns
RNTR1c2,NDPK8,ELE_Rxns,ELE_Rxns
