"","Centrality","Class","RCI","RI"
"PGMT",0.0114285714285714,"Opt",0.191082802547771,0.0318471337579618
"PLIPA1E160",0.615510204081633,"MLE",0.0254777070063694,0.00636942675159236
"PUNP5",0.142040816326531,"Opt",0.0318471337579618,0.00636942675159236
"RPE",0.0073469387755102,"Opt",0.152866242038217,0.0318471337579618
"SHSL4r",0.626938775510204,"Opt",0.10828025477707,0.00636942675159236
"TALA",0.0163265306122449,"Opt",0.171974522292994,0.00636942675159236
"TDMS3",0.61469387755102,"Opt",0.248407643312102,0.0191082802547771
"THRD_L",0.0383673469387755,"ELE",0.0828025477707006,0.00636942675159236
"TKT1",0.0163265306122449,"Opt",0.171974522292994,0.0127388535031847
"TKT2",0.0171428571428571,"Opt",0.171974522292994,0.0382165605095541
"TMDS",0.0155102040816327,"ELE",0.00636942675159236,0.00636942675159236
"TMDS3",0.506938775510204,"Opt",0.261146496815287,0.00636942675159236
"TMMYCO",0.00571428571428571,"MLE",0.159235668789809,0.00636942675159236
"TPI",0.0155102040816327,"Opt",0.0828025477707006,0.0254777070063694
"TRE6PP",0.38530612244898,"Opt",0.0955414012738854,0.0254777070063694
"TREY",0.328979591836735,"MLE",0.0318471337579618,0.00636942675159236
"TRPS1",0.335510204081633,"Opt",0.178343949044586,0.0127388535031847
"TRPS2",0.328979591836735,"ELE",0.0127388535031847,0.00636942675159236
"TRPS3",0.0114285714285714,"ELE",0.0127388535031847,0.00636942675159236
"URIDK2r",0.164081632653061,"Opt",0.114649681528662,0.00636942675159236
"VIUB",0.470204081632653,"MLE",0.10828025477707,0.0127388535031847
