ACACT1r
ALDD1
AMID4
ACS2
ACYSBMNt
ARB_Dabc
BDH
BMNMSHS
BMNt
EX_lcts_e
EX_malt_e
EX_meoh_e
EX_met__L_e
DSERt2
EX_no2_e
EX_no3_e
EX_ocdca_e
EX_acysbmn_e
EX_arab__D_e
EX_ppa_e
EX_rib__D_e
EX_ser__D_e
EX_tartr__L_e
EX_bmn_e
EX_tre_e
EX_tsul_e
EX_ttdca_e
EX_gal_e
EX_glc__D_e
EX_ad_e
ADtr
EX_urea_e
EX_glyc3p_e
EX_gthrd_e
EX_hdca_e
GLYC3Pabc
GTHRDt2_1
GALKr
GALT
GALt2
HDCAt2
GLCabc
LACZ
LCTSabc
MSHAMID
MALTabc
MCBTS
MCBTS2
NH4OHDs
MEOHt2
METabc
NARK
NO3R1
NO3R2
PRDX
PPAtr
RIBabc
NTRIR2x
NTRIRx
NTRIRy
SERD_D
TSULabc
TTDCAt2
OCDCAt2
OCOAT1
TARTD
TARTRt7
UPPRT
UREA
XYLK
YUMPS
TREabc
GLNabc
FAD_5
FAD_6
FAD_7
FAD_20
FAD_1
FAD_2
FAD_3
FAD_4
FAD_25
FAD_26
FAD_27
FAD_21
ALDR
AL4D
FAD_22
FAD_23
FAD_24
EX_nodcoa_e
EX_gln__L_e
NODCOAt
EX_octscoa_e
OCTSCOAt
CYSK2_I
NO3t3
TAG
LIPY
MBTK3
MBTG
PHEMEt
EX_pheme_e
DM_psd5p_c
DM_scys__L_c
UREAt_2
MBTA1
SALSYN
PPAKr
PTA2
