2AGPEAT160
2AGPEAT180
3M2OPLOXRD
4ABZt
ABTA
ACALDt
ACCA3
ACCD3
ACGAMPM
ACOADH1
ACP1_FMN
ACS
ACYP_2
ACt2r_1
ADA
ADNCYC
ADSK
AGDC
AKGDH
AKGDa
AKGDb
AKGt2r_1
ALAALAD
ALAt2r
ALCD19y
ALCD22_L
ALDD19xr
ALDD2x
AMMQT8_2
AMPTASECG
ARACHTA
ARBabc
ARBt2r
ARGDr
ARGt5r
ASNS1
ASPO5
ASPt2r
AST
BALAt2r
BIRA
BKDC1
BPNT
BPNT2
CAATPS
CAt4
CDAPPA160
CDAPPA160190
CDAPPA190
CDPPT160
CHLabc
CHLabc_rev
CITL
COAt
COCO2
COt
CTPS2
CYSM_I
CYSM_II
CYSO_I
CYSO_II
CYSS
CYSTL
CYTD
CYTDK2
CYTDt2
CYTK2
Cuabc
Cut1
DADA
DAGK160
DALAOX
DALAt2r
DCTPD
DCTPD2
DHORDi
DM_ergoth_c
DM_gmhep1p_c
DM_isotbsinol_13R_c
DM_isotbsinol_13S_c
DM_tbsinol_c
DUTPDP
ECOAH9ir
EGTB
EGTC
EGTD
EGTE
ETHAt
EX_4abz_e
EX_ac_e
EX_acald_e
EX_akg_e
EX_ala_B_e
EX_ala__D_e
EX_ala__L_e
EX_arg__L_e
EX_asp__L_e
EX_co_e
EX_coa_e
EX_cytd_e
EX_etha_e
EX_for_e
EX_fum_e
EX_glu__L_e
EX_gly_e
EX_glyclt_e
EX_h2_e
EX_h2s_e
EX_his__L_e
EX_id3acald_e
EX_ile__L_e
EX_lac__L_e
EX_leu__L_e
EX_lys__L_e
EX_mal__L_e
EX_ocdcea_e
EX_orn_e
EX_pac_e
EX_pdima_e
EX_phdca_e
EX_phe__L_e
EX_ppdima_e
EX_pro__L_e
EX_pyr_e
EX_ser__L_e
EX_skm_e
EX_thr__L_e
EX_trp__L_e
EX_tyr__L_e
EX_val__L_e
FACOAE140
FACOAE160
FACOAE180
FACOAL140
FACOAL200
FACOAL80
FACOALPREPH
FAD_10
FAD_11
FAD_12
FAD_13
FAD_14
FAD_15
FAD_16
FAD_17
FAD_18
FAD_19
FAD_8
FAD_9
FAO1
FAO10
FAO11
FAO2
FAO3
FASm240
FASm260
FASm280
FBPA
FCOAH2
FHL
FOMETRi
FORMCOAL
FORt
FRD2
FRD3
FTHFCL
FTHFD
FUMt2r
G3PAT160
G3PT
G6PDH2r
GGLUCT2
GLGP
GLUCYS
GLUDC
GLUSy
GLUt2r
GLXO1
GLYALDDr
GLYCK
GLYCLTt
GLYCS_I
GLYCS_II
GLYCTO1
GLYCTO4
GLYt2r
GMHEPK
GMHEPPA
GND
GPDDA2
GSNK
GTHS
GTMLT
GTPDPDP
GTPDPK
GTPH1
GUACYC
GUAD
GUAPRT
H2St1
H2td
HACD9
HCYSMT
HETZK
HEX1
HISt2r
HMEDR
HMEDS
HXPRT
ICL
ID3ACALDt
ILEt2r
INDPYRD
INSK
Kabc
LCADi
LEUt2r
LO
LPLIPAL2E160
LYSt5r
L_LACD
L_LACt2r
L_LACt3
MACCOAT
MALS
MALT
MALt2r
MAN1PT
MCD
MCITD
MCITL2
MCITS
METOX1s
METOX2s
METSOXR1
METSOXR2
MGSA
MICITDr
MMCD
MME
MMM2
MNabc_rev
MOBDabc
MOBDabc_rev
Mn2t
NADDP
NADH9
NMNAT
NTD10
NTD11
NTD2
NTD4
NTD5
NTD7
NTD9
NTP3
NTPP2
NTPP3
NTPP4
NTPP5
NTPP7
NTPP8
NTPTP2
OCDCEAt
OPAH
ORNt
OTSB1
OXACOAL
OXCDC
OXGDC
P5CD
PACt2r
PAPA160
PC
PDE1
PDE4
PDIMAS
PDIMAT
PEAMNO
PFK
PGL
PHDCAt
PHEt2r
PHTHDLS
PHTHDLS2
PHTHS
PHTHS2
PHYCBOXL
PLCD
PLIPA1E160
PLIPA1E180
PPDIMAS
PPDIMAT
PPDK
PPGPPDP
PREPHACPH
PREPPACPH
PREPTHS
PREPTHS2
PREPTTA
PROD2
PROabc
PROt2r
PUNP2
PUNP3
PUNP6
PUNP7
PYRt2
RBK
S7PI
SADH
SERAT
SERD_L
SERt2r
SGDS
SGSAD
SKMt2
SOTA
SSALx
SSALy
TBSNLS1
TBSNLS2
TBSNLS3
TBSYNLDPS
THMDP
THMP
THRt2r
TMDK1
TMMYCO
TMN
TREP
TREY
TRPTA
TRPt2r
TYRt2r
URIK2
VALt2r
VIUB
XPPT
