Rxn_1,Rxn_1_Min,Rxn_1_Max,Rxn_2,Rxn_2_Min,Rxn_2_Max,v1,v2,Rxn1_Prod,Rxn2_Prod,g_min_Fluxes,g_max_Fluxes,l_min_Fluxes,l_max_Fluxes
CYS,-115.811307432208,66.9393641836125,SERAT,0,115.820326242259,0.207484862097496,0,-1,0,0,-6.48014975013211e-11,NaN,NaN
CYTK1,-38.6031731032512,115.823928553094,NTD4,0,115.820326242253,0,0,-1,0,0,-5.67867974865521e-12,NaN,NaN
DALAt2pp,0,5.50062339535703,DALAtex,-4.36744776026171,0,0,0.272128386972093,0,-0,6.3664629124105e-12,-0,NaN,NaN
DHORD2,0,15.443077583521,DHORD5,0,15.4430775835212,0.165779362178455,0,0,0,0,0.505679186514655,0.505679186519024,0.505679186525091
DNAMTn2r,-0.0990505623078661,29.4894621232959,METS,0,29.4944146490386,0,0,-1,0,NaN,NaN,0,-0
DNAMTn2r,-0.0990505623078661,29.4894621232959,MTHFR2,0,29.4944146490386,0,0,-1,0,NaN,NaN,0,-0
EAR121y,0,9.56503682040597,EAR121x,0,9.56503682040641,0.223124424567157,0,0,0,0,0.0485869073444212,0.0485869074057454,0.0485869073966883
EAR141y,0,9.5650368204065,EAR141x,0,9.56503682040628,0,0.223124424567157,0,0,0,0.0485869073901407,0.0485869074057454,0.0485869074057454
EAR161x,0,7.08437808180316,EAR161y,0,7.08437808180317,0.0485869074057454,0.095505594814727,0,0,0,0.0485869074115377,0.0485869074057454,0.0485869073739699
EAR181y,0,5.62355560919402,EAR181x,0,5.62355560919428,0,0.0425396099174766,0,0,0,0.0183504199423034,0.0183504199644017,0.0183504199644017
EAR40x,0,5.1055383128224,EAR40y,0,5.105538312822,0,0,0,0,0,0.271711331972902,0.271711331972903,0.271711331972902
EAR60x,0,5.10553831282198,EAR60y,0,5.1055383128222,0,0.271711331972902,0,0,0,0.271711331972902,0.271711331972902,0.271711331974704
EAR80y,0,5.10553831282234,EAR80x,0,5.10553831282212,0,0,0,0,0,0.271711331967701,0.271711331972902,0.271711331972902
FUM,-17.9284103626165,1000,SUCCt3pp,0,154.427101656337,0,0,-1,0,0,-7.98650034994353e-11,NaN,NaN
GARFT,-115.807032620507,8.92102397628503,GART,0,115.820326242257,0,0,-1,0,0,4.2348347051302e-12,NaN,NaN
G5SD,0,115.830283425597,NACODA,0,57.9151417128043,0,0,0,0,0,1.70538583255109e-12,NaN,NaN
GLCtex_copy2,0,1000,GLCtex_copy1,-999.228688705013,10.457,0,0,0,-1,-989.542999999998,10.457,10.4570000000003,10.457
GLU5K,0,115.830283425597,NACODA,0,57.9151417128043,0,0,0,0,0,1.70538583255109e-12,NaN,NaN
