,rxns,diff_flux,abs_diff_flux,PathShort,PathLong,pathCommon,del_rxn1,del_rxn2,totalFluxDiff,solStatus,sl_size,common_sl_size,num_diff,net_diff,Organism,rxn1_short_bool,rxn2_short_bool,rxn1_cluster_len,rxn2_cluster_len,Subsystem 1,Subsystem 2,same_subsystems,Rxn_1_Type,Rxn_2_Type,PSL RSL Type,PSL Type
10,"['3OAS121', '3OAS141', '3HAD121', '3HAD141', 'AACPS7', '3OAR121', '3OAR141', 'ACOATA', 'EAR121y', 'EAR141x', 'FACOAE120', 'HACD6i', 'ACACT9', 'CTECOAI6', 'T2DECAI']","[0.08082522024000033, 0.08082522024000033, 0.08082522024000033, 0.08082522024000033, 0.08082522024018263, 0.08082522024000033, 0.08082522024000033, 0.08082522024000294, 0.08082522024028549, 0.08082522024000033, 0.0808252202400001, 0.0808252202400001, 0.0808252202400001, 0.08082522024000033, 0.08082522024000033]","[0.08082522024000033, 0.08082522024000033, 0.08082522024000033, 0.08082522024000033, 0.08082522024018263, 0.08082522024000033, 0.08082522024000033, 0.08082522024000294, 0.08082522024028549, 0.08082522024000033, 0.0808252202400001, 0.0808252202400001, 0.0808252202400001, 0.08082522024000033, 0.08082522024000033]",[],"['EAR121y', 'FACOAE120', 'HACD6i', 'ACACT9', 'CTECOAI6']","['3OAS121', '3OAS141', '3HAD121', '3HAD141', 'AACPS7', '3OAR121', '3OAR141', 'ACOATA', 'EAR141x', 'T2DECAI']",3HAD120,HACD6i,1.939805285759459,1,15,10,15.0,1.2123783036004747,iYL1228,False,False,5,5,Cell Envelope Biosynthesis,Membrane Lipid Metabolism,False,pFBAOpt_Rxns,MLE_Rxns,PSL,True
11,"['3OAS121', '3OAS141', '3HAD121', '3HAD141', 'AACPS7', '3OAR121', '3OAR141', 'ACOATA', 'EAR121y', 'EAR141x', 'FACOAE120', 'HACD6i', 'ACACT9', 'CTECOAI6', 'T2DECAI']","[0.08082522024000033, 0.08082522024000033, 0.08082522024000033, 0.08082522024000033, 0.08082522024018263, 0.08082522024000033, 0.08082522024000033, 0.08082522024000294, 0.08082522024028549, 0.08082522024000033, 0.0808252202400001, 0.0808252202400001, 0.0808252202400001, 0.08082522024000033, 0.08082522024000033]","[0.08082522024000033, 0.08082522024000033, 0.08082522024000033, 0.08082522024000033, 0.08082522024018263, 0.08082522024000033, 0.08082522024000033, 0.08082522024000294, 0.08082522024028549, 0.08082522024000033, 0.0808252202400001, 0.0808252202400001, 0.0808252202400001, 0.08082522024000033, 0.08082522024000033]",[],"['EAR121y', 'FACOAE120', 'HACD6i', 'ACACT9', 'CTECOAI6']","['3OAS121', '3OAS141', '3HAD121', '3HAD141', 'AACPS7', '3OAR121', '3OAR141', 'ACOATA', 'EAR141x', 'T2DECAI']",3HAD120,ACACT9,1.939805285759459,1,15,10,15.0,1.2123783036004747,iYL1228,False,False,5,5,Cell Envelope Biosynthesis,Membrane Lipid Metabolism,False,pFBAOpt_Rxns,MLE_Rxns,PSL,True
12,"['FA120ACPHi', 'FACOAE140', 'ECOAH6', 'FADRx2', 'MACPD']","[0.0404126101201209, 0.04041261012000091, 0.040412610120003994, 0.04041261011942622, 0.04041261012012078]","[0.0404126101201209, 0.04041261012000091, 0.040412610120003994, 0.04041261011942622, 0.04041261012012078]",['ECOAH6'],"['FA120ACPHi', 'FACOAE140', 'FADRx2', 'MACPD']",[],3HAD140,FACOAE140,0.6061891518015776,1,5,0,5.0,0.2020630505996728,iYL1228,False,False,4,4,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis,True,pFBAOpt_Rxns,MLE_Rxns,PSL,True
13,"['AACPS3', 'FACOAE160', 'ECOAH7', 'FADRx2', 'MACPD']","[0.09073027174000287, 0.09073027174000194, 0.09073027174000156, 0.09073027173570321, 0.0907302717362628]","[0.09073027174000287, 0.09073027174000194, 0.09073027174000156, 0.09073027173570321, 0.0907302717362628]",['ECOAH7'],"['AACPS3', 'FADRx2', 'MACPD']",['FACOAE160'],3HAD160,AACPS3,1.3609540761003354,1,5,1,5.0,0.4536513586919723,iYL1228,False,False,3,3,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis,True,pFBAOpt_Rxns,MLE_Rxns,PSL,True
14,"['AACPS3', 'FACOAE160', 'ECOAH7', 'FADRx2', 'MACPD']","[0.09073027174000496, 0.09073027174000496, 0.09073027174000496, 0.09073027173998925, 0.09073027174002796]","[0.09073027174000496, 0.09073027174000496, 0.09073027174000496, 0.09073027173998925, 0.09073027174002796]",['ECOAH7'],"['AACPS3', 'FACOAE160', 'FADRx2', 'MACPD']",[],3HAD160,FACOAE160,1.3609540760989292,1,5,0,5.0,0.4536513587000321,iYL1228,False,False,4,4,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis,True,pFBAOpt_Rxns,MLE_Rxns,PSL,True
15,"['ACLS_a', 'ilvg']","[0.19711052485, 0.19711052485]","[0.19711052485, 0.19711052485]",[],"['ACLS_a', 'ilvg']",[],ACHBS,ACLS_a,0.59133157455,1,2,0,2.0,0.3942210497,iYL1228,False,False,2,2,"Valine, Leucine, and Isoleucine Metabolism","Valine, Leucine, and Isoleucine Metabolism",True,pFBAOpt_Rxns,ELE_Rxns,PSL,True
16,"['ACLS_a', 'ilvg']","[0.19711052485, 0.19711052485]","[0.19711052485, 0.19711052485]",[],"['ACLS_a', 'ilvg']",[],ACHBS,ilvg,0.59133157455,1,2,0,2.0,0.3942210497,iYL1228,False,False,2,2,"Valine, Leucine, and Isoleucine Metabolism","Valine, Leucine, and Isoleucine Metabolism",True,pFBAOpt_Rxns,ELE_Rxns,PSL,True
17,"['AACPS7', 'FACOAE120', 'ECOAH5', 'FADRx2', 'MACPD']","[0.08082522023996844, 0.08082522023996844, 0.08082522023996844, 0.08082522023972478, 0.08082522024026817]","[0.08082522023996844, 0.08082522023996844, 0.08082522023996844, 0.08082522023972478, 0.08082522024026817]",['ECOAH5'],"['AACPS7', 'FACOAE120', 'FADRx2', 'MACPD']",[],3OAR120,AACPS7,1.2123783036000775,1,5,0,5.0,0.4041261011998983,iYL1228,False,False,4,4,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis,True,pFBAOpt_Rxns,MLE_Rxns,PSL,True
18,"['AACPS7', 'FACOAE120', 'ECOAH5', 'FADRx2', 'MACPD']","[0.08082522024253999, 0.08082522024001568, 0.08082522024021171, 0.08082522025006256, 0.08082522023926475]","[0.08082522024253999, 0.08082522024001568, 0.08082522024021171, 0.08082522025006256, 0.08082522023926475]",['ECOAH5'],"['FACOAE120', 'FADRx2', 'MACPD']",['AACPS7'],3OAR120,FACOAE120,1.21237830359742,1,5,1,5.0,0.4041261012120947,iYL1228,False,False,3,3,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis,True,pFBAOpt_Rxns,MLE_Rxns,PSL,True
19,"['3OAS121', '3OAS141', '3HAD121', '3HAD141', 'AACPS7', '3OAR121', '3OAR141', 'ACOATA', 'EAR121y', 'EAR141x', 'FACOAE120', 'HACD6i', 'ACACT9', 'CTECOAI6', 'T2DECAI']","[0.08082522024000033, 0.08082522024000033, 0.08082522024000033, 0.08082522024000033, 0.08082522024018263, 0.08082522024000033, 0.08082522024000033, 0.08082522024000294, 0.08082522024028549, 0.08082522024000033, 0.0808252202400001, 0.0808252202400001, 0.0808252202400001, 0.08082522024000033, 0.08082522024000033]","[0.08082522024000033, 0.08082522024000033, 0.08082522024000033, 0.08082522024000033, 0.08082522024018263, 0.08082522024000033, 0.08082522024000033, 0.08082522024000294, 0.08082522024028549, 0.08082522024000033, 0.0808252202400001, 0.0808252202400001, 0.0808252202400001, 0.08082522024000033, 0.08082522024000033]",[],"['EAR121y', 'FACOAE120', 'HACD6i', 'ACACT9', 'CTECOAI6']","['3OAS121', '3OAS141', '3HAD121', '3HAD141', 'AACPS7', '3OAR121', '3OAR141', 'ACOATA', 'EAR141x', 'T2DECAI']",3OAR120,ECOAH6,1.939805285759459,1,15,10,15.0,1.2123783036004747,iYL1228,False,False,5,5,Cell Envelope Biosynthesis,Membrane Lipid Metabolism,False,pFBAOpt_Rxns,MLE_Rxns,RSL,False
