Var1,Var2
3OAS120,AACPS7
3OAS120,FACOAE120
3OAS120,ECOAH6
3OAS120,HACD6i
3OAS120,ACACT9
3OAS160,AACPS3
3OAS160,FACOAE160
3HAD120,AACPS7
3HAD120,FACOAE120
3HAD120,ECOAH6
3HAD120,HACD6i
3HAD120,ACACT9
3HAD140,FACOAE140
3HAD160,AACPS3
3HAD160,FACOAE160
ACHBS,ACLS_a
ACHBS,ilvg
3OAR120,AACPS7
3OAR120,FACOAE120
3OAR120,ECOAH6
3OAR120,HACD6i
3OAR120,ACACT9
3OAR160,AACPS3
3OAR160,FACOAE160
ACONTa,FGLU
ACONTa,FORAMD
ACONTa,HISDr
ACONTa,IZPN
ACONTa,URCN
ACONTb,FGLU
ACONTb,FORAMD
ACONTb,HISDr
ACONTb,IZPN
ACONTb,URCN
ASNS2,ASNS1
CS,FGLU
CS,FORAMD
CS,HISDr
CS,IZPN
CS,URCN
CYSTGL,THRD_L
CYS,CYSS
CYS,SERAT
CYTK1,NTD4
DALAt2pp,DALAtex
DHORD2,DHORD5
DNAMTn2r,METS
DNAMTn2r,MTHFR2
EAR121y,EAR121x
EAR141y,EAR141x
EAR161y,EAR161x
EAR181y,EAR181x
EAR40y,EAR40x
EAR60y,EAR60x
EAR80y,EAR80x
FUM,SUCCt3pp
GARFT,GART
G5SD,NACODA
GLCtex_copy2,GLCtex_copy1
GLU5K,NACODA
GLYCtpp,GLYCtex
FLDR,NDPK8
HCYSMT,METS
HCYSMT,MTHFR2
ICDHyr,FGLU
ICDHyr,FORAMD
ICDHyr,HISDr
ICDHyr,IZPN
ICDHyr,URCN
KAS15,KAS14
NDPK1,ADK3
NDPK5,RNTR2c
NDPK7,RNTR3c
MTHFC,GART
MTHFC,PFL
MTHFD,GART
MTHFD,PFL
PAPSR,GRXR
PAPSR,GTHOr
PAPSR,PAPSR2
PGPP181,2AGPG181tipp
PGPP181,2AGPGAT181
PGPP181,FACOAL181t2pp
PGPP181,PGPP181pp
PGPP181,PGP181abcpp
PGPP181,PLIPA1G181pp
PG160abcpp,PGP160abcpp
PG160abcpp,PGPP160pp
PG161abcpp,PGP161abcpp
PG161abcpp,PGPP161pp
PG181abcpp,PGPP181pp
PG181abcpp,PGP181abcpp
PIt2rpp,PIuabcpp
PGPP160,2AGPG160tipp
PGPP160,2AGPGAT160
PGPP160,FACOAL160t2pp
PGPP160,PGP160abcpp
PGPP160,PLIPA1G160pp
PGPP160,PGPP160pp
PGPP161,2AGPG161tipp
PGPP161,2AGPGAT161
PGPP161,FACOAL161t2pp
PGPP161,PGP161abcpp
PGPP161,PLIPA1G161pp
PGPP161,PGPP161pp
RNTR1c,NDPK8
RPI,KDOCT2
RPI,MOAT
RPI,MOAT2
PPK,PPA
TRDR,GRXR
TRDR,GTHOr
TRDR,PAPSR2
TRPS1,TRPS2
TRPS1,TRPS3
VALTA,VPAMTr
PRPPS,R15BPK
PRPPS,R1PK
PRPPS,PPM
NDPK5,FLDR
NDPK7,FLDR
MTHFC,GARFT
MTHFD,GARFT
O2tex,GAPD
O2tpp,GAPD
PGCD,GHMT2r
PGK,O2tex
PGK,O2tpp
PSERT,GHMT2r
PSP_L,GHMT2r
PPC,FUM
RPE,GND
RPI,RPE
SUCOAS,AKGDH
TALA,RPE
TALA,RPI
TKT1,RPE
TKT1,RPI
TKT1,TALA
TKT2,GND
TKT2,RPE
TKT2,RPI
TKT2,TALA
TKT2,TKT1
