Var1,Var2
Double Lethal Reactions,
Rxn A,Rxn B
CMCBTFL,ACACT1r
CMCBTFL,BDH
CMCBTFL,MCBTS
CMCBTFL,OCOAT1
CMCBTFL,VIUB
CMCBTFL,SALSYN
CMCBTFU,ACACT1r
CMCBTFU,BDH
CMCBTFU,MCBTS
CMCBTFU,OCOAT1
CMCBTFU,VIUB
CMCBTFU,SALSYN
CTPS1,CTPS2
AMMQT8,AMMQT8_2
CYTBD,DHORDi
CYTK1,NTD4
DADK,NTPP5
ASNt2r,ASNS1
ADK1,ADK2
DHFR_copy1,DHFR_copy2
DHNPA_1,DHNPA2r
DHNPA_1,DHPS2
DHNPA_1,HPPK2
DHPPDA2,DHPPDA
DHPPDA2,GTPCII
DMPPS,IPDDI
FAS160,ETHAt
FAS160,GPDDA2
FAS160,LPLIPAL2E160
FAS160,PLIPA1E160
FAS181,DESAT18
FAS181,FACOAL180
FAS181,FACOAL181
FOLD3,DHNPA2r
FOLD3,DHPS2
FOLD3,HPPK2
FRD,GLUCYS
FRD,EGTB
FRD,EGTC
FRD,EGTE
FRD,EGTD
GLYCt,G3PD1ir
GLYCt,G3PT
GLYK,G3PD1ir
G16MTM2,MANAT2
GTPCII2,DHPPDA
GTPCII2,GTPCII
GHMT2r,ICL
GLGC,MTI
GLGC,MAK
GLGC,GLGE
HPPK,DHNPA2r
HPPK,DHPS2
HPPK,HPPK2
GLU5K,ORNTA
MI1PS,MI3PP
MMSAD1,MACCOAT
MMSAD1,HACD9
MMSAD1,ECOAH9ir
MMSAD1,ACOADH1
MMSAD1,BKDC1
MMSAD1,3M2OPLOXRD
FCLT,FETRANS
FCLT,FCLT2
MAN1PT2,MAN1PT
MECDPDH,IPDDI
MECDPDH,HMEDS
MECDPDH,HMEDR
MI1PP,MI3PP
NDPK3,NTD4
PGMT,MTI
PGMT,MAK
PGMT,GLGE
PGMT,GLGP
PUNP5,HXPRT
RPE,GND
RPE,G6PDH2r
RPE,PGL
SHSL4r,THRD_L
TDMS3,OTSB1
TDMS3,TMMYCO
TDMS3,FBPA
TKT2,GND
TKT2,G6PDH2r
TKT2,PGL
URIDK2r,DUTPDP
P5CR,P5CRx
TRE6PP,TREY
TRPS1,TRPS2
TRPS1,TRPS3
HDECH,G3PAT160
PAPSR,BPNT
PAPSR,ADSK
HIBD,MACCOAT
HIBD,HACD9
HIBD,ECOAH9ir
HIBD,ACOADH1
HIBD,BKDC1
HIBD,3M2OPLOXRD
ACCOAC,BIRA
ACCOAC,ACCD3
ACCOAC,ACCA3
ASPO6,ASPO5
ECOAH12,MACCOAT
ECOAH12,HACD9
ECOAH12,ECOAH9ir
ECOAH12,ACOADH1
ECOAH12,BKDC1
ECOAH12,3M2OPLOXRD
FADE233,MACCOAT
FADE233,HACD9
FADE233,ECOAH9ir
FADE233,ACOADH1
FADE233,BKDC1
FADE233,3M2OPLOXRD
BKDC,MACCOAT
BKDC,HACD9
BKDC,ECOAH9ir
BKDC,ACOADH1
BKDC,BKDC1
BKDC,3M2OPLOXRD
BKDA2,MACCOAT
BKDA2,HACD9
BKDA2,ECOAH9ir
BKDA2,ACOADH1
BKDA2,BKDC1
BKDA2,3M2OPLOXRD
3HBCOAHL,MACCOAT
3HBCOAHL,HACD9
3HBCOAHL,ECOAH9ir
3HBCOAHL,ACOADH1
3HBCOAHL,BKDC1
3HBCOAHL,3M2OPLOXRD
APSR,BPNT
APSR,ADSK
TMDS3,TMDS
AMYL2,MTI
AMYL2,MAK
AMYL2,GLGE
DHORD2,DHORDi
CS,CITabc
ASPTA,ASNN
ASPTA,ASNt2r
FAS161,FAS160
GLYCt,ENO
GAPD,GLYCt
GAPD,GLYK
NH4t,ASNN
NH4t,ASNt2r
PEPCK_re,NDPK1
PGK,GLYCt
PGK,GLYK
PGM,GLYCt
TKT1,RPE
TKT2,RPE
TKT2,TALA
TKT2,TKT1
TPI,GLYCt
TPI,GLYK
TPI,GAPD
TPI,PGK
TRE6PP,GLGC
TRE6PP,PGMT
HDECH,FAS160
APSR,PAPSR
AMYL2,TRE6PP
GLYDHDA,GHMT2r
