Var1
Single Lethal Reactions
AACPS10
AACPS11
AACPS3
AGPAT160
ACCC_1
AGPAT160190
AGPAT190
AGPR
ACChex
AHCi
ACGAMT
CHORM
ACGK
AHMMPS
AICART
CHORS
CHRPL
CIGAMS
AIRCr
ACHBS
ALAALAr
ALAR
CLPNS160190
ACLS
ACONT
CPPPGO
ACOTA
ANPRT
ANS
APRAUR
ADCL
ARGSL
ARGSS
DAPDC
DAPE
DASYN160
ASAD
DASYN160190
DASYN190190
DB4PS
ASP1DC
ADCS
ASPCT
ASPK
DCPDPP
DCPE
DCPT
ATPPRT
ATPS4r
DDPA
DHAD1
DHAD2
DHDPRy
DHDPS
DHFS
DHNAOT
CBPS
CDPMEK
CDPPT160190
ADSL1r
DHORTS
ADSL2r
ADSS
DHQTi
AFTA
DHQS
DMATT
DNMPPA
DNTPPA
DPCOAK
DPR
DTMPK
DXPRIi
DXPS
FACOALPHDCA
FAMPL1
FAMPL2
FAMPL3
FAMPL4
FAMPL5
FAS100
FACOAL160
FAS120
FAS140
GLUR
FE3Ri
FAS180
FMNAT
FAS200
FAS240_L
FAS260
GMPS2
GMT1
FAS80_L
G16MTM1
G16MTM10
GRTT
G16MTM4
FASPHDCA
G16MTM5
G16MTM6
G16MTM7
G16MTM8
G16MTM9
G1PACT
FASm1601
G1PTT
G1SAT
GTPCI
G3PAT190
FASm180
G5SADs
FASm1801
GALFT
FASm2001
GALUi
GARFT
FASm2002
HCO3E
FASm220
GF6PTA
FASm2201
HISTD
HISTP
FASm2202
GK1
FASm2401
HMBS
FASm2402
GLNS
HSDy
GLUPRT
FASm2601
HSK
FASm2602
HSTPT
IMPC
IMPD
ICDHyr
ICHORS
FASm2801
INSH
FASm2802
IG3PS
IGAMD
FASm300
IGPDH
IPMD
IPPMIa
IPPMIb
IPPS
IGPS
ILETA
KARA1
KARA2
FASm320
FASm340
FBA
FBP
LEUTA
MN6PP
MOHMT
MSHS
MTHFC
MTHFD
MTHFR2
MYC1CYC1
MYC1CYC2
NDPK7
MYC1CYC3
MYC1CYC4
MYC1CYC5
MYC1M1
MYC1M2
MYC2CYC1
MYC2CYC2
MAN6PI
MANAT1
MANAT3
MYC2CYC3
MYCON1
MYCON2
MYCON3
MYCON4
NDPK8
MCOATA
MYCON5
MYCSacp50
MYCSacp56
MYCSacp58
MECDPS
NADK
MEPCT
METAT
METS
NADS2
NNATr
NNDPR
NDPK2
NDPK4
NPHS
NDPK5
PDHcr
PRAIS
PRAIi
PRAMPC
PRASCSi
PRATPP
PGAMT
PGCD
PGI
PRFGS
PRMICI
PGPP160
PGPP160190
PRPPS
PGPP190
PGPPT3
PSCVT
PSD160
PSERT
PGSA160
PGSA160190
PGSA190
PHDCATA
PSP_L
PSSA160
PHETA1
PTPATi
PIabc
PMANM
PMDPHT
PMPK
PNTK
PPA
QULNS
PPBNGS
RBFK
PPCDC
PPCOAC
RBFSa
RBFSb
RNDR1
RNDR2
RNDR3
PPNCL3
PPND
PPNDH
PPPGO
RPI
PPTGS_TB1
PPTGS_TB2
PRAGSr
O16RHAT
SADT
SDPDS
SDPTA
O2t
SHCHD2
OCBT
SHCHF
TYRTA
SHK3Dr
SHKK
UAAGDS
OMCDC
UAAGLS1
UAAGLS2
OMPDC
UAGCVT
UAGDP
UAGPT1
UAGPT2
UAGPT3
SUCBZL
SUCBZS
UAMAGS
UAMAS
SUCCt2r
UAMRH
UAPGR
SULabc
UDCPDP
TATS
TDMS1
UDPG4E
TDMS2
UDPGALM
ORNTAC
UGAGDS
TDMS4
TDPDRE
TDPDRR
TDPGDH
THDPS
UGGPT3
UGLDDS1
UGLDDS2
UGMAGS
UGMAS
UGMDDS
UGMDDS2
UMPK
ORPT
UPP3MT
UPP3S
UPPDC1
THRS
THZPSN
VALTA
TMHAS1
TMHAS2
TMHAS3
TMHAS4
TMPK
FRTT
TMPPP
TRDR
TRE6PS
TRESULT
PANTS
PAPPT1
PAPPT2
PAPPT3
PATS
ISCS
BIOMASS__2
MI3PS
NAGINSP
NAGINS
KGD2
GGTT
PKS2
MAS3
4HBAt
SIRA2
VPAMTr
GCALDD
MYCOPP
MYCOE
PPM1
HEMEOS
HEMEAS
GSEALD
GLGB
SHCHCS3
SEPHCHCS
EMB
OPP
HEXTT
PPTT
