Type,Rxn_1_Type,Rxn_2_Type,Count,Fraction,Rxn_1_Prod,Rxn_2_Prod
PSL,ELE_Rxns,ELE_Rxns,203,0.7602996254681648,203,203
PSL,MLE_Rxns,MLE_Rxns,30,0.11235955056179775,30,30
PSL,ZeroFlux_Rxns,ZeroFlux_Rxns,1,0.003745318352059925,1,1
PSL,pFBAOpt_Rxns,ELE_Rxns,2,0.00749063670411985,2,2
PSL,pFBAOpt_Rxns,MLE_Rxns,2,0.00749063670411985,2,2
PSL,pFBAOpt_Rxns,pFBAOpt_Rxns,1,0.003745318352059925,1,1
RSL,ELE_Rxns,ELE_Rxns,14,0.052434456928838954,14,14
RSL,ELE_Rxns,pFBAOpt_Rxns,5,0.018726591760299626,5,5
RSL,pFBAOpt_Rxns,ELE_Rxns,1,0.003745318352059925,1,1
RSL,pFBAOpt_Rxns,pFBAOpt_Rxns,8,0.0299625468164794,8,8
