,rxns,diff_flux,abs_diff_flux,PathShort,PathLong,pathCommon,del_rxn1,del_rxn2,totalFluxDiff,solStatus,sl_size,common_sl_size,num_diff,net_diff,Organism,Type,Rxn_1_Active,Rxn_2_Active,Rxn_1_Min,Rxn_2_Min,v1,v2
0,"['3OAS180', 'AACPS6', 'ACOAD8f', 'ACOATA', 'FACOAE180', 'FADRx2', 'ACACT8r', 'MACPD', 'HACD8', '3HAD180', '3OAR180', 'EAR180x', 'ECOAH8']","[-0.002018536155, 0.002018536155, -0.0020185361549920344, -0.0020185361549920344, 0.002018536155, 0.0020185361551767755, -0.0020185361549920344, 0.0020185361550000124, 0.0020185361549920344, -0.002018536155, -0.0020185361549920344, -0.002018536155, 0.0020185361549920344]","[0.002018536155, 0.002018536155, 0.0020185361549920344, 0.0020185361549920344, 0.002018536155, 0.0020185361551767755, 0.0020185361549920344, 0.0020185361550000124, 0.0020185361549920344, 0.002018536155, 0.0020185361549920344, 0.002018536155, 0.0020185361549920344]","['AACPS6', 'ACOAD8f', 'ACOATA', 'FACOAE180', 'FADRx2', 'MACPD']","['3OAS180', 'ACACT8r', 'HACD8', '3HAD180', '3OAR180', 'EAR180x', 'ECOAH8']",[],3OAS180,AACPS6,0.030278042324976266,1,13,0,-1.0,-0.0020185361548072803,iYS1720,PSL,False,False,0.0,0.0,0.0,0.0
1,"['3OAS180', 'AACPS6', 'ACOAD8f', 'ACOATA', 'FACOAE180', 'FADRx2', 'ACACT8r', 'MACPD', 'HACD8', '3HAD180', '3OAR180', 'EAR180x', 'ECOAH8']","[-0.0020185361550000003, 0.002018536155, -0.0020185361549920344, -0.0020185314856462355, 0.0020183605114893325, 0.0020188303843370337, -0.002018536155, 0.0020185314855975193, 0.0020185361549920344, -0.0020185361550000003, -0.0020185361549920344, -0.0020185361550000003, 0.0020185361549920344]","[0.0020185361550000003, 0.002018536155, 0.0020185361549920344, 0.0020185314856462355, 0.0020183605114893325, 0.0020188303843370337, 0.002018536155, 0.0020185314855975193, 0.0020185361549920344, 0.0020185361550000003, 0.0020185361549920344, 0.0020185361550000003, 0.0020185361549920344]","['AACPS6', 'ACOAD8f', 'ACOATA', 'FADRx2', 'MACPD']","['3OAS180', 'ACACT8r', 'HACD8', '3HAD180', '3OAR180', 'EAR180x', 'ECOAH8']",['FACOAE180'],3OAS180,ACOAD8f,0.030278042325000573,1,13,1,-1.0,-0.0020184175692223513,iYS1720,PSL,False,True,0.0,-0.0021564597233419,0.0,-0.0828663206662332
2,"['3OAS180', 'AACPS6', 'ACOAD8f', 'ACOATA', 'FACOAE180', 'FADRx2', 'ACACT8r', 'MACPD', 'HACD8', '3HAD180', '3OAR180', 'EAR180x', 'ECOAH8']","[-0.0020185361550000003, 0.002018536155, -0.0020185361549920344, -0.0020185361549920344, 0.002018536155, 0.0020185361540014934, -0.0020185361550000003, 0.002018536155000002, 0.0020185361549920344, -0.0020185361550000003, -0.0020185361549920344, -0.0020185361550000003, 0.0020185361549920344]","[0.0020185361550000003, 0.002018536155, 0.0020185361549920344, 0.0020185361549920344, 0.002018536155, 0.0020185361540014934, 0.0020185361550000003, 0.002018536155000002, 0.0020185361549920344, 0.0020185361550000003, 0.0020185361549920344, 0.0020185361550000003, 0.0020185361549920344]","['AACPS6', 'ACOAD8f', 'ACOATA', 'FACOAE180', 'FADRx2', 'MACPD']","['3OAS180', 'ACACT8r', 'HACD8', '3HAD180', '3OAR180', 'EAR180x', 'ECOAH8']",[],3OAS180,FACOAE180,0.03027804232499992,1,13,0,-1.0,-0.0020185361559905395,iYS1720,PSL,False,False,0.0,0.0,0.0,0.0
3,"['3OAS180', '3OAS181', 'AACPS5', 'AACPS6', 'ACOAD8f', 'FACOAE161', 'FACOAE180', 'FACOAL181t2pp', 'OCDCEAt2pp', '3HAD180', '3HAD181', '3OAR180', '3OAR181', 'EAR180x', 'EAR181x', 'FA161ACPHi']","[-0.002018536155, 0.0020185361550000003, -0.0020185361550000003, 0.002018536155, -0.0020185361549920344, 0.0020185361550000003, 0.002018536155, 0.002018536155, -0.0020185361550000003, -0.002018536155, 0.0020185361550000003, -0.0020185361549920344, 0.0020185361550000003, -0.002018536155, 0.00201878411028919, -0.002018552094942269]","[0.002018536155, 0.0020185361550000003, 0.0020185361550000003, 0.002018536155, 0.0020185361549920344, 0.0020185361550000003, 0.002018536155, 0.002018536155, 0.0020185361550000003, 0.002018536155, 0.0020185361550000003, 0.0020185361549920344, 0.0020185361550000003, 0.002018536155, 0.00201878411028919, 0.002018552094942269]","['AACPS6', 'ACOAD8f', 'FACOAE180', 'FACOAL181t2pp']","['3OAS180', 'AACPS5', 'OCDCEAt2pp', '3HAD180', '3OAR180', 'EAR180x', 'FA161ACPHi']","['3OAS181', 'FACOAE161', '3HAD181', '3OAR181', 'EAR181x']",3OAS180,FACOAL181t2pp,0.04238925925509919,1,16,5,0.0,2.3201536285266666e-07,iYS1720,PSL,False,False,0.0,0.0,0.0,0.0
4,"['3OAS181', 'AACPS4', 'AACPS5', 'ACOATA', 'FACOAE161', 'FACOAE181', 'FADRx2', 'ACACT8r', 'MACPD', '3HAD181', '3OAR181', 'EAR181x', 'ECOAH8']","[-0.0030278042325, -0.003027804232537094, 0.0030278042325, -0.0030278042324880516, -0.003027804232537094, 0.0030278042325, 0.003027804232574177, -0.0030278042324880516, 0.0030278042325000004, -0.0030278042325, -0.0030278042325, -0.0030278042325, 0.0030278042324880516]","[0.0030278042325, 0.003027804232537094, 0.0030278042325, 0.0030278042324880516, 0.003027804232537094, 0.0030278042325, 0.003027804232574177, 0.0030278042324880516, 0.0030278042325000004, 0.0030278042325, 0.0030278042325, 0.0030278042325, 0.0030278042324880516]","['AACPS5', 'ACOATA', 'FACOAE181', 'FADRx2', 'MACPD']","['3OAS181', 'ACACT8r', '3HAD181', '3OAR181', 'EAR181x', 'ECOAH8']","['AACPS4', 'FACOAE161']",3OAS181,AACPS5,0.05147267195262572,1,13,2,-3.0,-0.009083412697488063,iYS1720,PSL,False,False,0.0,0.0,0.0021247774529803,0.0074367210854311
5,"['3OAS180', '3OAS181', 'AACPS4', 'AACPS5', 'AACPS6', 'ACOAD8f', 'FACOAE161', 'FACOAE180', 'FACOAE181', 'CTECOAI8_copy2', '3HAD180', '3HAD181', '3OAR180', '3OAR181', 'EAR180y', 'EAR181y']","[0.003027804232500001, -0.0030278042325000004, -0.0030278042325000004, 0.0030278042325, -0.0030278042325000013, 0.0030278042324880516, -0.0030278042325000004, -0.0030278042325000013, 0.003027804231972325, -0.0030278042324880516, 0.003027804232500001, -0.0030278042325000004, 0.0030278042324880516, -0.0030278042325000004, 0.003027804232500001, -0.0030278042325000004]","[0.003027804232500001, 0.0030278042325000004, 0.0030278042325000004, 0.0030278042325, 0.0030278042325000013, 0.0030278042324880516, 0.0030278042325000004, 0.0030278042325000013, 0.003027804231972325, 0.0030278042324880516, 0.003027804232500001, 0.0030278042325000004, 0.0030278042324880516, 0.0030278042325000004, 0.003027804232500001, 0.0030278042325000004]","['AACPS5', 'ACOAD8f', 'CTECOAI8_copy2']","['3OAS181', 'AACPS6', 'FACOAE180', '3HAD181', '3OAR181', 'EAR181y']","['3OAS180', 'AACPS4', 'FACOAE161', 'FACOAE181', '3HAD180', '3OAR180', 'EAR180y']",3OAS181,ACOAD8f,0.06055608464998806,1,16,7,-2.0,-0.006055608465539626,iYS1720,PSL,False,True,0.0,-0.0021564597233419,0.0021247774529803,-0.0828663206662332
6,"['3OAS181', 'AACPS4', 'AACPS5', 'ACOATA', 'FACOAE161', 'FACOAE181', 'FADRx2', 'ACACT8r', 'MACPD', 'CTECOAI8_copy1', 'HACD8', '3HAD181', '3OAR181', 'EAR181x', 'ECOAH8']","[-0.0030278042325, -0.0030278042324999995, 0.0030278042325, -0.0030278042324880516, -0.0030278042325000004, 0.0030278042325, 0.0030278042344897838, -0.0030278042325000004, 0.0030278042325000004, -0.0030278042325, 0.0030278042324880516, -0.0030278042325, -0.0030278042325, -0.0030278042325, 0.0030278042324880516]","[0.0030278042325, 0.0030278042324999995, 0.0030278042325, 0.0030278042324880516, 0.0030278042325000004, 0.0030278042325, 0.0030278042344897838, 0.0030278042325000004, 0.0030278042325000004, 0.0030278042325, 0.0030278042324880516, 0.0030278042325, 0.0030278042325, 0.0030278042325, 0.0030278042324880516]","['AACPS5', 'ACOATA', 'FACOAE181', 'FADRx2', 'MACPD']","['3OAS181', 'ACACT8r', 'CTECOAI8_copy1', 'HACD8', '3HAD181', '3OAR181', 'EAR181x', 'ECOAH8']","['AACPS4', 'FACOAE161']",3OAS181,FACOAE181,0.05147267195248807,1,15,2,-3.0,-0.009083412695522165,iYS1720,PSL,False,False,0.0,0.0,0.0021247774529803,0.0
7,"['3OAS180', '3OAS181', 'AACPS4', 'AACPS5', 'AACPS6', 'ACOAD8f', 'FACOAE161', 'FACOAE181', 'FACOAL180t2pp', 'OCDCAt2pp', 'CTECOAI8_copy2', '3HAD180', '3HAD181', '3OAR180', '3OAR181', 'EAR180x', 'EAR181x', 'FA160ACPHi']","[0.0030278042324999995, -0.0030278042325000004, -0.0030278042325000013, 0.0030278042325, -0.0030278042324999995, 0.0030278042324880516, -0.0030278042325000004, 0.0030278042325, 0.0030278042325, -0.0030278042324999995, -0.0030278042324880516, 0.0030278042324999995, -0.0030278042325000004, 0.0030278042324880516, -0.0030278042325000004, 0.0030278042324999995, -0.0030278042341004563, -0.0030278042325000004]","[0.0030278042324999995, 0.0030278042325000004, 0.0030278042325000013, 0.0030278042325, 0.0030278042324999995, 0.0030278042324880516, 0.0030278042325000004, 0.0030278042325, 0.0030278042325, 0.0030278042324999995, 0.0030278042324880516, 0.0030278042324999995, 0.0030278042325000004, 0.0030278042324880516, 0.0030278042325000004, 0.0030278042324999995, 0.0030278042341004563, 0.0030278042325000004]","['AACPS5', 'ACOAD8f', 'FACOAE181', 'FACOAL180t2pp', 'CTECOAI8_copy2']","['3OAS181', 'AACPS6', 'OCDCAt2pp', '3HAD181', '3OAR181', 'EAR181x', 'FA160ACPHi']","['3OAS180', 'AACPS4', 'FACOAE161', '3HAD180', '3OAR180', 'EAR180x']",3OAS181,FACOAL180t2pp,0.06358388888248806,1,18,6,-2.0,-0.00605560846661241,iYS1720,PSL,False,False,0.0,0.0,0.0021247774529803,0.0
8,"['3OAS181', 'AACPS4', 'AACPS5', 'ACOATA', 'FACOAE161', 'FACOAE181', 'FADRx2', 'HACD8i', 'ACACT8r', 'MACPD', 'CTECOAI8_copy2', '3HAD181', '3OAR181', 'EAR181x', 'ECOAH8']","[-0.0030278042325000004, -0.003027804232499971, 0.003027804232499998, -0.003027804232146991, -0.003027804232499971, 0.003027804232499998, 0.0030278042315513565, -0.0030278042325000004, -0.0030278042325000004, 0.003027804232109791, -0.0030278042324880516, -0.0030278042325000004, -0.0030278042325000004, -0.003027804233396103, 0.0030278042324880516]","[0.0030278042325000004, 0.003027804232499971, 0.003027804232499998, 0.003027804232146991, 0.003027804232499971, 0.003027804232499998, 0.0030278042315513565, 0.0030278042325000004, 0.0030278042325000004, 0.003027804232109791, 0.0030278042324880516, 0.0030278042325000004, 0.0030278042325000004, 0.003027804233396103, 0.0030278042324880516]","['AACPS5', 'ACOATA', 'FACOAE181', 'FADRx2', 'MACPD', 'CTECOAI8_copy2']","['3OAS181', 'HACD8i', 'ACACT8r', '3HAD181', '3OAR181', 'EAR181x', 'ECOAH8']","['AACPS4', 'FACOAE161']",3OAS181,CTECOAI8_copy2,0.05147267195182559,1,15,2,-5.0,-0.015139021164381896,iYS1720,RSL,False,True,0.0,-1000.0,0.0021247774529803,0.0
9,"['3OAS140', 'AACPS1', 'AACPS7', 'ACOAD6f', 'ACOATA', 'FACOAE120', 'FACOAE140', 'FADRx2', 'MACPD', 'ACACT6r', 'HACD6', '3HAD140', '3OAR140', 'EAR140x', 'ECOAH6']","[0.014564550413099977, -0.014564550413100001, 0.014564550413099975, 0.01456455041306981, 0.01456455041306981, 0.014564550413099975, -0.014564550413100001, -0.014564550412661775, -0.01456455041309998, -0.01456455041306981, -0.01456455041306981, 0.014564550413100001, 0.01456455041306981, 0.014564550413100001, -0.01456455041306981]","[0.014564550413099977, 0.014564550413100001, 0.014564550413099975, 0.01456455041306981, 0.01456455041306981, 0.014564550413099975, 0.014564550413100001, 0.014564550412661775, 0.01456455041309998, 0.01456455041306981, 0.01456455041306981, 0.014564550413100001, 0.01456455041306981, 0.014564550413100001, 0.01456455041306981]","['3HAD140', 'EAR140x']","['AACPS1', 'ACOATA', 'FACOAE140', 'FADRx2', 'MACPD']","['3OAS140', 'AACPS7', 'ACOAD6f', 'FACOAE120', 'ACACT6r', 'HACD6', '3OAR140', 'ECOAH6']",AACPS1,3HAD140,0.21846825619647722,1,15,8,1.0,0.014564550413538168,iYS1720,PSL,False,False,0.0,0.0,0.0013730458437535,0.0
