Type,Rxn_1_Type,Rxn_2_Type,Count,Fraction,Rxn_1_Prod,Rxn_2_Prod
PSL,ELE_Rxns,ELE_Rxns,259,0.7848484848484848,259,259
PSL,MLE_Rxns,MLE_Rxns,1,0.0030303030303030303,1,1
PSL,pFBAOpt_Rxns,ELE_Rxns,11,0.03333333333333333,11,11
PSL,pFBAOpt_Rxns,pFBAOpt_Rxns,1,0.0030303030303030303,1,1
RSL,ELE_Rxns,ELE_Rxns,30,0.09090909090909091,30,30
RSL,ELE_Rxns,pFBAOpt_Rxns,4,0.012121212121212121,4,4
RSL,pFBAOpt_Rxns,Essential_Rxns,2,0.006060606060606061,2,2
RSL,pFBAOpt_Rxns,MLE_Rxns,2,0.006060606060606061,2,2
RSL,pFBAOpt_Rxns,pFBAOpt_Rxns,20,0.06060606060606061,20,20
