Rxn_1,Rxn_2,Rxn_1_Class,Rxn_2_Class
PAPA181pp,PETNT181pp,ELE_Rxns,ELE_Rxns
PAPSR,GRXR,ELE_Rxns,ELE_Rxns
PAPSR,GTHOr,ELE_Rxns,ELE_Rxns
PAPSR,PAPSR2,ELE_Rxns,ELE_Rxns
PG140abcpp,PGP140abcpp,ELE_Rxns,ELE_Rxns
PG140abcpp,PGPP140pp,ELE_Rxns,ELE_Rxns
PG160abcpp,PGP160abcpp,ELE_Rxns,ELE_Rxns
PG160abcpp,PGPP160pp,ELE_Rxns,ELE_Rxns
PG161abcpp,PGP161abcpp,ELE_Rxns,ELE_Rxns
PG161abcpp,PGPP161pp,ELE_Rxns,ELE_Rxns
PG180abcpp,PGP180abcpp,ELE_Rxns,ELE_Rxns
PG180abcpp,PGPP180pp,ELE_Rxns,ELE_Rxns
PG181abcpp,PGP181abcpp,ELE_Rxns,ELE_Rxns
PG181abcpp,PGPP181pp,ELE_Rxns,ELE_Rxns
PGPP140,PGP140abcpp,ELE_Rxns,ELE_Rxns
PGPP140,PGPP140pp,ELE_Rxns,ELE_Rxns
PGPP160,PGP160abcpp,ELE_Rxns,ELE_Rxns
PGPP160,PGPP160pp,ELE_Rxns,ELE_Rxns
PGPP161,PGP161abcpp,ELE_Rxns,ELE_Rxns
PGPP161,PGPP161pp,ELE_Rxns,ELE_Rxns
PGPP180,PGP180abcpp,ELE_Rxns,ELE_Rxns
PGPP180,PGPP180pp,ELE_Rxns,ELE_Rxns
PGPP181,PGP181abcpp,ELE_Rxns,ELE_Rxns
PGPP181,PGPP181pp,ELE_Rxns,ELE_Rxns
PIt2rpp,PIuabcpp,ELE_Rxns,ELE_Rxns
PPC,ICL,ELE_Rxns,ELE_Rxns
RNTR1c,NDPK8,ELE_Rxns,ELE_Rxns
RNTR2c,NDPK5,ELE_Rxns,ELE_Rxns
RNTR3c,NDPK7,ELE_Rxns,ELE_Rxns
RPE,GND,ELE_Rxns,ELE_Rxns
TKT2,GND,ELE_Rxns,ELE_Rxns
TMDS,ACGAMT,ELE_Rxns,ELE_Rxns
TMDS,UDCPDPpp,ELE_Rxns,ELE_Rxns
TMDS,UDCPPtppi,ELE_Rxns,ELE_Rxns
TMDS,UDPG4E,ELE_Rxns,ELE_Rxns
TRDR,GRXR,ELE_Rxns,ELE_Rxns
TRDR,GTHOr,ELE_Rxns,ELE_Rxns
TRDR,PAPSR2,ELE_Rxns,ELE_Rxns
TRPS1,TRPS2,ELE_Rxns,ELE_Rxns
TRPS1,TRPS3,ELE_Rxns,ELE_Rxns
SO3R,SULR,ELE_Rxns,ELE_Rxns
CBMKr,CBPS,ELE_Rxns,ELE_Rxns
SO4t2pp,SULabcpp,ELE_Rxns,ELE_Rxns
ACACT3r,3OAR60,ELE_Rxns,ELE_Rxns
ACACT3r,3OAR80,ELE_Rxns,ELE_Rxns
ACACT3r,3OAS100,ELE_Rxns,ELE_Rxns
ACACT3r,3OAS60,ELE_Rxns,ELE_Rxns
ACACT3r,3OAS80,ELE_Rxns,ELE_Rxns
ACACT3r,3HAD100,ELE_Rxns,ELE_Rxns
ACACT3r,3HAD40,ELE_Rxns,ELE_Rxns
ACACT3r,3HAD60,ELE_Rxns,ELE_Rxns
ACACT3r,3HAD80,ELE_Rxns,ELE_Rxns
ACACT3r,3OAR100,ELE_Rxns,ELE_Rxns
ACACT3r,3OAR40,ELE_Rxns,ELE_Rxns
ACACT2r,3OAR60,ELE_Rxns,ELE_Rxns
ACACT2r,3OAR80,ELE_Rxns,ELE_Rxns
ACACT2r,3OAS100,ELE_Rxns,ELE_Rxns
ACACT2r,3OAS60,ELE_Rxns,ELE_Rxns
ACACT2r,3OAS80,ELE_Rxns,ELE_Rxns
ACACT2r,3HAD100,ELE_Rxns,ELE_Rxns
ACACT2r,3HAD40,ELE_Rxns,ELE_Rxns
ACACT2r,3HAD60,ELE_Rxns,ELE_Rxns
ACACT2r,3HAD80,ELE_Rxns,ELE_Rxns
ACACT2r,3OAR100,ELE_Rxns,ELE_Rxns
ACACT2r,3OAR40,ELE_Rxns,ELE_Rxns
ACACT4r,3OAS100,ELE_Rxns,ELE_Rxns
ACACT4r,3HAD100,ELE_Rxns,ELE_Rxns
ACACT4r,3OAR100,ELE_Rxns,ELE_Rxns
ACACT1r,3OAR60,ELE_Rxns,ELE_Rxns
ACACT1r,3OAR80,ELE_Rxns,ELE_Rxns
ACACT1r,3OAS100,ELE_Rxns,ELE_Rxns
ACACT1r,3OAS60,ELE_Rxns,ELE_Rxns
ACACT1r,3OAS80,ELE_Rxns,ELE_Rxns
ACACT1r,3HAD100,ELE_Rxns,ELE_Rxns
ACACT1r,3HAD40,ELE_Rxns,ELE_Rxns
ACACT1r,3HAD60,ELE_Rxns,ELE_Rxns
ACACT1r,3HAD80,ELE_Rxns,ELE_Rxns
ACACT1r,3OAR100,ELE_Rxns,ELE_Rxns
ACACT1r,3OAR40,ELE_Rxns,ELE_Rxns
HACD1,3OAR60,ELE_Rxns,ELE_Rxns
HACD1,3OAR80,ELE_Rxns,ELE_Rxns
HACD1,3OAS100,ELE_Rxns,ELE_Rxns
HACD1,3OAS60,ELE_Rxns,ELE_Rxns
HACD1,3OAS80,ELE_Rxns,ELE_Rxns
HACD1,3HAD100,ELE_Rxns,ELE_Rxns
HACD1,3HAD40,ELE_Rxns,ELE_Rxns
HACD1,3HAD60,ELE_Rxns,ELE_Rxns
HACD1,3HAD80,ELE_Rxns,ELE_Rxns
HACD1,3OAR100,ELE_Rxns,ELE_Rxns
HACD1,3OAR40,ELE_Rxns,ELE_Rxns
HACD2,3OAR60,ELE_Rxns,ELE_Rxns
HACD2,3OAR80,ELE_Rxns,ELE_Rxns
HACD2,3OAS100,ELE_Rxns,ELE_Rxns
HACD2,3OAS60,ELE_Rxns,ELE_Rxns
HACD2,3OAS80,ELE_Rxns,ELE_Rxns
HACD2,3HAD100,ELE_Rxns,ELE_Rxns
HACD2,3HAD40,ELE_Rxns,ELE_Rxns
HACD2,3HAD60,ELE_Rxns,ELE_Rxns
HACD2,3HAD80,ELE_Rxns,ELE_Rxns
HACD2,3OAR100,ELE_Rxns,ELE_Rxns
HACD2,3OAR40,ELE_Rxns,ELE_Rxns
CTECOAI7_copy2,3OAS161,ELE_Rxns,ELE_Rxns
CTECOAI7_copy2,3HAD161,ELE_Rxns,ELE_Rxns
CTECOAI7_copy2,3OAR161,ELE_Rxns,ELE_Rxns
HACD4,3OAS100,ELE_Rxns,ELE_Rxns
HACD4,3HAD100,ELE_Rxns,ELE_Rxns
HACD4,3OAR100,ELE_Rxns,ELE_Rxns
HACD3,3OAR60,ELE_Rxns,ELE_Rxns
HACD3,3OAR80,ELE_Rxns,ELE_Rxns
HACD3,3OAS100,ELE_Rxns,ELE_Rxns
HACD3,3OAS60,ELE_Rxns,ELE_Rxns
HACD3,3OAS80,ELE_Rxns,ELE_Rxns
HACD3,3HAD100,ELE_Rxns,ELE_Rxns
HACD3,3HAD40,ELE_Rxns,ELE_Rxns
HACD3,3HAD60,ELE_Rxns,ELE_Rxns
HACD3,3HAD80,ELE_Rxns,ELE_Rxns
HACD3,3OAR100,ELE_Rxns,ELE_Rxns
HACD3,3OAR40,ELE_Rxns,ELE_Rxns
3HAD180,AACPS6,ELE_Rxns,ELE_Rxns
3HAD180,ACOAD8f,ELE_Rxns,ELE_Rxns
3HAD180,FACOAE180,ELE_Rxns,ELE_Rxns
3HAD180,FACOAL181t2pp,ELE_Rxns,ELE_Rxns
3HAD181,AACPS5,ELE_Rxns,ELE_Rxns
3HAD181,ACOAD8f,ELE_Rxns,ELE_Rxns
3HAD181,FACOAE181,ELE_Rxns,ELE_Rxns
3HAD181,FACOAL180t2pp,ELE_Rxns,ELE_Rxns
3HAD181,CTECOAI8_copy2,ELE_Rxns,ELE_Rxns
3OAR180,AACPS6,ELE_Rxns,ELE_Rxns
3OAR180,ACOAD8f,ELE_Rxns,ELE_Rxns
3OAR180,FACOAE180,ELE_Rxns,ELE_Rxns
3OAR180,FACOAL181t2pp,ELE_Rxns,ELE_Rxns
3OAR181,AACPS5,ELE_Rxns,ELE_Rxns
3OAR181,ACOAD8f,ELE_Rxns,ELE_Rxns
3OAR181,FACOAE181,ELE_Rxns,ELE_Rxns
3OAR181,FACOAL180t2pp,ELE_Rxns,ELE_Rxns
3OAR181,CTECOAI8_copy2,ELE_Rxns,ELE_Rxns
ASNS2,ASNS1,ELE_Rxns,ELE_Rxns
DTMPK,ACGAMT,ELE_Rxns,ELE_Rxns
DTMPK,UDCPDPpp,ELE_Rxns,ELE_Rxns
DTMPK,UDCPPtppi,ELE_Rxns,ELE_Rxns
DTMPK,UDPG4E,ELE_Rxns,ELE_Rxns
ECOAH1,3OAR60,ELE_Rxns,ELE_Rxns
ECOAH1,3OAR80,ELE_Rxns,ELE_Rxns
ECOAH1,3OAS100,ELE_Rxns,ELE_Rxns
ECOAH1,3OAS60,ELE_Rxns,ELE_Rxns
ECOAH1,3OAS80,ELE_Rxns,ELE_Rxns
ECOAH1,3HAD100,ELE_Rxns,ELE_Rxns
ECOAH1,3HAD40,ELE_Rxns,ELE_Rxns
ECOAH1,3HAD60,ELE_Rxns,ELE_Rxns
ECOAH1,3HAD80,ELE_Rxns,ELE_Rxns
ECOAH1,3OAR100,ELE_Rxns,ELE_Rxns
ECOAH1,3OAR40,ELE_Rxns,ELE_Rxns
ECOAH2,3OAR60,ELE_Rxns,ELE_Rxns
ECOAH2,3OAR80,ELE_Rxns,ELE_Rxns
ECOAH2,3OAS100,ELE_Rxns,ELE_Rxns
ECOAH2,3OAS60,ELE_Rxns,ELE_Rxns
ECOAH2,3OAS80,ELE_Rxns,ELE_Rxns
ECOAH2,3HAD100,ELE_Rxns,ELE_Rxns
ECOAH2,3HAD40,ELE_Rxns,ELE_Rxns
ECOAH2,3HAD60,ELE_Rxns,ELE_Rxns
ECOAH2,3HAD80,ELE_Rxns,ELE_Rxns
ECOAH2,3OAR100,ELE_Rxns,ELE_Rxns
ECOAH2,3OAR40,ELE_Rxns,ELE_Rxns
ECOAH3,3OAR60,ELE_Rxns,ELE_Rxns
ECOAH3,3OAR80,ELE_Rxns,ELE_Rxns
ECOAH3,3OAS100,ELE_Rxns,ELE_Rxns
ECOAH3,3OAS60,ELE_Rxns,ELE_Rxns
ECOAH3,3OAS80,ELE_Rxns,ELE_Rxns
ECOAH3,3HAD100,ELE_Rxns,ELE_Rxns
ECOAH3,3HAD40,ELE_Rxns,ELE_Rxns
ECOAH3,3HAD60,ELE_Rxns,ELE_Rxns
ECOAH3,3HAD80,ELE_Rxns,ELE_Rxns
ECOAH3,3OAR100,ELE_Rxns,ELE_Rxns
ECOAH3,3OAR40,ELE_Rxns,ELE_Rxns
ECOAH4,3OAS100,ELE_Rxns,ELE_Rxns
ECOAH4,3HAD100,ELE_Rxns,ELE_Rxns
ECOAH4,3OAR100,ELE_Rxns,ELE_Rxns
FORtppi,GART,ELE_Rxns,ELE_Rxns
FUM,SUCCt3pp,pFBAOpt_Rxns,ELE_Rxns
3OAS181,3OAS180,ELE_Rxns,ELE_Rxns
