CYSabc
DADNt2
ADNt2
ADtr
ACACT1r
ACACt2
AMID4
ADEt2
EX_gal_e
EX_glc__D_e
EX_gln__L_e
EX_gly_e
EX_gsn_e
EX_gua_e
EX_h2_e
ASNabc
ASNt2r
EX_nmn_e
EX_no2_e
EX_no3_e
EX_no_e
EX_orot_e
EX_thymd_e
EX_ura_e
EX_xan_e
DURIK1
DURIPP
DURIt2
GLCt2
GLNabc
EX_acac_e
GLYt2r
EX_ad_e
GALKr
EX_ade_e
GALT
GALt2
EX_adn_e
GSNt2
GUAPRT
GUAt
EX_asn__L_e
HEMEti
EX_cys__L_e
HEX1
EX_dad_2_e
EX_duri_e
HYDA1
NARK
NMNAT
NMNTP
NO
NOt
NTRARz
OCOAT1
OROATP
PPM
THMDt2
TMDK1
UPPRT
URAt2
PUNP1
PUNP2
PUNP3
XANt2
XPPT
