"","Centrality","Class","RCI","RI"
"ACKr",0.151898734177215,"Opt",8,1
"ACOATA",0.0614828209764919,"ELE",2,1
"ACt2r",0.479204339963834,"Opt",8,1
"ADD",0.600361663652803,"MLE",11,1
"ADPT",0.108499095840868,"Opt",11,2
"AKO",0.329113924050633,"MLE",24,1
"ALAD_L",0.603978300180832,"Opt",6,1
"ALAR",0.0235081374321881,"Opt",2,1
"ANS",0.517179023508137,"MLE",1,1
"ANS2",0.603978300180832,"Opt",11,1
"ARGSL",0.0235081374321881,"MLE",7,1
"ARGSS",0.520795660036166,"MLE",7,1
"ATPS4r",0.647377938517179,"Opt",9,4
"CAT",0.245931283905967,"Opt",10,1
"CCP",0.582278481012658,"MLE",2,1
"CPPPGO",0.593128390596745,"Opt",11,1
"DALAt2r",0.475587703435805,"Opt",2,1
"DCTPD",0.591320072332731,"MLE",3,1
"DHPS",0.249547920433996,"Opt",11,2
"DUTPDP",0.618444846292948,"MLE",6,1
"FADOX",0.027124773960217,"MLE",19,2
"FCLT",0.470162748643761,"Opt",11,1
"FE2abc",0.647377938517179,"Opt",11,1
"FOLD3",0.0922242314647378,"MLE",2,1
"FRD5",0.0452079566003617,"Opt",21,1
"FTHFD",0.587703435804702,"MLE",7,1
"FTHFLi",0.235081374321881,"ELE",3,1
"FUM",0.258589511754069,"Opt",18,1
"G1SAT",0.0054249547920434,"Opt",11,1
"G3PD1ir",0.482820976491863,"Opt",6,1
"G3PD2",0.484629294755877,"Opt",6,1
"GARFT",0.477396021699819,"Opt",12,2
"GART",0.569620253164557,"Opt",13,2
"GLUTRR",0.477396021699819,"Opt",11,1
"GLUTRS",0.141048824593128,"Opt",11,1
"GND",0.135623869801085,"MLE",15,2
"H2CO3D",0.296564195298373,"ELE",2,1
"H2CO3D2",0.471971066907776,"ELE",2,1
"HCO3E",0.589511754068716,"Opt",2,2
"HEMEti",0.647377938517179,"Noflux",19,11
"HMBS",0.256781193490054,"Opt",11,1
"HPPK",0.486437613019892,"MLE",2,1
"HXPRT",0.10126582278481,"MLE",7,1
"KAS14",0.491862567811935,"ELE",2,1
"KAS15",0.500904159132007,"Opt",18,2
"ME1",0.141048824593128,"Opt",10,4
"NH4t",0.0524412296564195,"Opt",6,5
"OCBT",0.528028933092224,"MLE",7,1
"PGL",0.582278481012658,"MLE",19,2
"PPBNGS",0.582278481012658,"Opt",11,1
"PPPGO",0.247739602169982,"Opt",11,1
"PTAr",0.173598553345389,"Opt",8,1
"RNDR4",0.258589511754069,"Opt",10,1
"RPE",0.0126582278481013,"Opt",22,5
"TALA",0.0289330922242315,"Opt",22,3
"TKT1",0.027124773960217,"Opt",22,3
"TKT2",0.0289330922242315,"Opt",22,5
"TRPS1",0.265822784810127,"Opt",14,2
"TRPS2",0.251356238698011,"ELE",2,1
"TRPS3",0.0216998191681736,"ELE",2,1
"UPP3S",0.242314647377939,"Opt",11,1
"UPPDC1",0.482820976491863,"Opt",11,1
"UREA",0.598553345388788,"Opt",16,1
"UREAt",0.00904159132007233,"MLE",8,2
"URIDK2r",0.142857142857143,"Opt",10,1
