CYTDt2
ADNUC
DADK
DAGK_HP
AAtr
AMAA
DCYTt2
DDPGA
DGK1
AMID2
AMID5
EX_fe3_e
BACCL
EX_na1_e
EX_ni2_e
EX_ser__D_e
EX_uri_e
DSERt2
FBA2
FCLPA
FEDCabc
EHGLAT
FORAMD
GLUDC
EX_aa_e
GNNUC
GTMLT
HBZOPT
EX_cit_e
HETZK
EX_cytd_e
EX_dcyt_e
ILETA
KARA1
KARA2
NIabc
LEUTA
PMPK
OMBZLM
OPHBDC
SPRMS
PPM2
PEPT_HP
THZSN
TMPPP
UDCPDPS
UPPDC2
PSP_D
URIt2
PUNP4
PUNP5
PUNP6
PUNP7
