12dgr2_ST
ADMDC
AHCYSNS
APRAUR
ASP1DC
ASPO3
ASPO4
ASPO5
ASPO6
BIOMASS_iRR1083
BIOMASS_iRR1083_metals
CA2tex
CLt3_2pp
CLtex
COBALT2tex
CU2tex
CYSTL
DB4PS
DHFS
DHNPA2r
DHPPDA2
DHPS2
DHPTDCs
DKMPPD
DKMPPD3
DM_hmfurn_c
DNMPPA
DNTPPA
DPCOAK
DPR
EX_ca2_e
EX_cl_e
EX_cobalt2_e
EX_cu2_e
EX_k_e
EX_mg2_e
EX_mn2_e
EX_mobd_e
EX_zn2_e
FMNAT
GCALDD
GTPCI
GTPCII2
HPPK2
HSST
Ktex
MDRPD
METS
MG2tex
MNtex
MOBDabcpp
MOBDtex
MOHMT
MTAN
MTHFR2
MTRI
MTRK
NNDPR
PANTS
PMDPHT
PNTK
PPCDC
PPNCL2
PTPATi
QULNS
RBFK
RBFSa
RBFSb
RHCCE
SHCHD2
SHCHF
SHSL1
SPMS
UNK3
UPP3MT
Zn2tex
clpn2_ST
pe2_ST
peptido_ST
pg2_ST
