"","Centrality","Class","RCI","RI"
"3HAD120",0.205974842767296,"ELE",49,5
"3HAD140",0.206761006289308,"ELE",38,2
"3HAD160",0.205974842767296,"ELE",42,2
"3HAD180",0.205581761006289,"ELE",51,5
"3OAR120",0.369496855345912,"ELE",49,5
"3OAR160",0.369496855345912,"ELE",42,2
"3OAR180",0.369103773584906,"ELE",51,5
"3OAS120",0.384827044025157,"ELE",49,5
"3OAS160",0.384827044025157,"ELE",42,2
"3OAS180",0.384827044025157,"ELE",51,5
"AACPS1",0.179638364779874,"ELE",24,1
"AACPS3",0.179638364779874,"ELE",34,3
"AACPS6",0.179638364779874,"ELE",21,3
"AACPS7",0.179638364779874,"ELE",18,3
"ACACT9",0.029874213836478,"ELE",11,3
"ACOAD8f",0.0137578616352201,"ELE",28,3
"ADK1",0.144261006289308,"ELE",16,2
"ADK3",0.144261006289308,"ELE",3,2
"AGMT",0.207940251572327,"ELE",8,1
"AKGDH",0.103380503144654,"Opt",35,1
"ASNS1",0.500393081761006,"ELE",15,1
"ASNS2",0.419418238993711,"ELE",35,1
"ATPM",0.497641509433962,"Opt",2,2
"ATPS4rpp",0.545204402515723,"Opt",32,2
"CBMKr",0.417452830188679,"ELE",35,1
"CBPS",0.506289308176101,"ELE",8,1
"CLPNH140pp",0.156839622641509,"ELE",7,1
"CLPNH160pp",0.157232704402516,"ELE",11,1
"CLPNH161pp",0.156839622641509,"ELE",8,1
"CLPNH180pp",0.156839622641509,"ELE",4,1
"CLPNH181pp",0.156839622641509,"ELE",7,1
"CTECOAI8",0.00196540880503145,"ELE",15,3
"DHORD2",0.0117924528301887,"ELE",35,1
"DHORD5",0.0106132075471698,"ELE",8,3
"DKMPPD",0.470518867924528,"MLE",12,1
"DKMPPD3",0.472091194968553,"MLE",44,3
"EAR121x",0.371462264150943,"ELE",20,1
"EAR121y",0.369496855345912,"ELE",11,1
"EAR141x",0.372641509433962,"ELE",20,1
"EAR141y",0.370676100628931,"ELE",11,1
"EAR161x",0.373034591194969,"ELE",23,1
"EAR161y",0.371069182389937,"ELE",11,1
"EAR181x",0.372641509433962,"ELE",33,1
"EAR181y",0.370676100628931,"ELE",20,1
"EAR40x",0.371462264150943,"ELE",25,1
"EAR40y",0.369496855345912,"ELE",11,1
"EAR60x",0.371462264150943,"ELE",25,1
"EAR60y",0.369496855345912,"ELE",12,1
"EAR80x",0.37185534591195,"ELE",25,1
"EAR80y",0.369889937106918,"ELE",13,1
"ECOAH6",0.205974842767296,"ELE",11,3
"ENLIPAtex",0.00157232704402516,"ELE",18,2
"ENO",0.213836477987421,"Opt",28,2
"FACOAE120",0.466588050314465,"ELE",19,3
"FACOAE140",0.466588050314465,"ELE",19,1
"FACOAE160",0.466588050314465,"ELE",30,3
"FACOAE180",0.466588050314465,"ELE",22,3
"FACOAL181t2pp",0.469339622641509,"ELE",9,3
"FBA",0.0102201257861635,"Opt",30,3
"FORtppi",0.00707547169811321,"ELE",28,1
"FRD2",0.0184748427672956,"ELE",10,2
"FUM",0.211477987421384,"Opt",33,2
"G5SD",0.406446540880503,"ELE",30,1
"GAPD",0.412735849056604,"Opt",28,3
"GARFT",0.368317610062893,"ELE",35,3
"GART",0.437106918238994,"ELE",8,4
"GHMT2r",0.217374213836478,"ELE",43,3
"GLCtex_copy1",0.0035377358490566,"Opt",1,1
"GLCtex_copy2",0.0035377358490566,"Opt",1,1
"GLU5K",0.154481132075472,"ELE",30,1
"GLUDy",0.467374213836478,"ELE",36,1
"GLUSy",0.381289308176101,"ELE",4,1
"GLYCtex",0.00471698113207547,"ELE",13,1
"GLYCtpp",0.00628930817610063,"ELE",44,1
"GND",0.065251572327044,"ELE",28,2
"GRXR",0.00707547169811321,"ELE",5,2
"GTHOr",0.371069182389937,"ELE",7,2
"HACD6i",0.37185534591195,"ELE",11,3
"ICL",0.0113993710691824,"ELE",27,1
"Kabcpp",0.498034591194969,"ELE",11,1
"KAS14",0.384827044025157,"ELE",1,1
"KAS15",0.384827044025157,"ELE",36,1
"Kt2pp",0.414701257861635,"ELE",33,1
"LIPAabcpp",0.499213836477987,"ELE",2,2
"MALS",0.467374213836478,"ELE",51,1
"MDH",0.373820754716981,"Opt",38,1
"MTHFC",0.453223270440252,"ELE",40,2
"MTHFD",0.0361635220125786,"ELE",40,2
"NACODA",0.20872641509434,"ELE",6,2
"NDPK1",0.147798742138365,"ELE",17,2
"NDPK5",0.142688679245283,"ELE",13,1
"NDPK7",0.142688679245283,"ELE",4,1
"NDPK8",0.141509433962264,"ELE",5,1
"O2tex",0.00235849056603774,"Opt",30,13
"O2tpp",0.012185534591195,"Opt",30,13
"OA5L_ST",0.123034591194969,"ELE",35,1
"OA5VL_ST",0.123034591194969,"ELE",3,1
"ORNDC",0.375,"ELE",39,3
"PA140abcpp",0.5,"ELE",33,1
"PA160abcpp",0.5,"ELE",38,1
"PA161abcpp",0.5,"ELE",44,1
"PA180abcpp",0.5,"ELE",34,1
"PA181abcpp",0.5,"ELE",37,1
"PAPA161pp",0.0715408805031447,"ELE",42,3
"PAPA181pp",0.0715408805031447,"ELE",42,3
"PAPSR",0.370283018867925,"ELE",41,3
"PAPSR2",0.369103773584906,"ELE",7,2
"PETNT161pp",0.00511006289308176,"ELE",18,1
"PETNT181pp",0.00471698113207547,"ELE",13,1
"PFK",0.407625786163522,"Opt",30,3
"PG140abcpp",0.500786163522013,"ELE",45,2
"PG160abcpp",0.501965408805031,"ELE",38,2
"PG161abcpp",0.500786163522013,"ELE",38,2
"PG180abcpp",0.500786163522013,"ELE",42,2
"PG181abcpp",0.500786163522013,"ELE",44,2
"PGCD",0.372641509433962,"ELE",36,1
"PGK",0.142295597484277,"Opt",28,3
"PGM",0.00314465408805031,"Opt",28,2
"PGP140abcpp",0.498034591194969,"ELE",4,2
"PGP160abcpp",0.498034591194969,"ELE",8,2
"PGP161abcpp",0.498034591194969,"ELE",4,2
"PGP180abcpp",0.498034591194969,"ELE",4,2
"PGP181abcpp",0.498034591194969,"ELE",4,2
"PGPP140",0.232704402515723,"ELE",42,2
"PGPP140pp",0.0711477987421384,"ELE",4,2
"PGPP160",0.233490566037736,"ELE",38,2
"PGPP160pp",0.0715408805031447,"ELE",8,2
"PGPP161",0.23309748427673,"ELE",36,2
"PGPP161pp",0.0711477987421384,"ELE",4,2
"PGPP180",0.232704402515723,"ELE",42,2
"PGPP180pp",0.0711477987421384,"ELE",4,2
"PGPP181",0.23309748427673,"ELE",41,2
"PGPP181pp",0.0711477987421384,"ELE",4,2
"PIt2rpp",0.467767295597484,"ELE",30,1
"PIuabcpp",0.514544025157233,"ELE",16,1
"PPC",0.479166666666667,"ELE",36,7
"PSERT",0.0220125786163522,"ELE",36,1
"PSP_L",0.237421383647799,"ELE",36,1
"RNTR1c",0.282625786163522,"ELE",41,1
"RNTR2c",0.20872641509434,"ELE",34,1
"RNTR3c",0.210691823899371,"ELE",31,1
"RPE",0.0035377358490566,"ELE",26,4
"RPI",0.00628930817610063,"ELE",38,4
"SO3R",0.456367924528302,"ELE",51,1
"SUCCt3pp",0.419025157232704,"ELE",39,3
"SUCCtex",0.00275157232704402,"ELE",35,2
"SUCDi",0.0196540880503145,"Opt",31,1
"SUCOAS",0.209512578616352,"Opt",37,1
"SULR",0.454795597484277,"ELE",34,1
"TALA",0.0113993710691824,"ELE",39,3
"TKT1",0.0113993710691824,"ELE",39,4
"TKT2",0.012185534591195,"ELE",40,5
"TPI",0.00904088050314465,"Opt",30,4
"TRDR",0.372248427672956,"ELE",43,3
"TRPS1",0.216588050314465,"ELE",36,2
"TRPS2",0.212657232704403,"ELE",5,1
"TRPS3",0.00707547169811321,"ELE",2,1
"UREAtex",0.00117924528301887,"ELE",8,1
"UREAtpp",0.00117924528301887,"ELE",8,1
"VALTA",0.0239779874213836,"ELE",16,1
"VPAMTr",0.0310534591194969,"ELE",1,1
"ZN2tpp",0.00275157232704402,"ELE",31,1
"ZNabcpp",0.498427672955975,"ELE",11,1
