3KGK
ACACtex
ACBIPGT
ACMUMtex
2DGLCNRx
2DGLCNRy
2DGULRx
2DGULRy
34dhpactex
ACONIs
ACPS1
4HOXPACDtex
ADOCBLabcpp
ADOCBLtonex
ALLtex
AMAOTr
AMMQLT8
AOXSr
AP4AH
AP5AH
ALATRS
ARGTRS
ASNTRS_1
ASO3tex
CRNDCAL2
CFAS160E
CFAS160G
CFAS180E
CFAS180G
CHLabcpp
ASPTRS
CRNt7pp
BSORx
BSORy
BTS4
BUTSO3tex
BUTtex
CRNtex
CBIAT
CBItonex
CBIuabcpp
CBL1abcpp
CTBTCAL2
CBL1tonex
CD2tex
CU1abcpp
CRNBTCT
AU1abcpp
CRNCAL2
CRNCAR
CRNCBCT
CRNCDH
DBTS
DMQMT
CYANST
DOGULNR
DOPAtex
DSBAO1
DSBAO2
DSBCGT
DSBDR
DSBGGT
CYNTtex
DHNAOT4
CYSDtex
CYSSADS
DKGLCNR1
DKGLCNR2x
DKGLCNR2y
CYSTRS
CYSIabcpp
CYSItex
EX_all__D_e
ETHSO3tex
EX_chitob_e
EX_aso3_e
EX_but_e
EX_butso3_e
EX_cbi_e
EX_cbl1_e
EX_cd2_e
EX_34dhpac_e
EX_3hcinnm_e
EX_3hpppn_e
EX_crn_e
EX_4hoxpacd_e
EX_cynt_e
EX_cys__D_e
EX_acac_e
EX_cysi__L_e
EX_acmum_e
EX_adocbl_e
EX_ag_e
EX_dopa_e
EX_met__D_e
EX_ethso3_e
EX_minohp_e
EX_fe3dcit_e
EX_mmet_e
EX_mso3_e
EX_na1_e
EX_ni2_e
EX_frulys_e
EX_fruur_e
EX_o2s_e
EX_pacald_e
EX_peamn_e
EX_galctn__L_e
EX_pppn_e
EX_ppt_e
EX_psclys_e
EX_galur_e
EX_gbbtn_e
EX_skm_e
EX_so2_e
EX_sucr_e
EX_gdp_e
EX_sulfac_e
EX_taur_e
EX_tungs_e
EX_tym_e
EX_glyb_e
EX_gthox_e
G3PCabcpp
FHL
EX_gtp_e
FMETTRS
EX_h2o2_e
FRULYStex
FRUURtex
GALCTNLtex
GBBTNtex
GDMANE
GALURt2rpp
GALURtex
GDPtex
GLCATr
EX_hg2_e
GLNTRS
GLYTRS
GMAND
GTHOXtex
GOFUCR
GPDDA1
EX_isetac_e
GTPtex
H2O2tex
HMPK1
EX_lcts_e
HPPPNtex
HCINNMtex
EX_mal__D_e
HEMEOS
HETZK
ILETRS
HG2abcpp
HG2tex
HISTRS
EX_manglyc_e
ISETACtex
MANGLYCtex
LCTStex
LPLIPAL2ATE120
LPLIPAL2ATE140
LEUTRS
MCPST
LPLIPAL2ATE141
LPLIPAL2ATE160
LPLIPAL2ATE161
LPLIPAL2ATE180
LPLIPAL2ATE181
LPLIPAL2ATG120
METDabcpp
METDtex
LPLIPAL2ATG140
LPLIPAL2ATG141
METTRS
LPLIPAL2ATG160
LPLIPAL2ATG161
MI1PP
MINOHPtexi
LPLIPAL2ATG180
LPLIPAL2ATG181
MME
MMETtex
NAtex
MSO3tex
NI2tex
MTRPOX
NPHS
NTP11
NTP12
LYSTRS
OXGDC2
O2Stex
PACALDt2rpp
PACALDtex
OHPHM
OMBZLM
OMMBLHX
OMMBLHX3
OMPHHX
OMPHHX3
PEAMNtex
PGLYCP
MALDt2_2pp
MALDtex
MALTATr
PHETRS
MALTptspp
PROTRS
PPPNt2rpp
PPPNtex
PPTtex
PSCLYStex
SERTRS
SERTRS2
QMO2
QMO3
TDSR2
SELCYSS
SELNPS
THRTRS
TUNGSabcpp
TUNGStex
SHCHCS2
TYMtex
TYRTRS
SKMtex
SO2tex
TPRDCOAS
SO2tpp
TRPTRS
SPMDAT1
SPMDAT2
URIC
VALTRS
SPODM
SPODMpp
ALCD3ir
DSCLCOCH
CPC2MT
SUCBZL
CPC3MT
CODSCL4MT
CODSCL5DA
CODSCL5BMT
CPC6R
CODSCL6BMT
SUCBZS
CODSCL7MTDC
CODSCL8XI
COBNAD
COB2NDARED
ADCOBNSYN
LTHRK
THRPDC
ADOCBIPS
ADOCBLPS
ADOCBLPP
ADOCBIK
CBLAT
APPK
EX_remnant1_e
REMNANT1tex
SUCRtex
SULFACtex
TAURtex
REMNANT1tpp
ACANTHAT
CAT
GUI2
UDPGALM
EX_frmd_e
FOAMtex
TDSR1
4IZ5PPH
NFLGLNH
OAO4t3pp
OAO4t3ex
HISDr
AB6PGH
SARCOX
URCN
ALPATE160pp_1
ALPATG160pp_1
EX_udcpo4_e
HHDDI
MUREINLPPTP
APOLPPS
PROLPPOATPE160
PROLPPOATPG160
PROLPPGT160
DMBZIDS
FOAMtrpp
CHITPH
CHITOBex
CHITOBpts
PSUDS
NNDMBRT
OA4L_ST
OA4VL_ST
