3NTD2pp
3NTD4pp
3NTD7pp
3NTD9pp
23CAMPtex
23CCMPtex
23CGMPtex
23CUMPtex
23DAPPAt2pp
23DAPPAtex
12PPDStex
12PPDStpp
23PDE2pp
23PDE4pp
23PDE7pp
23PDE9pp
26DAHtex
14GLUCANabcpp
14GLUCANtexi
ABUTtex
ACGAL1PPpp
ACGAL1Ptex
ACGALtex
ACGAM1PPpp
ACGAM1Ptex
ACGAptspp
ACGAtex
ACMANAptspp
ACMANAtex
ACNAMt2pp
ACNAMtex
ACNML
3AMPtex
3CMPtex
3GMPtex
3UMPtex
ALLTAMH
ALLTN
ALLTNt2rpp
ALLTNtex
AMALT1
AMALT2
AMALT3
AMALT4
AMANAPEr
AMANK
AMPMS2
AMPTASEPG
AMPtex
ARAI
ALAabcpp
ARBtex
ALAt2pp
ALAt4pp
ALAtex
ASCBPL
ASCBptspp
ASCBtex
AAMYL
AAMYLpp
ABUTt2pp
CHLtex
CHRPL
CITt7pp
CITtex
ICITtex
ACONCtex
BALAt2pp
BALAtex
CSNtex
CMPtex
CU1Opp
DAMPtex
DAPabcpp
DMSOtex
DMStex
DM_4hba_c
DCAtex
DCMPtex
DCYTt2pp
CUtex
DCYTtex
DDCAtexi
DDGALK
DM_oxam_c
DDGLCNtex
DDGLK
DGMPtex
DGSNt2pp
CYANSTpp
DGSNtex
DSERt2pp
DSERtex
CYANtex
DTMPtex
DUMPtex
DURIt2pp
DURItex
DXYLK
E4PD
DIMPtex
DINSt2pp
DINStex
EX_alltn_e
EX_amp_e
EX_arab__L_e
EX_arbtn_e
EX_arbtn_fe3_e
EX_pydxn_e
EX_pydx_e
EX_ascb__L_e
EX_12ppd__S_e
EX_14glucan_e
EX_23camp_e
EX_23ccmp_e
EX_23cgmp_e
EX_23cump_e
EX_23dappa_e
EX_26dap__M_e
EX_chol_e
EX_cit_e
EX_2ddglcn_e
DADNt2pp
EX_3amp_e
EX_3cmp_e
EX_3gmp_e
EX_icit_e
EX_acon_C_e
EX_cmp_e
DADNtex
EX_cpgn_e
EX_cpgn_un_e
EX_3ump_e
EX_csn_e
EX_cu_e
EX_4abut_e
EX_cyan_e
EX_acgal1p_e
EX_acgal_e
EX_dad_2_e
EX_damp_e
EX_dca_e
EX_dcmp_e
EX_acgam1p_e
EX_acgam_e
EX_acmana_e
EX_acnam_e
EX_dcyt_e
EX_ddca_e
EX_dgmp_e
EX_dgsn_e
EX_dimp_e
EX_din_e
EX_dms_e
EX_dmso_e
EX_ala_B_e
EX_g1p_e
EX_dtmp_e
