table_new
THRD_L
HXPRT
PIt,SOTA,PROabc,SGSAD,PPDIMAT,SGDS,SERD_L,PDH,SADH,MMSAD3,INSK,URIK2,HXPRT,EX_h2s_e,EX_cit_e,HEX1,H2St1,NTD7,NADH10,DMPPS,CYTDK2,CYTD,AST,DCTPD2,CITabc,ASNN,FAO3,APATr,EX_ppdima_e,ADA,2AGPEAT160
PREPHACPH
SADT2
P5CRx
SSALy,PIabc,PROabc,PPDK,PDH,RPE,ME1,MCD,LO,EX_fum_e,FUMt2r,FTHFD,OXGDC,HCYSMT,NTD11,NTPP4,DHORD5,CTPS2,CS,DCPT,DCPE,DCPDPP,ADNK3,ADNK1,FDH,ACS
SSALy,PIabc,PROabc,PPDK,PDH,RPE,ME1,MCD,LO,EX_fum_e,FUMt2r,FTHFD,OXGDC,HCYSMT,NTD11,NTPP4,DHORD2,CTPS2,CS,ADNK1,FDH,ACS
SSALy,PIabc,PROabc,PPDK,PDH,RPE,MCD,LO,EX_fum_e,FUMt2r,FTHFD,OXGDC,HCYSMT,ORNTA,NTD11,NTPP4,DHORD2,CTPS2,CS,ADNK3,ADNK1,FDH,ACS
TRPS1
TRPS1
IPDPS
MAN1PT
SSALy,PIabc,PROabc,PPDK,PDH,MCD,TKT2,LO,FTHFD,OXGDC,HCYSMT,NTD11,NTPP4,DHORD2,CTPS2,CS,DCPT,DCPE,DCPDPP,ADNK3,ADNK1,FDH,ACS
SSALy,PIabc,PROabc,PPDK,PDH,ME1,MCD,TKT2,LO,FTHFD,OXGDC,HCYSMT,NTD11,NTPP4,DHORD5,CTPS2,CS,DCPT,DCPE,DCPDPP,ADNK3,ADNK1,FDH,ACS
SSALy,PIabc,PROabc,PPDK,PDH,ME1,MCD,TKT2,LO,FTHFD,OXGDC,HCYSMT,NTD11,NTPP4,DHORD5,CTPS2,CS,DCPT,DCPE,DCPDPP,ADNK3,ADNK1,FDH,ACS
UMPK_copy1
HSST
THRD_L
ORNTA
HSDxi

G16MTM2
ORNTAC,CS
DMPPS
SOTA,SGSAD,PPDIMAT,SGDS,SERD_L,SADH,MMSAD3,EX_h2s_e,EX_cit_e,HEX1,H2St1,NTPP4,CYTK2,CYTD,AST,CITabc,APATr,EX_ppdima_e,ADA,ACS
SOTA,PIabc,SGSAD,PPDIMAT,SGDS,SERD_L,SADH,MMSAD3,EX_h2s_e,EX_cit_e,HEX1,H2St1,NTPP8,NTPP4,CYTK2,CYTDK2,AST,DCTPD2,CITabc,APATr,EX_ppdima_e
SOTA,PIabc,PROabc,SGSAD,PPDIMAT,SGDS,SERD_L,PDH,P5CRx,SADH,MMSAD3,INSK,GLUSy,EX_h2s_e,EX_cit_e,HEX1,H2St1,NTPP8,NTD7,CYTDK2,CTPS1,AST,CITabc,ASNN,FAO3,APATr,EX_ppdima_e,ADA
DCPT,DCPE,DCPDPP
DCPT,DCPE,DCPDPP
DCPT,DCPE,DCPDPP
DCPT,DCPE,DCPDPP
DCPT,DCPE,DCPDPP
DCPT,DCPE,DCPDPP
DCPT,DCPE,DCPDPP
DCPT,DCPE,DCPDPP
DCPT,DCPE,DCPDPP
PPDIMAT,MMSAD3,EX_h2s_e,EX_cit_e,HEX1,H2St1,NTPP8,DCTPD2,CITabc,DADK,APATr,EX_ppdima_e
SOTA,SGSAD,PPDIMAT,SGDS,SADH,MMSAD3,EX_h2s_e,HEX1,H2St1,NTPP4,AST,DADK,APATr,EX_ppdima_e
ARGSS,ARGSL
ARGSS,ARGSL
PREPHACPH
FAS161
FAS161
PDH,ME1,ALATA_L
PDH,ALATA_L
PDH,ALATA_L
SOTA,PIabc,PROabc,SGSAD,PPDIMAT,SGDS,SERD_L,PDH,SADH,MMSAD3,RNDR4,INSK,URIK2,EX_h2s_e,EX_cit_e,HEX1,H2St1,NTD7,DMPPS,CYTDK2,CYTD,AST,DCTPD2,CITabc,ASNN,FAO3,APATr,EX_ppdima_e,ADA,2AGPEAT160,AIRCr
SOTA,PIabc,PROabc,SGSAD,PPDIMAT,SGDS,SERD_L,PDH,SADH,MMSAD3,RNDR4,ME1,INSK,URIK2,EX_h2s_e,EX_cit_e,HEX1,H2St1,DMPPS,CYTDK2,CYTD,AST,DCTPD2,CITabc,ASNN,FAO3,APATr,EX_ppdima_e,ADA,2AGPEAT160,AIRCr

SUCD1,SSALy,PDH,P5CD,RPE,ME1,MCD,LO,EX_cytd_e,EX_cit_e,OXGDC,HCYSMT,NTD2,CYTDt2,DHORD5,DHORD2,CS,CITabc,ASNN,FDH
SSALy,PDH,P5CD,ME1,MCD,TKT2,LO,EX_cytd_e,EX_cit_e,OXGDC,HCYSMT,NTD2,CYTDt2,DHORD2,CS,CITabc,ASNN,FDH
SSALy,PROabc,PPDK,PDH,P5CD,TRPt2r,MCD,TKT2,EX_cit_e,OXGDC,HCYSMT,CS,CITabc,FDH,EX_trp__L_e
SSALy,PDH,P5CD,RPE,ME1,MCD,LO,EX_cytd_e,EX_cit_e,OXGDC,HCYSMT,NTD2,CYTDt2,DHORD5,CS,CITabc,ASNN,FDH
SSALy,PPAtr,PDH,P5CD,MMCD,ME1,MCD,TKT2,LO,EX_cytd_e,EX_cit_e,OXGDC,HCYSMT,NTD2,CYTDt2,CS,CITabc,ASNN,FDH,EX_ppa_e
PPDK,SERD_L,ICDHyr,GLUSy,HCYSMT,NADTRHD_copy2,CS,ASNN,FRD,FAO3,FAO1
HSST
HSST
HSST





DMPPS

