AHCYSNS
AMAOTr
AMPMS2
AOXSr2
APRAUR
ASP1DC
BIOMASS_Ec_iJO1366_core_53p95M
BMOCOS
BMOGDS1
BMOGDS2
BTS5
CA2tex
CDPMEK
CHRPL
CLt3_2pp
CLtex
COBALT2tex
CPMPS
CU2tex
DB4PS
DBTS
DHPPDA2
DHPTDCs2
DMATT
DMPPS
DM_4crsol_c
DM_amob_c
DM_mththf_c
DPCOAK
DPR
DXPRIi
DXPS
EGMEACPR
EPMEACPR
EX_ca2_e
EX_cl_e
EX_cobalt2_e
EX_cu2_e
EX_k_e
EX_meoh_e
EX_mg2_e
EX_mn2_e
EX_mobd_e
EX_nac_e
EX_ni2_e
EX_zn2_e
FMNAT
GRTT
GTPCII2
HBZOPT
I2FE2SS
I2FE2SS2
I2FE2ST
I4FE4SR
I4FE4ST
ICYSDS
IPDDI
IPDPS
Ktex
MALCOAMT
MECDPDH2
MECDPDH5
MECDPS
MEOHtex
MEOHtrpp
MEPCT
MG2tex
MNtex
MOADSUx
MOBDabcpp
MOBDtex
MOCOS
MOHMT
MPTAT
MPTS
MPTSS
MTHTHFSs
NACtex
NACtpp
NI2tex
OCTDPS
OGMEACPD
OGMEACPR
OGMEACPS
OPHBDC
OPHHX
OPHHX3
OPMEACPD
OPMEACPR
OPMEACPS
PANTS
PDX5PO2
PDX5POi
PDX5PS
PMDPHT
PMEACPE
PNTK
PPCDC
PPNCL2
PTPATi
RBFK
RBFSa
RBFSb
RHCCE
S2FE2SS
S2FE2SS2
S2FE2ST
S4FE4SR
S4FE4ST
SCYSDS
SHCHD2
SHCHF
SK_thf_c
THZPSN3
TMPPP
TYRL
UDCPDPS
UPP3MT
Zn2tex
