EX_cm_e
EX_colipap_e
DM_oxam_c
EX_crn_e
EX_crn__D_e
EX_csn_e
EX_cynt_e
EX_15dap_e
EX_34dhpac_e
EX_3hcinnm_e
EX_3hpppn_e
EX_4hoxpacd_e
EX_dopa_e
EX_doxrbcn_e
EX_eca4colipa_e
EX_acolipa_e
EX_ag_e
EX_glyb_e
EX_all__D_e
EX_fruur_e
EX_fuc__L_e
EX_alltn_e
EX_fusa_e
EX_arbt_e
EX_aso3_e
EX_cbi_e
EX_galctn__D_e
EX_galt_e
EX_cd2_e
EX_galur_e
EX_gbbtn_e
EX_gthox_e
EX_novbcn_e
EX_o16a4colipa_e
EX_o2s_e
EX_pacald_e
EX_peamn_e
EX_h2o2_e
EX_pppn_e
EX_rfamp_e
EX_sbt__D_e
EX_sel_e
EX_slnt_e
EX_so2_e
EX_hg2_e
EX_ttrcyc_e
EX_tungs_e
EX_tym_e
2DGULRGx
2DGULRGy
2DGULRx
2DGULRy
34dhpactex
EX_isetac_e
3HCINNMH
3HPPPNH
AADDGT
AB6PGH
ACANTHAT
ACBIPGT
ACGAMT
4HOXPACDtex
ACMAMUT
ADOCBIK
ADOCBLS
ACOLIPAabctex
ACONIs
AGMHE
EX_met__D_e
ACPS1
AGt3
ADCL
ADCS
ALATRS
EX_mincyc_e
ALLTN
ALLTNtex
ARBTptspp
ARBTtex
ALLtex
ALPATE160pp
ALPATG160pp
EX_mmet_e
ARGTRS
ASNTRS
AP5AH
APCS
ASO3t8pp
ASO3tex
EX_na1_e
ASPTRS
ASR
APPLDHr
CRNCDH
BWCOGDS1
BWCOGDS2
BWCOS
CINNDO
CAT
CRNDCAL2
CBIAT
CBItonex
CBIuabcpp
CCGS
CRNDtex
CD2tex
CMPN
CDGR
CDGS
CFAS160E
CRNt7pp
CFAS160G
CFAS180E
CFAS180G
COLIPAKpp
COLIPAPabctex
COLIPAabcpp
CHLabcpp
CHLt2pp
COLIPAabctex
CRNCAR
CRNtex
CSNtex
CPH4S
CRNCAL2
CTBTCAL2
DHNPA2r
DHNPTE
DAPtex
DHPPD
DHPS2
DHPTDNR
DHPTDNRN
DHPTPE
DKGLCNR1
DKGLCNR2x
DKGLCNR2y
DDGALK
DMSOR1
DMSOR2
DMSOtpp
CU1abcpp
DNMPPA
DNTPPA
DOPAtex
DHCIND
DHCINDO
DSBAO1
DHFS
DSBAO2
DSBCGT
DHMPTR
DSBDR
DSBGGT
CUt3
DURADx
CYANST
CYNTtex
ECA4COLIPAabctex
ECAP1pp
ECAP2pp
ECAP3pp
ECAtpp
CYSSADS
CYSTRS
FCLK
ETHAt2pp
FCLPA
FDMO
CYTDH
FRUURtex
FUCtex
FUCtpp
G1PTT
G2PP
FMETTRS
FORCT
GLCTR1
GLYTRS
GLNTRS
GMAND
GMHEPAT
GALCTND
GMHEPK
GLTPD
GMHEPPA
GOFUCR
GP4GH
GPDDA1
GPDDA2
GPDDA3
GALCTNt2pp
GPDDA5
GLYBtex
GALCTNtex
GTHOXtex
GTPCI
H2O2tex
GALS3
GALTtex
GALURtex
GUI2
HCINNMt2rpp
HCINNMtex
HEPK1
HEPT1
HEPT2
HEPT3
HETZK
HG2abcpp
HG2t3pp
HG2tex
HISTRS
HMPK1
HOPNTAL
HPPK2
HPPPNDO
HPPPNt2rpp
HPPPNtex
ILETRS
GBBTNtex
ISETACtex
GDMANE
ISETACabcpp
LA4NTpp
LACZ
LCTSt3ipp
LEUTRS
LPLIPAL2ATE120
LPLIPAL2ATE140
LPLIPAL2ATE141
LPLIPAL2ATE160
LPLIPAL2ATE161
LPLIPAL2ATE180
LPLIPAL2ATE181
LPLIPAL2ATG120
LPLIPAL2ATG140
LPLIPAL2ATG141
LPLIPAL2ATG160
GHBDHx
LPLIPAL2ATG161
LPLIPAL2ATG180
LPLIPAL2ATG181
LPLIPAL2E120
LPLIPAL2E140
LPLIPAL2E141
LPLIPAL2E160
LPLIPAL2E161
LPLIPAL2E180
LPLIPAL2E181
MALTATr
GLCATr
MALTptspp
LYSDC
LYSTRS
MELIBt3ipp
METDabcpp
METDtex
MCPST
METTRS
MI1PP
MICITDr
MMETtex
MTRPOX
NAtex
NTP11
NTP12
OP4ENH
O16A4COLIPAabctex
OXAMTC
OXCDC
O16AT
O16GLCT2
O2Stex
PACALDt2rpp
PACALDtex
PEAMNtex
PFK_2
PHETRS
PGLYCP
NNDMBRT
NNDPR
PPPNDO
PPPNt2rpp
PPPNtex
PROTRS
QMO2
QMO3
RZ5PP
S7PI
ThDPAT
SBTtex
SARCOX
SBTptspp
SELCYSS
SELGTHR
TMAOR1
SELGTHR2
SELGTHR3
SELNPS
SELtex
SELtpp
TMAOR2
SUCFUMtpp
SERTRS
SERTRS2
SUCMALtpp
TPRDCOAS
TRPTRS
SLNTtex
SLNTtpp
SO2tex
SO2tpp
SUCTARTtpp
TUNGSabcpp
TUNGStex
SPODM
TYMtex
SPODMpp
TYRTRS
SUCASPtpp
UACMAMO
UAG2E
WCOS
XAND
UDCPDPpp
UDCPPtppi
UDPGD
UDPGDC
UDPKAAT
ULA4NFT
ULA4Ntppi
EX_feroxBfe_e
UPLA4FNF
UPLA4FNT
EX_4abz_e
URIC
3PGtex
VALTRS
TDPADGAT
UNK3
TDPAGTA
EX_chitob_e
TAG1PK
TDPGDH
EX_feroxB_e
EX_tcb_e
SALCHS4FEabcpp
RNAMtpp
CHITPH
CYSIabcpp
EX_tton_e
TDSR1
TDSR2
CHITOBpts
GULNLtex
EX_feroxEfe_e
URCN
AIRStpp
ENTERH
EX_feroxE_e
EX_acon_C_e
EX_23dhbzs3_e
EX_tet_e
SALCHS4FEtonex
EX_cysi__L_e
DRIBtex
EX_airs_e
EX_3pg_e
EX_feroxGfe_e
ICITtex
EX_fe3dhbzs3_e
EX_drib_e
RNMK
AEPtex
CYSItex
EX_udcpo4_e
BSORy
EX_tag__D_e
SALCHS2FEabcpp
EX_2pg_e
FLDR
TAGtex
EX_guln__L_e
DHPTDCs
UPLA4NT
EX_frmd_e
TCBt2ex
2PGtex
EX_remnant1_e
EX_colipaOA_e
EX_salchsx_e
EX_AEP_e
EX_feroxG_e
FOAMtex
EX_icit_e
THZPSN
THRTRS
EX_pep_e
TETtex
PSUDS
EX_colipa20Oag_e
BSORx
SALCHSXtex
PFOR
EX_diact_e
TRPTA
PPRDNDH
ALCD3ir
CLBtex
EX_udcpo5_e
OXPTNDH
EX_btd_RR_e
3OXCOAT
ACONCtex
EX_rbt_e
EX_cellb_e
ADOCBLPS
ADOCBLPP
EX_bz_e
EX_13ppd_e
GLCOAS
EX_abt__D_e
GLYCDH
DSCLCOCH
AIRStex
CYNTt2pp
ALLabcpp
DGUNC
GLCR1TRB1
MMETt2pp
CSNt2pp
DM_lipidA_core_e_p
EX_fe_e
EX_kokdolipidA_e
MMM2
GALAMtex
GALR1TRB2
SALCNH
GALR1TRB1
HEPKB2
ENLIPIDAt1ex
EX_3ntym_e
SALCNtex
4H3NPACAM
ENLIPIDAt2ex
EX_4hoxpac_e
EX_salcn_e
HEPKA2
GLCR1TRA1
CLB6PH
EX_galam_e
CLBH
GALR1TRA2
GALR1TRA1
EX_o6a4colipa_e
