EX_cl_e
EX_cobalt2_e
DM_4crsol_c
DM_5drib_c
DM_amob_c
DM_mththf_c
BIOMASS_Ec_iJO1366_core_53p95M
EX_cu2_e
EX_ca2_e
EX_glc__D_e
EX_zn2_e
EX_pi_e
EX_so4_e
EX_k_e
5DOAN
A5PISO
3OAR140
3OAS140
ACCOAC
ACGK
ACGS
ACHBS
ACLS
ADSK
ADSL1r
ADSL2r
ADSS
ACODA
ACONTa
ACONTb
ACOTA
EX_meoh_e
AGPAT160
AGPAT161
AGPR
AHCYSNS
AICART
AIRC2
AIRC3
ALAALAr
ALAR
ALATA_L
EX_mg2_e
EX_mn2_e
ARGSL
ARGSS
EX_mobd_e
AMAOTr
AMPMS2
ASAD
ANPRT
ANS
AOXSr2
ASP1DC
ASPCT
ASPK
EX_nac_e
ASPTA
EX_nh4_e
EX_ni2_e
APRAUR
ATPPRT
CHORM
BMOCOS
BMOGDS1
BMOGDS2
BPNT
BTS5
CHORS
CHRPL
CA2tex
CAt6pp
CLt3_2pp
CLtex
CDPMEK
COBALT2tex
COBALT2tpp
CS
CPMPS
DAPDC
DAPE
DASYN160
DASYN161
DHORTS
DHPPDA2
DHPTDCs2
DB4PS
DHQS
DHQTi
DBTS
DMATT
CTPS2
DDPA
DHAD1
DHAD2
DPCOAK
DPR
DHDPRy
DHDPS
DHFR
CU2tex
CU2tpp
DXPRIi
DXPS
DTMPK
E4PD
CYSS
CYSTL
EGMEACPR
EPMEACPR
FCLT
G1PACT
G1SAT
G3PD2
G5SADs
FMNAT
GLNS
GMPS2
GLUPRT
GLUR
GLUTRR
GLUTRS
GRTT
GTPCII2
HBZOPT
HCO3E
HISTD
HISTP
ICDHyr
HMBS
ICYSDS
IG3PS
IGPDH
IGPS
ILETA
HSDy
IMPC
HSK
HSST
HSTPT
K2L4Aabcpp
K2L4Aabctex
KARA1
IPMD
IPPMIa
KARA2
KDOCT2
IPPMIb
IPPS
KDOPP
KDOPS
Ktex
LPADSS
LEUTAi
GF6PTA
MALCOAMT
GK1
MECDPS
MEOHtex
MEOHtrpp
MEPCT
METAT
MCOATA
METS
MCTP1App
MG2tex
MNtex
MOADSUx
MOAT
MOAT2
MOBDabcpp
MOBDtex
MOCOS
NADS1
MOHMT
MPTAT
MPTG
MPTS
MPTSS
MTHFR2
MTHTHFSs
NAMNPP
NACtex
NACtpp
NADK
OGMEACPD
OGMEACPR
OGMEACPS
OHPBAT
OMCDC
NDPK2
OMPDC
OPHBDC
NDPK4
OPMEACPD
OPMEACPR
OPMEACPS
ORPT
P5CR
OCBT
OCTDPS
PANTS
PDX5PS
NH4tex
PE160abcpp
PE161abcpp
PERD
NH4tpp
PAPPT3
PGAMT
NI2tex
PHETA1
PItex
NNATr
PPBNGS
PPCDC
PMDPHT
PMEACPE
PMPK
PNTK
PPNCL2
PPND
PPNDH
PRAGSr
PSSA160
PRAIS
PRAIi
PRAMPC
PRATPP
PSSA161
PRFGS
PRMICI
PTPATi
PSCVT
PSD160
PSD161
RBFK
RBFSa
RBFSb
RHCCE
SADT2
SDPDS
SDPTA
THZPSN3
SERAT
TMDS
TMPK
TMPPP
SHCHD2
SHCHF
SHK3Dr
SHKK
SHSL1
SO4tex
TYRL
TYRTA
UAAGDS
SULR
U23GAAT
UAGAAT
UAGCVT
UAGDP
UAGPT3
UAMAGS
UAMAS
UAPGR
UDCPDP
UDCPDPS
Zn2tex
UGMDDS
UHGADA
UMPK
UPP3MT
UPP3S
UPPDC1
USHD
VALTA
TDSK
THDPS
THRD_L
THRS
SK_thf_c
