EX_cmp_e
EX_glcr_e
EX_colipa_e
EX_chtbs_e
DM_aacald_c
EX_cpgn_e
EX_cpgn_un_e
EX_glcur_e
BIOMASS_Ec_iJO1366_WT_53p95M
EX_cu_e
EX_glcur1p_e
EX_cyan_e
EX_cys__D_e
EX_14glucan_e
EX_23camp_e
EX_23ccmp_e
EX_23cgmp_e
EX_23cump_e
EX_23dappa_e
EX_26dap__M_e
EX_2ddglcn_e
EX_3amp_e
EX_dad_2_e
EX_damp_e
EX_dca_e
EX_dcmp_e
EX_dcyt_e
EX_ddca_e
EX_dgmp_e
EX_dgsn_e
EX_dimp_e
EX_din_e
EX_3cmp_e
EX_3gmp_e
EX_dms_e
EX_dmso_e
EX_3ump_e
EX_gln__L_e
EX_dtmp_e
EX_dump_e
EX_duri_e
EX_LalaDglu_e
EX_LalaLglu_e
EX_acac_e
EX_ethso3_e
EX_f6p_e
EX_fald_e
EX_acgal_e
EX_acgal1p_e
EX_acgam_e
EX_acgam1p_e
EX_acmana_e
EX_fe3dcit_e
EX_acmum_e
EX_acnam_e
EX_fe3dhbzs_e
EX_fe3hox_e
EX_fe3hox_un_e
EX_fecrm_e
EX_adn_e
EX_adocbl_e
EX_fecrm_un_e
EX_feoxam_e
EX_feoxam_un_e
EX_ala_B_e
EX_fru_e
EX_frulys_e
EX_fum_e
EX_amp_e
EX_g1p_e
EX_arab__L_e
EX_g3pc_e
EX_arbtn_e
EX_glyc2p_e
EX_arbtn_fe3_e
EX_g3pi_e
EX_g3ps_e
EX_g6p_e
EX_ascb__L_e
EX_btn_e
EX_gal_e
EX_gal_bD_e
EX_but_e
EX_butso3_e
EX_gal1p_e
EX_galct__D_e
EX_galctn__L_e
EX_cbl1_e
EX_gam_e
EX_gam6p_e
EX_gdp_e
EX_chol_e
EX_gmp_e
EX_gsn_e
EX_gtp_e
EX_no_e
EX_no2_e
EX_no3_e
EX_xmp_e
EX_ocdca_e
EX_ocdcea_e
EX_xyl__D_e
EX_h2_e
EX_xylu__L_e
EX_octa_e
EX_orot_e
EX_pnto__R_e
