MAN6PI
XYLK
EX_metsox_S__L_e
EX_acgam_e
EX_cellb_e
EX_chol_e
EX_no3_e
EX_gln__L_e
EX_man_e
EX_rib__D_e
EX_dcyt_e
EX_sbt__D_e
EX_btn_e
RMI
EX_dgsn_e
EX_arab__L_e
EX_fru_e
EX_gal_e
EX_xyl__D_e
EX_duri_e
EX_h2_e
SUCBZS
EX_thm_e
EX_din_e
RBK_L1
RBP4E
TARTD
GLCRAL
HEMEOS
UGLT
MNNH
ALTRH
GUI1
DDGLK
EX_tmao_e
EX_melib_e
DMQMT
UDPG4E
LACZ
XYLI1
ALDD4
DHPPD
EX_tre_e
OHPHM
RMPA
SBTPD
PFK_2
GLTPD
EX_hdcea_e
ACACCT
BUTCT
TGBPA
MANAO
TAGURr
DDPGALA
EX_ttdcea_e
EX_26dap__M_e
CYNTAH
EX_acnam_e
EX_amp_e
FRUK
KG6PDC
X5PL3E
EX_fuc__L_e
EX_tartr__L_e
BETALDHx
BETALDHy
EX_taur_e
EX_maltpt_e
EX_glcur_e
EX_nmn_e
ARAI
M1PD
GALS3
FCI
FCLK
FCLPA
EX_f6p_e
OP4ENH
EX_rmn_e
HOPNTAL
EX_ttdca_e
3HPPPNH
AMANK
EX_g6p_e
EX_2ddglcn_e
EX_mmet_e
NTRIR2x
GPDDA1
ASCBPL
EX_galct__D_e
HPPPNDO
DHCINDO
HKNDDH
HKNTDH
GPDDA5
MANPGH
AMANAPEr
EX_3hcinnm_e
EX_acac_e
EX_acmana_e
EX_galur_e
TAUDO
MLTG2
EX_but_e
MLTG1
AMALT3
EX_lcts_e
EX_ocdca_e
EX_cbl1_e
ACNML
TMK
EX_nac_e
GLCRD
PPPNDO
26DAHtex
HCINNMtex
HPPPNtex
ACMANAtex
ACMUMtex
TARTRt7pp
EX_dad_2_e
EX_ser__D_e
DDGALK
EX_gam6p_e
EX_ocdcea_e
EX_cynt_e
EX_galctn__D_e
AMALT1
EX_glyb_e
TAURabcpp
3HCINNMH
NMNt7pp
EX_so3_e
XYLt2pp
EX_ascb__L_e
GLYBtex
GTPtex
EX_ala_B_e
EX_minohp_e
EX_ppt_e
H2tex
SPODMpp
EX_lyx__L_e
EX_acmum_e
EX_dca_e
EX_all__D_e
NO3R1bpp
EX_octa_e
PHYTSpp
PPTHpp
NO3R2pp
EX_xylu__L_e
EX_gdp_e
EX_gtp_e
NTP3pp
NO3R2bpp
THMabcpp
TREptspp
TMAOR1pp
TMAOR2pp
EX_tma_e
DDGLCNtex
XYLabcpp
XYLUt2pp
GALURtex
FDMO
EX_fruur_e
GALtex
CBL1abcpp
EX_malttr_e
ACACt2pp
ACGAptspp
ACMANAptspp
ACNAMt2pp
GALCTtex
GALCTNtex
GALTtex
