EX_crn_e
LYSAM
HMPK1
EX_gthox_e
EDTXS3
EDTXS4
EX_sucr_e
CINNDO
DHCIND
GOFUCR
DMSOR1
PGLYCP
2DGULRx
DKGLCNR2y
2DGULRy
UDPGALM
RZ5PP
CRNBTCT
CRNCBCT
CRNCDH
HETZK
TMAOR1
TMAOR2
SPMDAT1
SPMDAT2
DOGULNR
EX_met__D_e
DKGLCNR1
ACPS1
CYANST
GMAND
ACBIPGT
ADOCBLS
ADOCBIK
DXYLK
AP5AH
MI1PP
UDPGD
BSORy
DMSOR2
SUCptspp
TSULabcpp
AB6PGH
BSORx
GP4GH
EX_gbbtn_e
EX_cbi_e
GBBTNtex
CRNt7pp
EX_sel_e
EX_hg2_e
O16GLCT1
O16AP2pp
O16AP3pp
O16A4Lpp
MALTATr
MCPST
LIPACabcpp
CU1abcpp
HG2abcpp
LA4NTpp
ACANTHAT
SUCRtex
ARABDI
AGt3
CBIuabcpp
METDtex
SARCOX
3KGK
EX_cd2_e
METDabcpp
TUNGSabcpp
NAtex
EX_chtbs_e
ASR
ASO3tex
O16AT
O16GALFT
O16GLCT2
O16AUNDtpp
O16AP1pp
CD2tex
CBIAT
CRNtex
DHPTPE
FHL
HG2tex
ACONMT
SELNPS
MTRPOX
CRNCAR
NNDMBRT
ASO3t8pp
UDPGDC
EX_na1_e
MALTptspp
UDPKAAT
ULA4NFT
DKGLCNR2x
UPLA4FNT
UPLA4FNF
ULA4Ntppi
GLCATr
EX_so2_e
CUt3
CYSSADS
EX_aso3_e
EX_fe3dhbzs_e
SO2tex
SO2tpp
GDMANE
LPLIPAL2ATG120
DURADx
YUMPS
LPLIPAL2ATG140
LPLIPAL2ATG141
LPLIPAL2ATG160
LPLIPAL2ATG180
LPLIPAL2ATG161
LPLIPAL2ATG181
CFAS160G
ALPATE160pp
ALPATG160pp
LPLIPAL2ATE120
LPLIPAL2ATE140
LPLIPAL2ATE160
LPLIPAL2ATE180
LPLIPAL2ATE141
LPLIPAL2ATE161
LPLIPAL2ATE181
FE3DHBZStonex
TPRDCOAS
HG2t3pp
2DOXG6PP
DSBCGT
DSBGGT
ACONIs
NTP12
CFAS160E
CFAS180E
CFAS180G
GTHOXtex
DSBAO1
DSBAO2
DSBDR
TDSR1
EX_ag_e
NTP11
TDSR2
KDUI
EX_tungs_e
CTBTCAL2
EX_crn__D_e
CRNDCAL2
CRNCAL2
TUNGStex
OXCDC
SELGTHR
SELGTHR3
EX_slnt_e
S2FE2SR
CLIPAabctex
CCGS
SELtex
SELR
CDGR
BMOCOS
BWCOS
BWCOGDS1
BWCOGDS2
CDGS
DHNPTE
DHMPTR
SLNTtex
SELGTHR2
COLIPAKpp
CPH4S
WCOS
ACOLIPAabctex
EX_ttrcyc_e
COLIPAPabctex
EX_mincyc_e
DHBSZ3FEabcpp
FE3DHBZS3R
2DGLCptspp
2DGULRGx
2DGULRGy
ARBTptspp
ARBTtex
EX_arbt_e
DMSOtpp
23DOGULNt4pp
FEENTERES
PSURItex
13PPDH2
APCS
CHTBSptspp
Ftpp
CHTBStex
ThDPAT
GHBDHx
APPLDHr
CRNDtex
CLBtex
ACOXT
2HESR
CHOLID
CHOLATEtpp
SELabcpp
PHDA
TEO2M
CYSItpp
DHPTDNR
DHPTDNRN
PCNO
HPACOAT
PUACGAMtr
DC6PDA
4HBZt3pp
CURR
LKDRA
METNA
XYHDL
2DGLCtex
E4PP
PUACGAMS
RU5PP
EX_doxrbcn_e
EX_cs1_e
EX_fusa_e
CBItonex
ARHGDx
PSURItpp
CYSTA
FE3DCITR5
EX_cm_e
EX_novbcn_e
PSURIK
CUt2pp
Ftex
CYSItex
DHCURR
RHMND
3HBZCT
CXSAMS
EX_2dglc_e
PNSPA
AMPNTAT
CS1tex
SQGH
UDPGPT
ACP1p
EX_rfamp_e
3HPADHi
2HPTCOAT
MC6PH
FORCT
SLNTabcpp
O16A4COLIPAabctex
BMOGDS1
BMOGDS2
