SHK3Dr
DHORTS
OMPDC
G5SD
CS
ICDHyr
PPA
APRAUR
DB4PS
ALAR
RBFK
ASPTA
RBFSb
EX_pi_e
SHCHD2
A5PISO
PMDPHT
ILETA
IPPMIb
ORPT
RBFSa
ACHBS
DHAD2
ACLS
PSCVT
ANS
ANPRT
CHORM
CHORS
IGPS
LEUTAi
DMATT
GRTT
UPP3S
UPPDC1
EX_mn2_e
MOAT
UDCPDPS
USHD
HCO3E
IMPC
LPADSS
GLUTRS
TDSK
TMPPP
DHQTi
IPMD
AIRC3
ADSL2r
TMDS
PPCDC
EX_glc__D_e
DHAD1
IPPMIa
FMNAT
KARA1
KARA2
ACCOAC
NADK
GLUTRR
ARGSS
AGPR
G1SAT
KDOCT2
DXPS
CDPMEK
MECDPS
PGAMT
UAGDP
UAGCVT
GLUR
NNDPR
EX_zn2_e
DNMPPA
HPPK2
PTPATi
DXPRIi
GTPCII2
SADT2
OPHBDC
SDPDS
ADCS
ADCL
UMPK
UAPGR
CTPS2
PAPPT3
UAGPT3
ACODA
FCLT
HBZOPT
PNTK
ADSS
OCTDPS
DPCOAK
ASPCT
KDOPS
KDOPP
MCOATA
DAPE
DHDPRy
HSK
SDPTA
THRS
HSST
PPNDH
DTMPK
DDPA
RHCCE
U23GAAT
UAAGDS
UAMAS
UAMAGS
P5CR
DHPPDA2
G5SADs
ASP1DC
UGMDDS
DBTS
UHGADA
UAGAAT
ATPPRT
HISTD
DHDPS
G1PACT
GF6PTA
IGPDH
PRATPP
PRMICI
GLUPRT
SERAT
CYSS
NADS1
BPNT
ASPK
ASAD
DAPDC
OCBT
PHETA1
PPND
METAT
PRAMPC
TMPK
ACOTA
PDX5PS
PPBNGS
SULR
PPNCL2
PRAGSr
PRFGS
NNATr
AIRC2
DM_amob_c
MOAT2
ARGSL
GLU5K
IPPS
EX_mg2_e
MOHMT
AHCYSNS
CHRPL
PMPK
ADSK
HSDy
CYSTL
SHSL1
EX_ca2_e
GTPCI
UDCPDP
GK1
Ktex
DHFS
EX_ni2_e
PItex
EX_meoh_e
METS
EX_cu2_e
PRASCSi
DHPS2
QULNS
EX_cobalt2_e
SO4tex
NH4tpp
MOBDabcpp
MOBDtex
NI2tex
DNTPPA
NH4tex
MG2tex
Zn2tex
ACGK
COBALT2tex
HMBS
MEPCT
HSTPT
THDPS
THRD_L
DHFR
PRAIi
TYRTA
SHKK
EX_mobd_e
EX_so4_e
OMCDC
IG3PS
MTHFR2
EX_nh4_e
DPR
AMAOTr
GLNS
EX_k_e
ACGS
CU2tex
ALAALAr
CLtex
MNtex
SHCHF
PRAIS
PANTS
HISTP
UPP3MT
DHQS
DASYN160
DASYN161
ADSL1r
AICART
EX_cl_e
MPTG
MCTP1App
5DOAN
DM_5drib_c
K2L4Aabcpp
AMPMS2
PSSA161
PSD160
PSD161
ACONTb
CA2tex
AGPAT160
3OAS140
3OAR140
PE160abcpp
PE161abcpp
ACONTa
PSSA160
AGPAT161
CAt6pp
COBALT2tpp
MALCOAMT
CU2tpp
OGMEACPS
OGMEACPR
OPMEACPS
K2L4Aabctex
OPMEACPD
EPMEACPR
AOXSr2
MEOHtrpp
OGMEACPD
EGMEACPR
OPMEACPR
PMEACPE
MEOHtex
ICYSDS
MECDPDH5
BTS5
DM_4crsol_c
DHNPA2r
I2FE2SR
TYRL
THZPSN3
BIOMASS_Ec_iML1515_core_75p37M
