ABUTt2pp
ACCOAL
ACOAD1f
ACPPAT160
ACPPAT161
ADK3
ADNt2pp_copy1
ADNt2pp_copy2
APG3PAT160
APG3PAT161
ASPO3
ASPO4
ASPO5
ASPtpp
CA2t3pp
CRNDt2rpp
CRNt2rpp
CRNt8pp
CYTDt2pp_copy1
CYTDt2pp_copy2
DADK
DGK1
DHORDfum
DURIK1
DURIPP
EX_fe3_e
FE3tex
FEROpp
FOMETRi
FRD2
FRD3
FTHFLi
FUMt1pp
GLBRAN2
GLDBRAN2
GLUABUTt7pp
GRXR
GSNK
GTHOr
HPYRI
HPYRRx
ICHORS_copy1
ICHORS_copy2
INDOLEt2pp
INDOLEt2rpp
IPDDI
MN2tipp
NADH18pp
NAt3pp
NDPK5
NDPK8
NTD2
NTD6
NTD8
PAPSR2
PPAKr
PPCSCT
PTA2
PUNP2
PUNP3
PUNP4
PYK
PYNP2r
R15BPK
R1PK
SUCASPtpp
SUCCt1pp
SUCFUMtpp
TALA
THFAT
THMDt2pp_copy1
THMDt2pp_copy2
TRSARr
URIt2pp_copy1
URIt2pp_copy2
VPAMTr
