,Rxn_1,Rxn_1_Type,Rxn_1_Min,Rxn_1_Max,Rxn_2,Rxn_2_Type,Rxn_2_Min,Rxn_2_Max,v1,v2,Rxn_1_Prod,Rxn_2_Prod,Type
35,ACACT4r,ELE_Rxns,-18.5716616014862,2.39738813340819,3OAR100,ELE_Rxns,0.0,18.5891438150126,0.0,0.0,-44.52348114107556,0.0,PSL
36,AACPS3,ELE_Rxns,0.0,220.348851397528,3HAD160,ELE_Rxns,0.0,30.5626835246986,0.0,0.0,0.0,0.0,PSL
37,AACPS3,ELE_Rxns,0.0,220.348851397528,3OAR160,ELE_Rxns,0.0,30.5626835246985,0.0,19.6708458129551,0.0,0.0,PSL
38,AACPS3,ELE_Rxns,0.0,220.348851397528,3OAS160,ELE_Rxns,0.0,30.5626835246986,0.0,0.0,0.0,0.0,PSL
39,AACPS4,ELE_Rxns,0.0,220.349971422464,3HAD161,ELE_Rxns,0.0,30.5630821776433,0.0,0.0,0.0,0.0,PSL
40,AACPS4,ELE_Rxns,0.0,220.349971422464,3OAR161,ELE_Rxns,0.0,30.5630821776433,0.0,-2.45619609131609e-05,0.0,0.0,PSL
41,AACPS4,ELE_Rxns,0.0,220.349971422464,3OAS161,ELE_Rxns,0.0,30.5630821776433,0.0,0.0,0.0,0.0,PSL
42,AACPS7,ELE_Rxns,0.0,220.346404830785,3HAD120,ELE_Rxns,0.0,30.5618127128084,0.0,0.0,0.0,0.0,PSL
43,AACPS7,ELE_Rxns,0.0,220.346404830785,3OAR120,ELE_Rxns,0.0,30.5618127128084,0.0,0.0,0.0,0.0,PSL
44,AACPS7,ELE_Rxns,0.0,220.346404830785,3OAS120,ELE_Rxns,0.0,30.5618127128084,0.0,0.0,0.0,0.0,PSL
45,ACOAD1f,ELE_Rxns,-7.25128880445573,8.86501507738546,3HAD100,ELE_Rxns,0.0,18.5891438150125,0.0,0.0,-64.28278458197643,0.0,PSL
46,ACOAD1f,ELE_Rxns,-7.25128880445573,8.86501507738546,3HAD40,ELE_Rxns,0.0,8.88249729091898,0.0,0.0,-64.28278458197643,0.0,PSL
47,ACOAD1f,ELE_Rxns,-7.25128880445573,8.86501507738546,3HAD60,ELE_Rxns,0.0,8.88249729091779,0.0,0.0,-64.28278458197643,0.0,PSL
48,ACOAD1f,ELE_Rxns,-7.25128880445573,8.86501507738546,3HAD80,ELE_Rxns,0.0,8.88249729091918,0.0,-0.0051138002733068,-64.28278458197643,0.0,PSL
