GAM6Pt6_2pp
GAMAN6Ptex
GALCTNLt2pp
GALCTt2rpp
GAMptspp
GALCTNLtex
GAMtex
GALCTNt2pp
GALCTNtex
GAPD
GALCTtex
DDGLCNt2rpp
GALKr
GARFT
GALt2pp
GALtex
DDGLCNtex
DDGLK
GALTtex
DDPA
GALURt2rpp
GART
GALURtex
DGK1
DGMPtex
DGSNt2pp
GBBTNtex
DGSNtex
DHAD1
DHAD2
DHAtex
DHAtpp
GDPDPK
GDPtex
EX_cys__L_e
GF6PTA
EX_cytd_e
GHMT2r
EX_dad_2_e
GK1
EX_ala__D_e
EX_damp_e
GLBRAN2
EX_15dap_e
EX_dca_e
GLCabcpp
EX_dcmp_e
EX_dcyt_e
EX_ddca_e
GLCNt2rpp
EX_2ddglcn_e
GLCNtex
EX_dgmp_e
EX_dgsn_e
GLCP
EX_dha_e
GLCP2
EX_dimp_e
EX_din_e
GLCptspp
GLCRt2rpp
GLCRtex
GLCS1
GLCt2pp
GLCtex_copy1
GLCtex_copy2
GLCUR1Ptex
EX_lac__D_e
GLCURt2rpp
GLCURtex
GLDBRAN2
GLGC
GLNabcpp
EX_cys__D_e
12PPDRtex
EX_dmso_e
EX_dms_e
EX_dopa_e
12PPDRtpp
12PPDStex
12PPDStpp
14GLUCANabcpp
14GLUCANtexi
23CAMPtex
5DGLCNtex
2AGPG180tipp
23CCMPtex
2AGPG181tipp
2AGPGAT120
5DOAN
2AGPGAT140
2AGPGAT141
AACPS1
23CGMPtex
AACPS2
2AGPGAT160
2AGPGAT161
AACPS3
AACPS4
AACPS5
AACPS6
2AGPGAT180
2AGPGAT181
AACPS7
23CUMPtex
AACPS8
AACPS9
23DAPPAt2pp
AADDGT
2DGLCNRx
AAMYLpp
2DGLCNRy
ABTA
23DAPPAtex
ABUTt2pp
ABUTtex
ACACt2pp
2DGULRx
2DGULRy
23PDE2pp
34dhpactex
3AMPtex
ACACtex
ACALD
ACALDtex
3CMPtex
3GMPtex
ACALDtpp
23PDE4pp
ACCOAC
ACGAL1Ptex
ACGALtex
ACGAM1Ptex
ACGAMK
3HAD100
3HAD120
3HAD121
3HAD140
3HAD141
3HAD160
ACGAMT
ACGAptspp
23PDE7pp
ACGAtex
ACGK
ACGS
3HAD161
3HAD180
3HAD181
3HAD40
ACHBS
ACKr
3HAD60
ACLS
23PDE9pp
3HAD80
3KGK_copy1
ACMAMUT
26DAHtex
ACMANAptspp
3KGK_copy2
ACMANAtex
ACMUMtex
ACNAMt2pp
3NTD4pp
3NTD7pp
3NTD9pp
3OAR100
ACNAMtex
ACNML
ACOAD1f
3OAR120
2AGPA120tipp
3OAR121
3OAR140
3OAR141
ACOAD2f
ACOAD3f
ACOAD4f
3OAR160
2AGPA140tipp
3OAR161
ACOAD5f
ACOAD6f
ACOAD7f
3OAR180
2AGPA141tipp
3OAR181
3OAR40
ACOAD8f
ACOATA
ACODA
3OAR60
2AGPA160tipp
3OAR80
3OAS100
3OAS120
3OAS121
3OAS140
3OAS141
3OAS160
3OAS161
3OAS180
3OAS181
3OAS60
3OAS80
3PEPTabcpp
3PEPTtex
3UMPtex
4HOXPACDtex
4HTHRS
ACOLIPAtex
ACONMT
ACONTa
ACONTb
ACOTA
ACPS1
ACS
ACSERtex
ACSERtpp
ACt4pp
ACtex
ADCL
ADCS
ADEt2rpp
ADEtex
ADK3
ADK4
ADMDC
ADNCYC
ADNK1
ADNt2pp
ADNtex
ADOCBLabcpp
4PEPTabcpp
4PEPTtex
5DGLCNR
5DGLCNt2rpp
EX_ser__D_e
AMALT2
AMALT3
AMALT4
AMANAPEr
ADOCBLtonex
ADPRDP
ADPT
ADSK
AMANK
2AGPA161tipp
AMAOTr
AMMQLT8
AMPMS2
AMPN
AMPTASECG
AMPTASEPG
ADSL1r
ADSL2r
ADSS
AGDC
AGM3PA
AGM3PApp
AGM3PH
AGM3Pt2pp
AGM4PA
AGM4PApp
AGM4PH
AGM4Pt2pp
AMPtex
ANHGMtex
ANHMK
ANPRT
ANS
AOXSr
AP4AH
AGMH
AGMHE
AGMt2pp
AGMtex
AP5AH
2AGPA180tipp
APRAUR
ARAI
ARBabcpp
AGPAT120
AGPAT140
AGPAT141
ARBtex
2AGPA181tipp
ARGabcpp
AGPAT160
AGPAT161
AGPAT180
ARGAGMt7pp
ARGDCpp
AGPAT181
2AGPE120tipp
AGPR
AHCYSNS
AICART
AIRC2
AIRC3
ARGORNt7pp
ARGSL
ARGSS
ARGt3pp
ARGtex
ARGTRS
ASAD
AKGDH
AKGt2rpp
AKGtex
ALAALAabcpp
ASCBptspp
ASCBtex
ALAALAr
2AGPE140tipp
ALAALAtex
ALAR
ALAt2pp
ASNNpp
ASNS1
ASNS2
ASNt2rpp
ALATA_D2
ASNtex
ALATA_L2
ASNTRS
2AGPE141tipp
ASO3t8pp
ASO3tex
ASP1DC
ASPabcpp
ASPCT
ASPK
ALAtex
ALATRS
ALCD19
ALCD2x
ALLabcpp
ALLPI
ALLTAMH
ASPO3
ASPO4
ASPO5
ALLtex
ASPO6
ALLTNt2rpp
2AGPE160tipp
ALLTNtex
ALPATE160pp
ALPATG160pp
ASPT
ASPt2_2pp
ASPt2_3pp
ASPt2pp
ALR2
ALTRH
AM3PA
ASPTA
AM4PA
2AGPE161tipp
AMALT1
ASPtex
ASPTRS
ASR
AST
2AGPE180tipp
ATPPRT
COLIPAabcpp
ATPS4rpp
BALAt2pp
COLIPAtex
2AGPE181tipp
CPGNabcpp
BALAtex
BETALDHx
2AGPEAT120
BETALDHy
BSORx
CPGNtonex
CPPPGO
BSORy
BTS4
CPPPGO2
2AGPEAT140
CRNabcpp
CRNDabcpp
CRNDt2rpp
CRNt2rpp
BUTSO3abcpp
BUTSO3tex
BUTt2rpp
BUTtex
CRNtex
CS
CSND
CSNt2pp
CA2t3pp
CA2tex
CAT
CSNtex
CAt6pp
CTBTabcpp
2AGPEAT141
CTBTt2rpp
CTPS2
CU1abcpp
CBIAT
CBItonex
CBIuabcpp
CBL1abcpp
CBL1tonex
CU2abcpp
CU2tex
2AGPEAT160
CUtex
CYANST
CBLAT
CBPS
CD2abcpp
CYANtex
CYNTt2pp
2AGPEAT161
CYNTtex
CYSabc2pp
CD2t3pp
CD2tex
CDAPPA120
CDAPPA140
CDAPPA141
CDAPPA160
CDAPPA161
CDAPPA180
CYSabcpp
CYSDabcpp
CYSDDS
CYSDS
CYSDtex
CYSS
CYSSADS
CDAPPA181
CDPMEK
CFAS160E
CYStex
CYStpp
CFAS160G
2AGPEAT180
CFAS180E
CFAS180G
CYSTRS
CYTBD2pp
CYTBDpp
CYTBO3_4pp
CGLYabcpp
CGLYtex
2AGPEAT181
CHLt2pp
CHLtex
CYTD
CYTDK2
CYTDt2pp_copy1
CYTDt2pp_copy2
CYTDtex
CYTK1
DAAD
CHORM
CHORS
CHRPL
CITt7pp
CITtex
CLPNS120pp
CLPNS140pp
CLPNS141pp
DADK_copy1
DADNt2pp
DADNtex
CLPNS160pp
DAGK120
2AGPG120tipp
DAGK140
DAGK141
CLPNS161pp
CLPNS180pp
CLPNS181pp
DAGK160
DAGK161
2AGPG140tipp
DAGK180
CLt3_2pp
CLtex
CMPtex
DAGK181
DALAt2pp
2AGPG141tipp
DALAtex
DAMPtex
DAPDC
DAPE
DAPtex
DB4PS
CO2tex
CO2tpp
COBALT2abcpp
COBALT2t3pp
COBALT2tex
COBALT2tpp
DCAtex
2AGPG160tipp
DCMPtex
DCTPD
DCYTD
DHDPRy
DHDPS
DHFR
DCYTt2pp
2AGPG161tipp
DCYTtex
DDCAtexi
DHFS
DHNAOT4
DHNPA2r
FEENTERtonex
DHORD2
DHORD5
DHORTS
DHPPDA2
DHPS2
DHQS
DIMPtex
DINSt2pp
DINStex
DKGLCNR1
ENO
ETHAt2pp
ETHAtex
ETHSO3abcpp
ETHSO3tex
ETOHt2rpp
ETOHtex
F6PA
F6Ptex
FA100ACPHi
DKGLCNR2x
DKGLCNR2y
D_LACt2pp
D_LACtex
DMATT
FA120ACPHi
FA140ACPHi
FA141ACPHi
DMPPS
FEOXAMtonex
DMQMT
DMSOR1
DMSOR1pp
FA160ACPHi
FA161ACPHi
FA80ACPHi
FACOAE100
DMSOR2
FACOAE120
FLDR
FACOAE140
FACOAE141
FACOAE160
FACOAE161
FACOAE180
FACOAE181
DMSOtex
DMStex
DNTPPA
DOPAtex
DPCOAK
DPR
DRPA
DSBAO1
DSBAO2
DSBCGT
FACOAE60
FACOAE80
FACOAL100t2pp
FACOAL120t2pp
FACOAL140t2pp
DSBDR
DSERt2pp
FACOAL141t2pp
DSERtex
FLVR
DTMPK
DTMPtex
DUMPtex
FACOAL160t2pp
FACOAL161t2pp
FACOAL180t2pp
FACOAL181t2pp
FACOAL60t2pp
FACOAL80t2pp
DURIK1
DURIPP
DURIt2pp
DURItex
DUTPDP
DXPRIi
DXPS
FADRx
FALDH2
FALDtex
FALDtpp
DXYLK
E4PD
FBA
FLVRx
FBP
FCLT
ECAP1pp
ECAP2pp
ECAP3pp
ECAtpp
FDH4pp
ECOAH1
FDH5pp
ECOAH2
FDMO
FMETTRS
FDMO2
ECOAH3
ECOAH4
FDMO3
FDMO4
FDMO6
FE2abcpp
ECOAH5
ECOAH6
ECOAH7
ECOAH8
EDA
EDD
FE2t2pp
FE2t3pp
FMNAT
FE2tex
FE2tpp
FE3DCITabcpp
GLNS
FMNRx
GLNtex
GLNTRS
FE3DCITtonex
FE3DHBZSabcpp
FE3DHBZStonex
GLU5K
FE3HOXabcpp
FMNRx2
FE3HOXtonex
FE3Ri
GLUabcpp
GLUCYS
GLUDy
FORt2pp
GLUN
GLUNpp
GLUPRT
GLUR
GLUSy
GLUt2rpp
FE3tex
FECRMabcpp
FECRMtonex
FEENTERabcpp
GTPDPDP
GLUt4pp
GLUtex
GTPDPK
FORtex
GTPtex
GUAPRT
GLUTRR
GLUTRS
GLYALDtex
GUI1
GLYALDtpp
FORtppi
GLYAT
GLYBabcpp
GUI2
H2O2tex
H2Otex
GLYBt2pp
FRD2
GLYBtex
H2Otpp
H2St1pp
GLYC2Ptex
FRD3
GLYC3Pabcpp
GLYC3Ptex
GLYCAt2rpp
GLYCAtex
H2Stex
H2tex
H2tpp
HACD1i
HACD2i
HACD3i
GLYCK2
GLYCL
GLYCLTDx
HACD4i
FRUK
HACD5i
HACD6i
HACD7i
GLYCLTDy
GLYCLTt4pp
GLYCLTtex
GLYCtex
GLYCtpp
GLYK
HACD8i
GLYt2pp
FRULYStex
GLYtex
GLYTRS
GMHEPAT
HBZOPT
HCINNMt2rpp
HCINNMtex
HCO3E
HDCAtexi
HDCEAtexi
GMHEPK
GMHEPPA
GMPR
GMPS2
GMPtex
GND
CTECOAI7
GNK
FRUpts2pp
GP4GH
GPDDA1
GPDDA2
HEMEOS
HEX1
HEX7
GPDDA3
FRUptspp
GPDDA4
GPDDA5
HG2abcpp
GRTT
HG2tex
FRUtex
HISabcpp
HISTD
GRXR
GSNK
GSNt2pp
HIStex
FRUURt2rpp
HISTP
HISTRS
HMBS
HMPK1
HOMt2pp
GSNtex
GTHOr
GTHOXtex
GTHRDabc2pp
GTHRDtex
GTHS
GTPCI
GTPCII2
EX_dtmp_e
HOMtex
HPPK2
HPPPNt2rpp
FRUURtex
HPPPNtex
HPYRI
HPYRRx
HPYRRy
ILEtex
FUCtex
ILETRS
IMPC
IMPD
HSDy
HSK
HSST
HSTPT
IMPtex
INDOLEt2pp
Htex
FUCtpp
HXAtex
HXPRT
HYXNtex
HYXNtpp
ICDHyr
ICHORS
INDOLEtex
INSK
INSTtex
IPDPS
IPMD
IPPMIa
IPPMIb
IPPS
ICL
IDONt2rpp
IDONtex
IG3PS
IGPDH
ISETACabcpp
ISETACtex
FUM
Kabcpp
KARA1
IGPS
ILEabcpp
ILEt2rpp
KARA2
ILETA
FUMt2_2pp
KAS14
FUMt2_3pp
KAS15
FUMtex
KAT1
LPLIPAL1E180pp
LPLIPAL1E181pp
LPLIPAL1G120pp
ACACT11
G1PACT
ACACT8
ACACT13
ACACT10
ACACT9
LPLIPAL1G140pp
LPLIPAL1G141pp
LPLIPAL1G160pp
LPLIPAL1G161pp
LPLIPAL1G180pp
LPLIPAL1G181pp
ACACT12
ACACT8r
LPLIPAL2A120
KDOCT2
G1Ptex
KDOPP
KDOPS
LPLIPAL2A140
LPLIPAL2A141
LPLIPAL2A160
Kt2pp
Kt3pp
LPLIPAL2A161
G1PTT
LPLIPAL2A180
Ktex
LA4NTpp
LACZpp
LALGP
LCTStex
LCTStpp
LPLIPAL2A181
LPLIPAL2ATE120
LPLIPAL2ATE140
LPLIPAL2ATE141
LPLIPAL2ATE160
LPLIPAL2ATE161
LDH_D
LDH_D2
LPLIPAL2ATE180
LEUabcpp
LPLIPAL2ATE181
LEUt2rpp
G1SAT
LEUTAi
LPLIPAL2ATG120
LPLIPAL2ATG140
LEUtex
LPLIPAL2ATG141
G3PAT120
LPLIPAL2ATG160
LEUTRS
LGTHL
LPLIPAL2ATG161
L_LACD2
G3PAT140
L_LACD3
L_LACtex
LPADSS
LPLIPAL1A120pp
LPLIPAL1A140pp
LPLIPAL1A141pp
LPLIPAL1A160pp
LPLIPAL2ATG180
LPLIPAL2ATG181
LPLIPAL2E120
LPLIPAL2E140
LPLIPAL2E141
LPLIPAL2E160
LPLIPAL2E161
LPLIPAL2E180
LPLIPAL2E181
LPLIPAL1A161pp
LPLIPAL1A180pp
LPLIPAL1A181pp
LPLIPAL1E120pp
LPLIPAL2G120
LPLIPAL2G140
