Organism,num_diff,median_num_diff
STM_v1_0,11.97887323943662,-2.0
e_coli_core,12.920454545454545,21.0
iIT341,-4.72,2.0
iJO1366,-26.178030303030305,-65.0
iML1515,-24.203508771929826,-46.0
iNJ661,17.33783783783784,2.0
iPC815,2.6954022988505746,-3.0
iSSON_1240,-19.48314606741573,-65.0
iYL1228,-10.73611111111111,-6.5
