,Organism,common_sl_size,median_common_sl_size,Norm
0,iSSON_1240,30.093632958801496,0.0,Zero
1,iSSON_1240,31.39325842696629,1.0,One
2,iSSON_1240,249.40449438202248,286.0,Two
