Organism,sl_size,median_sl_size
STM_v1_0,42.232394366197184,8.5
e_coli_core,20.352272727272727,22.0
iIT341,14.88,12.0
iJO1366,51.98863636363637,65.0
iML1515,55.642105263157895,69.0
iNJ661,25.905405405405407,3.0
iPC815,28.051724137931036,10.0
iSSON_1240,56.59925093632959,65.0
iYL1228,41.06944444444444,9.0
