,Organism,net_diff,median_net_diff,Norm
0,iJO1366,-3.063812339796824,-0.996377645718216,Zero
1,iJO1366,-2.841097670040256,-0.9963776457177996,One
2,iJO1366,-3.470933198810796,-1.199361389153633,Two
