Organism,net_diff,median_net_diff
STM_v1_0,-4.353015242840246,-0.0001853310482744932
e_coli_core,-31.589831431974414,-3.8009992818643594
iECW_1372,-3.6934291160314796,-2.3251343997558553
iIT341,1.2717671972811972,0.01125333612205141
iJO1366,-3.063812339796824,-0.9963776457182159
iML1515,-2.5796564210174946,-0.3474923459099273
iNJ661,-0.16370799910108305,-1.3634552578856362e-05
iPC815,-0.11901210641409252,-1.32765998060235e-05
iSSON_1240,-1.1007097057144226,-2.325529622290256
iYL1228,-0.3485337468312323,-5.167217016074856e-07
iYS1720,-0.5402227923405681,-0.3075789709245351
