Organism,sl_size,median_sl_size
STM_v1_0,786.6904761904761,854.0
e_coli_core,53.28409090909091,56.0
iECW_1372,975.3684210526316,1204.0
iIT341,141.40740740740742,144.0
iJO1366,959.5298507462686,1163.0
iML1515,1011.5524475524476,1270.0
iNJ661,244.65333333333334,314.0
iPC815,640.3544973544973,710.0
iSSON_1240,935.2172284644195,1155.0
iYL1228,699.9375,839.5
iYS1720,1027.7333333333333,1108.0
