Organism,sl_size,median_sl_size
STM_v1_0,63.9112426035503,6
e_coli_core,18.96590909090909,22
iIT341,29.558139534883722,10
iJO1366,32.169172932330824,17
iML1515,31.063157894736843,16
iNJ661,28.386666666666667,3
iPC815,58.232804232804234,22
iSSON_1240,34.943609022556394,19
iYL1228,51.611111111111114,15
