Organism,sl_size,median_sl_size
STM_v1_0,133.8095238095238,15
e_coli_core,40.72727272727273,47
iECW_1372,65.19548872180451,29
iIT341,67.88888888888889,24
iJO1366,67.35074626865672,29
iML1515,66.91608391608392,29
iNJ661,60.413333333333334,6
iPC815,125.16931216931216,55
iSSON_1240,63.73033707865169,26
iYL1228,104.08333333333333,24
iYS1720,82.21818181818182,24
