Organism,common_sl_size,median_common_sl_size
STM_v1_0,42.18452380952381,1.0
e_coli_core,12.761363636363637,15.0
iEK1008,26.012738853503183,5.0
iIT341,16.09259259259259,1.5
iJO1366,14.32089552238806,0.0
iML1515,14.216783216783217,0.0
iNJ661,16.506666666666668,1.0
iPC815,15.687830687830688,3.0
iSSON_1240,15.333333333333334,0.0
iYL1228,22.5,2.5
