Organism,net_diff,median_net_diff
STM_v1_0,24.768153210913106,-0.004914691158000611
e_coli_core,99.78376060378518,121.95625226266233
iEK1008,0.4458636508022311,-0.029027015139883903
iIT341,5.456590149235332,0.0001711875695593488
iJO1366,7.137551319591444,-9.514315566161748
iML1515,12.473043286588466,-6.329171796315242
iNJ661,0.7336139380237164,0.0017512826108961503
iPC815,0.9263824147096551,-8.894144816693972e-05
iSSON_1240,12.065012115602853,-9.24311018096541
iYL1228,8.585303513800891,-0.07399423427533697
