Organism,num_diff,median_num_diff
STM_v1_0,0.6309523809523809,0.0
e_coli_core,-1.0795454545454546,-1.5
iECW_1372,-82.54887218045113,-128.0
iIT341,11.518518518518519,4.0
iJO1366,-87.61194029850746,-141.0
iML1515,-81.08391608391608,-117.0
iNJ661,0.9733333333333334,-2.0
iPC815,-0.005291005291005291,1.0
iSSON_1240,-74.26591760299625,-143.0
iYL1228,10.659722222222221,11.5
iYS1720,-72.56969696969696,-91.0
