Organism,sl_size,median_sl_size
STM_v1_0,66.99404761904762,24.0
e_coli_core,19.78409090909091,22.0
iIT341,25.296296296296298,12.0
iJO1366,54.1865671641791,65.0
iML1515,53.74825174825175,63.0
iNJ661,25.226666666666667,8.0
iPC815,32.492063492063494,22.0
iSSON_1240,57.052434456928836,65.0
iYL1228,45.013888888888886,23.5
