Organism,common_sl_size,median_common_sl_size
STM_v1_0,262.07100591715977,250.0
e_coli_core,29.852272727272727,35.0
iIT341,81.32558139534883,47.0
iJO1366,272.8533834586466,307.0
iML1515,279.5122807017544,321.0
iNJ661,79.41333333333333,58.0
iPC815,188.3968253968254,181.0
iSSON_1240,250.3421052631579,286.0
iYL1228,212.10416666666666,214.5
