Type,Rxn_1_Type,Rxn_2_Type,Count,Fraction,Rxn_1_Prod,Rxn_2_Prod
PSL,ZeroFlux_Rxns,pFBAOpt_Rxns,11,0.2037037037037037,11,11
PSL,pFBAOpt_Rxns,ELE_Rxns,7,0.12962962962962962,7,7
PSL,pFBAOpt_Rxns,MLE_Rxns,21,0.3888888888888889,21,21
RSL,pFBAOpt_Rxns,pFBAOpt_Rxns,15,0.2777777777777778,15,15
