,Var1,Var2,Subsystem 1,Subsystem 2
0,ADPT,HXPRT,Salvage pathway of ATP,Salvage pathway of GTP
1,ALAD_L,FADOX,Alanine Metabolism,Respiratory chain
2,ANS2,ANS,Chorismate Metabolism,Tryptophan Biosynthesis
3,DHPS,FOLD3,Folate Biosynthesis,Folate Biosynthesis
4,DHPS,HPPK,Folate Biosynthesis,Folate Biosynthesis
5,CAT,CCP,ROS Detoxification,ROS Detoxification
6,GARFT,FTHFD,IMP Synthesis,THF Metabolism
7,GART,FTHFLi,IMP Synthesis,THF Metabolism
8,HCO3E,H2CO3D2,Others,Others
9,HEMEti,CPPPGO,Transport,Heme biosynthesis
10,HEMEti,FCLT,Transport,Heme biosynthesis
11,HEMEti,FE2abc,Transport,Transport
12,HEMEti,GLUTRR,Transport,Heme biosynthesis
13,HEMEti,GLUTRS,Transport,Heme biosynthesis
14,HEMEti,G1SAT,Transport,Heme biosynthesis
15,HEMEti,HMBS,Transport,Heme biosynthesis
16,HEMEti,PPBNGS,Transport,Heme biosynthesis
17,HEMEti,PPPGO,Transport,Heme biosynthesis
18,HEMEti,UPP3S,Transport,Heme biosynthesis
19,HEMEti,UPPDC1,Transport,Heme biosynthesis
20,ME1,AKO,Others,TCA cycle
21,ME1,FADOX,Others,Respiratory chain
22,KAS15,ACOATA,Fatty Acid Synthesis,Fatty Acid Synthesis
23,KAS15,KAS14,Fatty Acid Synthesis,Fatty Acid Synthesis
24,TKT2,GND,Pentose-Phosphate-Pathway,Pentose-Phosphate-Pathway
25,TKT2,PGL,Pentose-Phosphate-Pathway,Pentose-Phosphate-Pathway
26,TRPS1,TRPS2,Tryptophan Biosynthesis,Tryptophan Biosynthesis
27,TRPS1,TRPS3,Tryptophan Biosynthesis,Tryptophan Biosynthesis
28,UREA,UREAt,Urea Cycle,Transport
29,URIDK2r,DUTPDP,dTTP Biosynthesis,dTTP Biosynthesis
30,RNDR4,DCTPD,dUTP Biosynthesis,Nucleotide Interconversion
31,RPE,GND,Pentose-Phosphate-Pathway,Pentose-Phosphate-Pathway
32,RPE,PGL,Pentose-Phosphate-Pathway,Pentose-Phosphate-Pathway
33,ALAR,DALAt2r,Alanine Metabolism,Transport
34,ADD,ADPT,Purine metabolism,Salvage pathway of ATP
35,ATPS4r,ACKr,Respiratory chain,Others
36,ATPS4r,ACt2r,Respiratory chain,Transport
37,GART,GARFT,IMP Synthesis,IMP Synthesis
38,G3PD2,G3PD1ir,Glycerolipid Synthesis,Glycerolipid Synthesis
39,HCO3E,H2CO3D,Others,Others
40,ME1,FRD5,Others,TCA cycle
41,ME1,FUM,Others,TCA cycle
42,NH4t,ATPS4r,Transport,Respiratory chain
43,TKT1,TALA,Pentose-Phosphate-Pathway,Pentose-Phosphate-Pathway
44,TKT2,TALA,Pentose-Phosphate-Pathway,Pentose-Phosphate-Pathway
45,TKT2,TKT1,Pentose-Phosphate-Pathway,Pentose-Phosphate-Pathway
46,PTAr,ATPS4r,Others,Respiratory chain
47,RPE,TALA,Pentose-Phosphate-Pathway,Pentose-Phosphate-Pathway
48,RPE,TKT1,Pentose-Phosphate-Pathway,Pentose-Phosphate-Pathway
49,RPE,TKT2,Pentose-Phosphate-Pathway,Pentose-Phosphate-Pathway
