,Rxn_1,Rxn_1_Type,Rxn_1_Min,Rxn_1_Max,Rxn_2,Rxn_2_Type,Rxn_2_Min,Rxn_2_Max,v1,v2,Rxn_1_Prod,Rxn_2_Prod,Type
0,ADPT,pFBAOpt_Rxns,0.0651314662989294,0.0651694260115703,ADD,MLE_Rxns,0.0,3.78945073030712e-05,0.0,4.15687616239779e-06,0.004244580273993164,0.0,PSL
1,ADPT,pFBAOpt_Rxns,0.0651314662989294,0.0651694260115703,HXPRT,MLE_Rxns,0.0,3.78942743698985e-05,0.0,0.0,0.004244580273993164,0.0,PSL
2,ALAD_L,pFBAOpt_Rxns,19.6043723858428,19.6045429104,FADOX,MLE_Rxns,0.0,0.000113682915817,0.0,24.0458318570818,384.334759669716,0.0,PSL
3,ANS2,pFBAOpt_Rxns,0.0373550064755367,0.0374154761988984,ANS,MLE_Rxns,0.0,5.68414097675829e-05,0.0346406346736722,0.0,0.0013976553556951392,0.0,PSL
4,DHPS,pFBAOpt_Rxns,0.0346121792379149,0.0346406346736722,FOLD3,MLE_Rxns,0.0,2.84207261040947e-05,0.0,0.0,0.001198987856240272,0.0,PSL
5,DHPS,pFBAOpt_Rxns,0.0346121792379149,0.0346406346736722,HPPK,MLE_Rxns,0.0,2.84207261040947e-05,0.0,0.0,0.001198987856240272,0.0,PSL
6,CAT,pFBAOpt_Rxns,0.0322373593251957,0.0323489622475122,CCP,MLE_Rxns,0.0,0.0002228912339609,-0.06235314241261,-0.191216303398671,0.001042845119770241,0.0,PSL
7,GARFT,pFBAOpt_Rxns,0.351365810167373,0.375018330168235,FTHFD,MLE_Rxns,0.0,5.6841437301447e-05,0.0,0.0,0.13176861940717727,0.0,PSL
8,GART,pFBAOpt_Rxns,0.0,0.0236477831464939,FTHFLi,ELE_Rxns,0.0,0.0236477828263375,0.0,4.0875948915442e-05,0.0,0.0,PSL
9,HCO3E,pFBAOpt_Rxns,-999996.767138976,999999.0,H2CO3D,ELE_Rxns,-999996.767138976,999999.0,-0.0191216303398671,0.0,-999995767142.2089,-999995767142.2089,PSL
10,HCO3E,pFBAOpt_Rxns,-999996.767138976,999999.0,H2CO3D2,ELE_Rxns,-999999.0,999996.767138976,-0.0191216303398671,0.0,-999995767142.2089,-999995767142.2089,PSL
11,HEMEti,ZeroFlux_Rxns,0.0,0.0,CPPPGO,pFBAOpt_Rxns,0.0,4.15686768388224e-06,1.9509753493345,0.0,0.0,0.0,PSL
12,HEMEti,ZeroFlux_Rxns,0.0,0.0,FCLT,pFBAOpt_Rxns,0.0,4.15686768388224e-06,1.9509753493345,0.0,0.0,0.0,PSL
