Var1,Var2
Double Lethal Reactions,
Rxn A,Rxn B
AACPS3,3HAD160
AACPS3,3OAR160
AACPS3,3OAS160
AACPS4,3HAD161
AACPS4,3OAR161
AACPS4,3OAS161
AACPS7,3HAD120
AACPS7,3OAR120
AACPS7,3OAS120
ACACT1r,3HAD100
ACACT1r,3HAD40
ACACT1r,3HAD60
ACACT1r,3HAD80
ACACT1r,3OAR100
ACACT1r,3OAR40
ACACT1r,3OAR60
ACACT1r,3OAR80
ACACT1r,3OAS100
ACACT1r,3OAS60
ACACT1r,3OAS80
ACACT2r,3HAD100
ACACT2r,3HAD40
ACACT2r,3HAD60
ACACT2r,3HAD80
ACACT2r,3OAR100
ACACT2r,3OAR40
ACACT2r,3OAR60
ACACT2r,3OAR80
ACACT2r,3OAS100
ACACT2r,3OAS60
ACACT2r,3OAS80
ACACT3r,3HAD100
ACACT3r,3HAD40
ACACT3r,3HAD60
ACACT3r,3HAD80
ACACT3r,3OAR100
ACACT3r,3OAR40
ACACT3r,3OAR60
ACACT3r,3OAR80
ACACT3r,3OAS100
ACACT3r,3OAS60
ACACT3r,3OAS80
ACACT4r,3HAD100
ACACT4r,3OAR100
ACACT4r,3OAS100
ACOAD1f,3HAD100
ACOAD1f,3HAD40
ACOAD1f,3HAD60
ACOAD1f,3HAD80
ACOAD1f,3OAR100
ACOAD1f,3OAR40
ACOAD1f,3OAR60
ACOAD1f,3OAR80
ACOAD1f,3OAS100
ACOAD1f,3OAS60
ACOAD1f,3OAS80
ACOAD2f,3HAD100
ACOAD2f,3HAD40
ACOAD2f,3HAD60
ACOAD2f,3HAD80
ACOAD2f,3OAR100
ACOAD2f,3OAR40
ACOAD2f,3OAR60
ACOAD2f,3OAR80
ACOAD2f,3OAS100
ACOAD2f,3OAS60
ACOAD2f,3OAS80
ACOAD3f,3HAD100
ACOAD3f,3HAD40
ACOAD3f,3HAD60
ACOAD3f,3HAD80
ACOAD3f,3OAR100
ACOAD3f,3OAR40
ACOAD3f,3OAR60
ACOAD3f,3OAR80
ACOAD3f,3OAS100
ACOAD3f,3OAS60
ACOAD3f,3OAS80
ACOAD4f,3HAD100
ACOAD4f,3OAR100
ACOAD4f,3OAS100
ASNS2,ASNS1
CBMKr,CBPS
CPPPGO,CPPPGO2
DALAt2pp,DALAtex
CTECOAI7_copy1,3HAD161
CTECOAI7_copy1,3OAR161
CTECOAI7_copy1,3OAS161
DMPPS,IPDDI
FACOAE120,3HAD120
FACOAE120,3OAR120
FACOAE120,3OAS120
FACOAE160,3HAD160
FACOAE160,3OAR160
FACOAE160,3OAS160
FACOAE161,3HAD161
FACOAE161,3OAR161
FACOAE161,3OAS161
ECOAH1,3HAD100
ECOAH1,3HAD40
ECOAH1,3HAD60
ECOAH1,3HAD80
ECOAH1,3OAR100
ECOAH1,3OAR40
ECOAH1,3OAR60
ECOAH1,3OAR80
ECOAH1,3OAS100
ECOAH1,3OAS60
ECOAH1,3OAS80
ECOAH2,3HAD100
ECOAH2,3HAD40
ECOAH2,3HAD60
ECOAH2,3HAD80
ECOAH2,3OAR100
ECOAH2,3OAR40
ECOAH2,3OAR60
ECOAH2,3OAR80
ECOAH2,3OAS100
ECOAH2,3OAS60
ECOAH2,3OAS80
ECOAH3,3HAD100
ECOAH3,3HAD40
ECOAH3,3HAD60
ECOAH3,3HAD80
ECOAH3,3OAR100
ECOAH3,3OAR40
ECOAH3,3OAR60
ECOAH3,3OAR80
ECOAH3,3OAS100
ECOAH3,3OAS60
ECOAH3,3OAS80
ECOAH4,3HAD100
ECOAH4,3OAR100
ECOAH4,3OAS100
CYTK1,NTD4
G3PAT160,ACPPAT160
G3PAT160,APG3PAT160
G3PAT161,ACPPAT161
G3PAT161,APG3PAT161
G5SD,NACODA
GLCtex_copy1,GLCtex_copy2
GLU5K,NACODA
GLUDy,GLUSy
HACD1,3HAD100
HACD1,3HAD40
HACD1,3HAD60
HACD1,3HAD80
HACD1,3OAR100
HACD1,3OAR40
HACD1,3OAR60
HACD1,3OAR80
HACD1,3OAS100
HACD1,3OAS60
HACD1,3OAS80
HACD2,3HAD100
HACD2,3HAD40
HACD2,3HAD60
HACD2,3HAD80
HACD2,3OAR100
HACD2,3OAR40
HACD2,3OAR60
HACD2,3OAR80
HACD2,3OAS100
HACD2,3OAS60
HACD2,3OAS80
HACD3,3HAD100
HACD3,3HAD40
HACD3,3HAD60
HACD3,3HAD80
HACD3,3OAR100
HACD3,3OAR40
HACD3,3OAR60
HACD3,3OAR80
HACD3,3OAS100
HACD3,3OAS60
HACD3,3OAS80
HACD4,3HAD100
HACD4,3OAR100
HACD4,3OAS100
I2FE2SR,S2FE2SR
I2FE2SS,S2FE2SS
I2FE2SS,S2FE2SS2
I2FE2SS,S2FE2ST
I2FE2SS,S4FE4SR
I2FE2SS,S4FE4ST
I2FE2SS,SCYSDS
I2FE2SS2,S2FE2SS
I2FE2SS2,S2FE2SS2
I2FE2SS2,S4FE4SR
I2FE2SS2,S4FE4ST
I2FE2SS2,SCYSDS
I2FE2ST,S2FE2SS
I2FE2ST,S2FE2ST
I2FE2ST,SCYSDS
I4FE4SR,S2FE2SS
I4FE4SR,S2FE2SS2
I4FE4SR,S4FE4SR
I4FE4SR,S4FE4ST
I4FE4SR,SCYSDS
I4FE4ST,S2FE2SS
I4FE4ST,S2FE2SS2
I4FE4ST,S4FE4SR
I4FE4ST,S4FE4ST
I4FE4ST,SCYSDS
IMPD,HXAND
IMPD,XPPT
IPDPS,IPDDI
Kt2pp,Kabcpp
NDPK1,ADK3
OPHHX,OPHHX3
O2tex,CPPPGO2
O2tex,OPHHX3
O2tpp,CPPPGO2
O2tpp,OPHHX3
PAPSR,GRXR
PAPSR,GTHOr
PAPSR,PAPSR2
PDX5PO2,PDX5POi
NI2tpp,NI2uabcpp
PIt2rpp,PIuabcpp
PPC,ICL
PPC,MALS
PPK,PPA
PPPGO3,PPPGO
PRASCSi_copy1,PRASCSi_copy2
PRPPS,R15BPK
PRPPS,R1PK
RNTR1c2,NDPK8
RNTR2c2,NDPK5
RNTR3c2,NDPK7
RPI,TALA
TRDR,GRXR
TRDR,GTHOr
TRDR,PAPSR2
TRPS1,TRPS2
TRPS1,TRPS3
SO4t2pp,SULabcpp
ZN2tpp,ZNabcpp
MECDPDH2,MECDPDH5
GART,GARFT
IPDPS,DMPPS
O2tex,ENO
O2tex,GAPD
O2tpp,ENO
O2tpp,GAPD
PGCD,GHMT2r
PGK,O2tex
PGK,O2tpp
PGM,O2tex
PGM,O2tpp
PPC,FUM
PPC,O2tex
PPC,O2tpp
PPPGO3,O2tex
PPPGO3,O2tpp
PRPPS,PPM
PSERT,GHMT2r
PSP_L,GHMT2r
RPE,GND
RPI,RPE
SUCDi,PPC
TKT1,RPE
TKT1,RPI
TKT2,GND
TKT2,RPE
TKT2,RPI
TKT2,TKT1
